Bond_Time,reliab_total,reliab_avg,reliab_min,d_end,π_end,Δμ_pc
5.0,51.0,1.0,1.0,333.485669643225,398.10989705209926,-0.284
6.0,51.0,1.0,1.0,333.485669643225,398.10931290422855,-0.284
7.0,51.0,1.0,1.0,333.485669643225,398.1059128367899,-0.284
8.0,51.0,1.0,1.0,333.485669643225,398.0882087138976,-0.284
9.0,51.0,1.0,1.0,333.485669643225,398.00433483319756,-0.284
10.0,51.0,1.0,1.0,333.485669643225,397.6197301484195,-0.284
11.0,51.0,1.0,1.0,333.485669643225,395.0704094054326,-0.284
12.0,51.0,1.0,1.0,333.485669643225,394.38583682814107,-0.284
13.0,51.0,1.0,1.0,333.485669643225,395.43095809127544,-0.284
14.0,51.0,1.0,1.0,333.485669643225,395.5965865454432,-0.284
15.0,51.0,1.0,1.0,333.485669643225,395.5245221457125,-0.284
16.0,51.0,1.0,1.0,333.485669643225,394.8742734119533,-0.284
17.0,51.0,1.0,1.0,333.485669643225,403.3113400436853,-0.284
18.0,51.0,1.0,1.0,333.485669643225,411.68848889790775,-0.284
19.0,51.0,1.0,1.0,333.485669643225,417.8068957012416,-0.284
20.0,51.0,1.0,1.0,333.485669643225,423.3068992601552,-0.284
21.0,51.0,1.0,1.0,333.485669643225,428.5348198479916,-0.284
22.0,51.0,1.0,1.0,333.485669643225,433.61883860738317,-0.284
23.0,51.0,1.0,1.0,333.485669643225,438.6177637826745,-0.284
24.0,51.0,1.0,1.0,333.485669643225,443.56209848026674,-0.284
25.0,51.0,1.0,1.0,333.485669643225,448.46911299879497,-0.284
26.0,51.0,1.0,1.0,333.485669643225,453.34918808023224,-0.284
27.0,51.0,1.0,1.0,333.485669643225,455.42523252321104,-0.284
28.0,51.0,1.0,1.0,333.485669643225,455.5826084395384,-0.284
29.0,51.0,1.0,1.0,333.485669643225,455.70703105218337,-0.284
30.0,51.0,1.0,1.0,333.485669643225,454.9872362930119,-0.284
