Choice_r,reliab_total,reliab_avg,reliab_min,d_end,π_end,Δμ_pc
0.01,13.593147940518254,0.2665323125591814,0.024230898996433926,275.2978146055151,364.6670192168583,-0.284
0.02,32.175656206610356,0.630895219737458,0.2804121501665243,169.6331762120928,478.7999192210736,-0.284
0.03,47.56681369772048,0.9326826215239309,0.7340986053994183,166.0693848365515,497.67390980732023,-0.284
0.04,50.96886228826145,0.9993894566325774,0.9875446357058585,166.82627607735978,487.5382080438507,-0.284
0.05,51.0,1.0,1.0,167.35019418752555,513.2329621122439,-0.284
0.06,51.0,1.0,1.0,178.44507491719583,540.9179302560982,-0.284
0.07,51.0,1.0,1.0,188.57139446308662,546.1489065979667,-0.284
0.08,51.0,1.0,1.0,191.4463131617935,530.9210993054534,-0.284
0.09,51.0,1.0,1.0,195.1941612001798,533.4390978130937,-0.284
0.1,51.0,1.0,1.0,196.60829230205405,522.5164701413937,-0.284
0.11,51.0,1.0,1.0,199.8825205514096,548.9345557053409,-0.284
0.12,51.0,1.0,1.0,198.61723668633442,560.1785410884668,-0.284
0.13,51.0,1.0,1.0,199.16361425478308,541.7504285921962,-0.284
0.14,51.0,1.0,1.0,199.252752821378,535.2705458771055,-0.284
0.15,51.0,1.0,1.0,198.81602824727747,568.1298351919258,-0.284
0.16,51.0,1.0,1.0,198.5901228676134,604.7891915442765,-0.284
0.17,51.0,1.0,1.0,199.41492432398707,585.6271883545255,-0.284
0.18,51.0,1.0,1.0,199.08921156086427,594.4451086217315,-0.284
0.19,51.0,1.0,1.0,199.9320917333938,555.2815237777636,-0.284
0.2,51.0,1.0,1.0,199.87227439019145,529.7061473363856,-0.284
0.21,51.0,1.0,1.0,199.86952604944787,559.0414731087548,-0.284
0.22,51.0,1.0,1.0,199.85296917845793,585.1149458443642,-0.284
0.23,51.0,1.0,1.0,199.9815954500066,597.999996807156,-0.284
0.24,51.0,1.0,1.0,199.93673388227572,608.9614006413352,-0.284
0.25,51.0,1.0,1.0,199.93243921465682,618.9483543155554,-0.284
0.26,51.0,1.0,1.0,199.9011518008442,624.663579085746,-0.284
0.27,51.0,1.0,1.0,199.88953761886845,624.7235182024609,-0.284
0.28,51.0,1.0,1.0,199.8807858125942,624.784996908395,-0.284
0.29,51.0,1.0,1.0,200.04875773347197,619.2645112011636,-0.284
0.3,51.0,1.0,1.0,200.03618712477675,609.4621498584212,-0.284
0.31,51.0,1.0,1.0,200.06743403027502,599.6499841916029,-0.284
0.32,51.0,1.0,1.0,199.9679919476299,589.8147031715946,-0.284
0.33,51.0,1.0,1.0,200.0098222507812,579.9140708024752,-0.284
0.34,51.0,1.0,1.0,200.08993850154425,569.8188922698458,-0.284
0.35,51.0,1.0,1.0,199.97983588612652,559.1976794324294,-0.284
0.36,51.0,1.0,1.0,199.8833744897124,547.8838268221639,-0.284
0.37,51.0,1.0,1.0,199.88968657769217,541.092742464488,-0.284
0.38,51.0,1.0,1.0,199.94997344230873,544.5433551459806,-0.284
0.39,51.0,1.0,1.0,199.92767272957366,549.6081979509977,-0.284
0.4,51.0,1.0,1.0,199.92548556167628,554.3188641013443,-0.284
0.41,51.0,1.0,1.0,199.95219821358634,558.5229875914597,-0.284
0.42,51.0,1.0,1.0,199.9338874511367,562.5431949726836,-0.284
0.43,51.0,1.0,1.0,199.85708827562607,566.3686452336827,-0.284
0.44,51.0,1.0,1.0,199.81195210418937,570.203809292407,-0.284
0.45,51.0,1.0,1.0,199.82168619438073,571.0836779525656,-0.284
0.46,51.0,1.0,1.0,199.82168619438073,571.0836779525656,-0.284
0.47,51.0,1.0,1.0,199.82168619438073,571.0836779525656,-0.284
0.48,51.0,1.0,1.0,199.82168619438073,571.0836779525656,-0.284
0.49,51.0,1.0,1.0,199.82168619438073,571.0836779525656,-0.284
0.5,51.0,1.0,1.0,199.82168619438073,571.0836779525656,-0.284
