Conserv_Sens,reliab_total,reliab_avg,reliab_min,d_end,π_end,Δμ_pc
0.01,51.0,1.0,1.0,333.485669643225,394.9599411045283,-0.284
0.02,51.0,1.0,1.0,333.485669643225,394.9892825693979,-0.284
0.03,51.0,1.0,1.0,333.485669643225,395.01717799324643,-0.284
0.04,51.0,1.0,1.0,333.485669643225,395.04369781596665,-0.284
0.05,51.0,1.0,1.0,333.485669643225,395.0689099015896,-0.284
0.06,51.0,1.0,1.0,333.485669643225,395.0928794930677,-0.284
0.07,51.0,1.0,1.0,333.485669643225,395.1156691949061,-0.284
0.08,51.0,1.0,1.0,333.485669643225,395.13733897868485,-0.284
0.09,51.0,1.0,1.0,333.485669643225,395.1579462072574,-0.284
0.1,51.0,1.0,1.0,333.485669643225,395.17754567406337,-0.284
0.11,51.0,1.0,1.0,333.485669643225,395.19618965452236,-0.284
0.12,51.0,1.0,1.0,333.485669643225,395.2139279669588,-0.284
0.13,51.0,1.0,1.0,333.485669643225,395.2308080408934,-0.284
0.14,51.0,1.0,1.0,333.485669643225,395.2468749908802,-0.284
0.15,51.0,1.0,1.0,333.485669643225,395.2621716943596,-0.284
0.16,51.0,1.0,1.0,333.485669643225,395.27673887224313,-0.284
0.17,51.0,1.0,1.0,333.485669643225,395.2906151711548,-0.284
0.18,51.0,1.0,1.0,333.485669643225,395.3038372464414,-0.284
0.19,51.0,1.0,1.0,333.485669643225,395.316439845208,-0.284
0.2,51.0,1.0,1.0,333.485669643225,395.3284558887749,-0.284
0.21,51.0,1.0,1.0,333.485669643225,395.3399165540612,-0.284
0.22,51.0,1.0,1.0,333.485669643225,395.3508513534886,-0.284
0.23,51.0,1.0,1.0,333.485669643225,395.3612866508871,-0.284
0.24,51.0,1.0,1.0,333.485669643225,395.3712490725631,-0.284
0.25,51.0,1.0,1.0,333.485669643225,395.3807651819366,-0.284
0.26,51.0,1.0,1.0,333.485669643225,395.3898585723238,-0.284
0.27,51.0,1.0,1.0,333.485669643225,395.398551542836,-0.284
0.28,51.0,1.0,1.0,333.485669643225,395.4068651646545,-0.284
0.29,51.0,1.0,1.0,333.485669643225,395.41481934472995,-0.284
0.3,51.0,1.0,1.0,333.485669643225,395.4224328868906,-0.284
0.31,51.0,1.0,1.0,333.485669643225,395.4297235503713,-0.284
0.32,51.0,1.0,1.0,333.485669643225,395.436708105787,-0.284
0.33,51.0,1.0,1.0,333.485669643225,395.44340238858615,-0.284
0.34,51.0,1.0,1.0,333.485669643225,395.44982135003806,-0.284
0.35,51.0,1.0,1.0,333.485669643225,395.4559791058099,-0.284
0.36,51.0,1.0,1.0,333.485669643225,395.4618889821952,-0.284
0.37,51.0,1.0,1.0,333.485669643225,395.46756356007023,-0.284
0.38,51.0,1.0,1.0,333.485669643225,395.47301471664554,-0.284
0.39,51.0,1.0,1.0,333.485669643225,395.4782536650948,-0.284
0.4,51.0,1.0,1.0,333.485669643225,395.4832909921344,-0.284
0.41,51.0,1.0,1.0,333.485669643225,395.4881366936387,-0.284
0.42,51.0,1.0,1.0,333.485669643225,395.492800208365,-0.284
0.43,51.0,1.0,1.0,333.485669643225,395.4972904498713,-0.284
0.44,51.0,1.0,1.0,333.485669643225,395.5016158367052,-0.284
0.45,51.0,1.0,1.0,333.485669643225,395.5057843209391,-0.284
0.46,51.0,1.0,1.0,333.485669643225,395.5098034151301,-0.284
0.47,51.0,1.0,1.0,333.485669643225,395.51368021777733,-0.284
0.48,51.0,1.0,1.0,333.485669643225,395.51742143734987,-0.284
0.49,51.0,1.0,1.0,333.485669643225,395.52103341495445,-0.284
0.5,51.0,1.0,1.0,333.485669643225,395.5245221457125,-0.284
0.51,51.0,1.0,1.0,333.485669643225,395.5278932989103,-0.284
0.52,51.0,1.0,1.0,333.485669643225,395.5311522369863,-0.284
0.53,51.0,1.0,1.0,333.485669643225,395.5343040334177,-0.284
0.54,51.0,1.0,1.0,333.485669643225,395.5373534895629,-0.284
0.55,51.0,1.0,1.0,333.485669643225,395.54030515051693,-0.284
0.56,51.0,1.0,1.0,333.485669643225,395.5431633200337,-0.284
0.57,51.0,1.0,1.0,333.485669643225,395.5459320745652,-0.284
0.58,51.0,1.0,1.0,333.485669643225,395.5486152764696,-0.284
0.59,51.0,1.0,1.0,333.485669643225,395.55121658643066,-0.284
0.6,51.0,1.0,1.0,333.485669643225,395.5537394751378,-0.284
0.61,51.0,1.0,1.0,333.485669643225,395.5561872342647,-0.284
0.62,51.0,1.0,1.0,333.485669643225,395.5585629867904,-0.284
0.63,51.0,1.0,1.0,333.485669643225,395.5608696966997,-0.284
0.64,51.0,1.0,1.0,333.485669643225,395.5631101780986,-0.284
0.65,51.0,1.0,1.0,333.485669643225,395.56528710377955,-0.284
0.66,51.0,1.0,1.0,333.485669643225,395.5674030132713,-0.284
0.67,51.0,1.0,1.0,333.485669643225,395.5694603204,-0.284
0.68,51.0,1.0,1.0,333.485669643225,395.57146132039423,-0.284
0.69,51.0,1.0,1.0,333.485669643225,395.5734081965619,-0.284
0.7,51.0,1.0,1.0,333.485669643225,395.57530302656033,-0.284
0.71,51.0,1.0,1.0,333.485669643225,395.5771477882908,-0.284
0.72,51.0,1.0,1.0,333.485669643225,395.57894436543563,-0.284
0.73,51.0,1.0,1.0,333.485669643225,395.5806945526606,-0.284
0.74,51.0,1.0,1.0,333.485669643225,395.58240006050715,-0.284
0.75,51.0,1.0,1.0,333.485669643225,395.58406251998707,-0.284
0.76,51.0,1.0,1.0,333.485669643225,395.58568348690403,-0.284
0.77,51.0,1.0,1.0,333.485669643225,395.5872644459159,-0.284
0.78,51.0,1.0,1.0,333.485669643225,395.5888068143532,-0.284
0.79,51.0,1.0,1.0,333.485669643225,395.5903119458134,-0.284
0.8,51.0,1.0,1.0,333.485669643225,395.5917811335391,-0.284
0.81,51.0,1.0,1.0,333.485669643225,395.5932156135978,-0.284
0.82,51.0,1.0,1.0,333.485669643225,395.5946165678737,-0.284
0.83,51.0,1.0,1.0,333.485669643225,395.5959851268857,-0.284
0.84,51.0,1.0,1.0,333.485669643225,395.5973223724385,-0.284
0.85,51.0,1.0,1.0,333.485669643225,395.59862934012,-0.284
0.86,51.0,1.0,1.0,333.485669643225,395.5999070216561,-0.284
0.87,51.0,1.0,1.0,333.485669643225,395.6011563671268,-0.284
0.88,51.0,1.0,1.0,333.485669643225,395.6023782870573,-0.284
0.89,51.0,1.0,1.0,333.485669643225,395.60357365438887,-0.284
0.9,51.0,1.0,1.0,333.485669643225,395.60474330633855,-0.284
0.91,51.0,1.0,1.0,333.485669643225,395.60588804615253,-0.284
0.92,51.0,1.0,1.0,333.485669643225,395.6070086447632,-0.284
0.93,51.0,1.0,1.0,333.485669643225,395.60810584235196,-0.284
0.94,51.0,1.0,1.0,333.485669643225,395.60918034982586,-0.284
0.95,51.0,1.0,1.0,333.485669643225,395.61023285021287,-0.284
