DSCR,reliab_total,reliab_avg,reliab_min,d_end,π_end,Δμ_pc
1.5,51.0,1.0,1.0,160.63380577078317,241.210660087077,-0.284
1.51,51.0,1.0,1.0,160.63380577078317,242.5172161026033,-0.284
1.52,51.0,1.0,1.0,160.63380577078317,243.44699447696473,-0.284
1.53,51.0,1.0,1.0,160.63380577078317,244.1767457240546,-0.284
1.54,51.0,1.0,1.0,160.63380577078317,244.77631244090972,-0.284
1.55,51.0,1.0,1.0,160.63380577078317,245.2811132798196,-0.284
1.56,51.0,1.0,1.0,160.63380577078317,245.71196071660418,-0.284
1.57,51.0,1.0,1.0,160.63380577078317,246.08243093971777,-0.284
1.58,51.0,1.0,1.0,160.63380577078317,246.40205096182459,-0.284
1.59,51.0,1.0,1.0,160.63380577078317,246.67791039947087,-0.284
1.6,51.0,1.0,1.0,160.63380577078317,246.91556970920226,-0.284
1.61,51.0,1.0,1.0,160.63380577078317,247.11954078622918,-0.284
1.62,51.0,1.0,1.0,160.63380577078317,247.29358404648346,-0.284
1.63,51.0,1.0,1.0,160.63380577078317,247.44092568007312,-0.284
1.64,51.0,1.0,1.0,160.63380577078317,247.56438029464155,-0.284
1.65,51.0,1.0,1.0,160.63380577078317,247.6664187687619,-0.284
1.66,51.0,1.0,1.0,160.63380577078317,247.74923061550948,-0.284
1.67,51.0,1.0,1.0,160.63380577078317,247.81477275052038,-0.284
1.68,51.0,1.0,1.0,160.63380577078317,247.8647931833613,-0.284
1.69,51.0,1.0,1.0,160.63380577078317,247.9008461751768,-0.284
1.7,51.0,1.0,1.0,160.63380577078317,247.92431207620365,-0.284
1.71,51.0,1.0,1.0,160.63380577078317,247.93641671337372,-0.284
1.72,51.0,1.0,1.0,160.63380577078317,247.93824381587172,-0.284
1.73,51.0,1.0,1.0,160.63380577078317,247.93074372936414,-0.284
1.74,51.0,1.0,1.0,160.63380577078317,247.91474494324714,-0.284
1.75,51.0,1.0,1.0,160.63380577078317,247.8909696594574,-0.284
1.76,51.0,1.0,1.0,160.63380577078317,247.8600490517613,-0.284
1.77,51.0,1.0,1.0,160.63380577078317,247.82253319621245,-0.284
1.78,51.0,1.0,1.0,160.63380577078317,247.77889373795963,-0.284
1.79,51.0,1.0,1.0,160.63380577078317,247.72952066474474,-0.284
1.8,51.0,1.0,1.0,160.63380577078317,247.6747158762311,-0.284
1.81,51.0,1.0,1.0,160.63380577078317,247.61468551949451,-0.284
1.82,51.0,1.0,1.0,160.63380577078317,247.54953139889298,-0.284
1.83,51.0,1.0,1.0,160.63380577078317,247.4792401745513,-0.284
1.84,51.0,1.0,1.0,160.63380577078317,247.4036678910461,-0.284
1.85,51.0,1.0,1.0,160.63380577078317,247.32251640359294,-0.284
1.86,51.0,1.0,1.0,160.63380577078317,247.23529701384783,-0.284
1.87,51.0,1.0,1.0,160.63380577078317,247.14127455830297,-0.284
1.88,51.0,1.0,1.0,160.63380577078317,247.03938171456377,-0.284
1.89,51.0,1.0,1.0,160.63380577078317,246.92808763524445,-0.284
1.9,51.0,1.0,1.0,160.63380577078317,246.80468743174225,-0.284
1.91,51.0,1.0,1.0,160.63380577078317,246.66602623424282,-0.284
1.92,51.0,1.0,1.0,160.63380577078317,246.50817263117202,-0.284
1.93,51.0,1.0,1.0,160.63380577078317,246.32446497515016,-0.284
1.94,51.0,1.0,1.0,160.63380577078317,246.10575366008436,-0.284
1.95,51.0,1.0,1.0,160.63380577078317,245.8423323582224,-0.284
1.96,51.0,1.0,1.0,160.63380577078317,245.54153583842213,-0.284
1.97,51.0,1.0,1.0,160.63380577078317,245.340219858512,-0.284
1.98,51.0,1.0,1.0,160.63380577078317,245.9961640667833,-0.284
1.99,51.0,1.0,1.0,160.63380577078317,248.4914509532453,-0.284
2.0,51.0,1.0,1.0,160.63380577078317,251.2478610088368,-0.284
2.01,51.0,1.0,1.0,160.63380577078317,253.34498697604613,-0.284
2.02,51.0,1.0,1.0,160.63380577078317,255.01069117722847,-0.284
2.03,51.0,1.0,1.0,160.63380577078317,256.43454486294416,-0.284
2.04,51.0,1.0,1.0,160.63380577078317,257.71087833380693,-0.284
2.05,51.0,1.0,1.0,160.63380577078317,258.8890655742998,-0.284
2.06,51.0,1.0,1.0,160.63380577078317,259.9976071406662,-0.284
2.07,51.0,1.0,1.0,160.63380577078317,261.0543743456055,-0.284
2.08,51.0,1.0,1.0,160.63380577078317,262.07130014971517,-0.284
2.09,51.0,1.0,1.0,160.63380577078317,263.05673996816205,-0.284
2.1,51.0,1.0,1.0,160.63380577078317,264.016763207458,-0.284
2.11,51.0,1.0,1.0,160.63380577078317,264.9559093571281,-0.284
2.12,51.0,1.0,1.0,160.63380577078317,265.8776553132346,-0.284
2.13,51.0,1.0,1.0,160.63380577078317,266.7847172239715,-0.284
