Decay_dbar,reliab_total,reliab_avg,reliab_min,d_end,π_end,Δμ_pc
0.0,51.0,1.0,1.0,163.00316899888028,250.60734673412927,-0.284
5.0e-5,51.0,1.0,1.0,162.6400575932494,250.7246427017813,-0.284
0.0001,51.0,1.0,1.0,162.24852692519832,250.8375594511434,-0.284
0.00015,51.0,1.0,1.0,161.84336162980813,250.94620454159877,-0.284
0.0002,51.0,1.0,1.0,161.43918792292843,251.0507064376844,-0.284
0.00025,51.0,1.0,1.0,161.0360034271843,251.15120786966443,-0.284
0.0003,51.0,1.0,1.0,160.63380577078317,251.2478610088368,-0.284
0.00035,51.0,1.0,1.0,160.2325925875003,251.34082297497616,-0.284
0.0004,51.0,1.0,1.0,159.83236151666702,251.43025263886958,-0.284
0.00045,51.0,1.0,1.0,159.4331102031577,251.5163082156226,-0.284
0.0005,51.0,1.0,1.0,159.03483629737664,251.5991454024442,-0.284
0.00055,51.0,1.0,1.0,158.6375374552452,251.6789160103391,-0.284
0.0006,51.0,1.0,1.0,158.2412113381921,251.75576699019396,-0.284
0.00065,51.0,1.0,1.0,157.84585561313565,251.82983977074463,-0.284
0.0007,51.0,1.0,1.0,157.45146795247445,251.90126984074607,-0.284
0.00075,51.0,1.0,1.0,157.05804603407435,251.9701865203274,-0.284
0.0008,51.0,1.0,1.0,156.66558754125555,252.0367128771463,-0.284
0.00085,51.0,1.0,1.0,156.27409016277988,252.10096575180341,-0.284
0.0009,51.0,1.0,1.0,155.88355159283887,252.16305586423854,-0.284
0.00095,51.0,1.0,1.0,155.4939695310408,252.22308797876397,-0.284
0.001,51.0,1.0,1.0,155.10534168239846,252.28116111019528,-0.284
