Decay_dbar,reliab_total,reliab_avg,reliab_min,d_end,π_end,Δμ_pc
0.0,51.0,1.0,1.0,338.526421952922,396.74204043572325,-0.284
5.0e-5,51.0,1.0,1.0,337.6811418063043,396.5396655004073,-0.284
0.0001,51.0,1.0,1.0,336.8379301644978,396.3370782440087,-0.284
0.00015,51.0,1.0,1.0,335.9967820686717,396.1342735527591,-0.284
0.0002,51.0,1.0,1.0,335.1576925716369,395.9312474283768,-0.284
0.00025,51.0,1.0,1.0,334.32065673781744,395.7279972599062,-0.284
0.0003,51.0,1.0,1.0,333.485669643225,395.5245221457125,-0.284
0.00035,51.0,1.0,1.0,332.65272637543154,395.3208232746677,-0.284
0.0004,51.0,1.0,1.0,331.82182203354427,395.11690437721137,-0.284
0.00045,51.0,1.0,1.0,330.99295172817625,394.9127599740174,-0.284
0.0005,51.0,1.0,1.0,330.16611058142337,394.70841041292454,-0.284
0.00055,51.0,1.0,1.0,329.34129372683356,394.5038738304794,-0.284
0.0006,51.0,1.0,1.0,328.5184963093887,394.29917049645053,-0.284
0.00065,51.0,1.0,1.0,327.69771348546743,394.09432705995744,-0.284
0.0007,51.0,1.0,1.0,326.8789404228264,393.88937778275414,-0.284
0.00075,51.0,1.0,1.0,326.062172300572,393.684365996827,-0.284
0.0008,51.0,1.0,1.0,325.24740430913437,393.47934582655654,-0.284
0.00085,51.0,1.0,1.0,324.4346316502404,393.274384222469,-0.284
0.0009,51.0,1.0,1.0,323.62384953689053,393.0695633612589,-0.284
0.00095,51.0,1.0,1.0,322.8150531933294,392.86498347521143,-0.284
0.001,51.0,1.0,1.0,322.00823785502246,392.66076618326167,-0.284
