Decay_hard,reliab_total,reliab_avg,reliab_min,d_end,π_end,Δμ_pc
0.025,51.0,1.0,1.0,194.78279223553284,731.8078448003013,-0.284
0.03,51.0,1.0,1.0,188.90797205173124,698.4104551887697,-0.284
0.035,51.0,1.0,1.0,199.21131003945828,606.1212790284053,-0.284
0.04,51.0,1.0,1.0,199.6189518383512,590.6928956926403,-0.284
0.045,51.0,1.0,1.0,199.48409863769803,544.7733740090008,-0.284
0.05,51.0,1.0,1.0,198.81602824727747,568.1298351919258,-0.284
0.055,51.0,1.0,1.0,198.491129472014,586.9047886324984,-0.284
0.06,51.0,1.0,1.0,199.33472649688485,548.7146719331196,-0.284
0.065,51.0,1.0,1.0,198.93745650242576,551.4251519898509,-0.284
0.07,51.0,1.0,1.0,198.7810435743448,537.9065197065463,-0.284
0.075,51.0,1.0,1.0,199.29051682068368,508.2214259504141,-0.284
