FixedPropRates,reliab_total,reliab_avg,reliab_min,d_end,π_end,Δμ_pc
0.0,51.0,1.0,1.0,333.485669643225,395.42043171361524,-0.284
0.01,51.0,1.0,1.0,333.485669643225,395.4233377561377,-0.284
0.02,51.0,1.0,1.0,333.485669643225,395.4262436046045,-0.284
0.03,51.0,1.0,1.0,333.485669643225,395.42914925916335,-0.284
0.04,51.0,1.0,1.0,333.485669643225,395.43205471996237,-0.284
0.05,51.0,1.0,1.0,333.485669643225,395.4349599871489,-0.284
0.06,51.0,1.0,1.0,333.485669643225,395.4378650608708,-0.284
0.07,51.0,1.0,1.0,333.485669643225,395.44076994127585,-0.284
0.08,51.0,1.0,1.0,333.485669643225,395.44367462851113,-0.284
0.09,51.0,1.0,1.0,333.485669643225,395.44657912272476,-0.284
0.1,51.0,1.0,1.0,333.485669643225,395.4494834240639,-0.284
0.11,51.0,1.0,1.0,333.485669643225,395.4523875326759,-0.284
0.12,51.0,1.0,1.0,333.485669643225,395.45529144870824,-0.284
0.13,51.0,1.0,1.0,333.485669643225,395.4581951723079,-0.284
0.14,51.0,1.0,1.0,333.485669643225,395.46109870362255,-0.284
0.15,51.0,1.0,1.0,333.485669643225,395.4640020427992,-0.284
0.16,51.0,1.0,1.0,333.485669643225,395.46690518998486,-0.284
0.17,51.0,1.0,1.0,333.485669643225,395.4698081453268,-0.284
0.18,51.0,1.0,1.0,333.485669643225,395.47271090897186,-0.284
0.19,51.0,1.0,1.0,333.485669643225,395.47561348106683,-0.284
0.2,51.0,1.0,1.0,333.485669643225,395.4785158617593,-0.284
0.21,51.0,1.0,1.0,333.485669643225,395.48141805119525,-0.284
0.22,51.0,1.0,1.0,333.485669643225,395.4843200495221,-0.284
0.23,51.0,1.0,1.0,333.485669643225,395.48722185688644,-0.284
0.24,51.0,1.0,1.0,333.485669643225,395.49012347343466,-0.284
0.25,51.0,1.0,1.0,333.485669643225,395.49302489931364,-0.284
0.26,51.0,1.0,1.0,333.485669643225,395.49592613466996,-0.284
0.27,51.0,1.0,1.0,333.485669643225,395.4988271796499,-0.284
0.28,51.0,1.0,1.0,333.485669643225,395.5017280343999,-0.284
0.29,51.0,1.0,1.0,333.485669643225,395.5046286990667,-0.284
0.3,51.0,1.0,1.0,333.485669643225,395.50752917379634,-0.284
0.31,51.0,1.0,1.0,333.485669643225,395.51042945873513,-0.284
0.32,51.0,1.0,1.0,333.485669643225,395.5133295540292,-0.284
0.33,51.0,1.0,1.0,333.485669643225,395.5162294598247,-0.284
0.34,51.0,1.0,1.0,333.485669643225,395.51912917626805,-0.284
0.35,51.0,1.0,1.0,333.485669643225,395.52202870350476,-0.284
0.36,51.0,1.0,1.0,333.485669643225,395.5249280416815,-0.284
0.37,51.0,1.0,1.0,333.485669643225,395.5278271909431,-0.284
0.38,51.0,1.0,1.0,333.485669643225,395.53072615143645,-0.284
0.39,51.0,1.0,1.0,333.485669643225,395.5336249233069,-0.284
0.4,51.0,1.0,1.0,333.485669643225,395.5365235067003,-0.284
0.41,51.0,1.0,1.0,333.485669643225,395.5394219017621,-0.284
0.42,51.0,1.0,1.0,333.485669643225,395.5423201086379,-0.284
0.43,51.0,1.0,1.0,333.485669643225,395.5452181274735,-0.284
0.44,51.0,1.0,1.0,333.485669643225,395.54811595841426,-0.284
0.45,51.0,1.0,1.0,333.485669643225,395.5510136016057,-0.284
0.46,51.0,1.0,1.0,333.485669643225,395.5539110571928,-0.284
0.47,51.0,1.0,1.0,333.485669643225,395.55680832532147,-0.284
0.48,51.0,1.0,1.0,333.485669643225,395.55970540613635,-0.284
0.49,51.0,1.0,1.0,333.485669643225,395.5626022997829,-0.284
