Goal_l,reliab_total,reliab_avg,reliab_min,d_end,π_end,Δμ_pc
1.0,50.94944779062256,0.9990087802082854,0.9854922971704442,199.60561299928017,514.0951627143048,-0.284
1.01,50.99270206484104,0.9998569032321772,0.9951400823851347,199.12933014264894,526.1154190415565,-0.284
1.02,51.0,1.0,1.0,199.86856623317647,524.6159730734032,-0.284
1.03,51.0,1.0,1.0,199.1837589610685,520.2441373180924,-0.284
1.04,51.0,1.0,1.0,197.93451360515633,522.9717328121874,-0.284
1.05,51.0,1.0,1.0,199.44795302617928,507.1552306470749,-0.284
1.06,51.0,1.0,1.0,198.84422657851857,544.8763199461505,-0.284
1.07,51.0,1.0,1.0,198.60095972966468,544.8114335283814,-0.284
1.08,51.0,1.0,1.0,198.46594519246312,545.9360275217367,-0.284
1.09,51.0,1.0,1.0,198.3257307412424,544.7682506530011,-0.284
1.1,51.0,1.0,1.0,198.17710621301666,548.934312922846,-0.284
1.11,51.0,1.0,1.0,198.0771871945521,553.5179415778761,-0.284
1.12,51.0,1.0,1.0,198.03884351660508,558.2336645512413,-0.284
1.13,51.0,1.0,1.0,198.05973267726722,560.4239698579521,-0.284
1.14,51.0,1.0,1.0,198.14294980689183,561.3904000612453,-0.284
1.15,51.0,1.0,1.0,198.25365670584827,562.4114231867393,-0.284
1.16,51.0,1.0,1.0,198.36575509582795,563.4788516373854,-0.284
1.17,51.0,1.0,1.0,198.4829338804911,564.5879956207732,-0.284
1.18,51.0,1.0,1.0,198.6023357117849,565.7351835455696,-0.284
1.19,51.0,1.0,1.0,198.70125930381408,566.9169433794492,-0.284
1.2,51.0,1.0,1.0,198.81602824727747,568.1298351919258,-0.284
1.21,51.0,1.0,1.0,198.9093369782026,569.4893945103905,-0.284
1.22,51.0,1.0,1.0,199.01057334058473,571.1102583166105,-0.284
1.23,51.0,1.0,1.0,199.10352782225596,572.7069024549829,-0.284
1.24,51.0,1.0,1.0,199.1884767934781,574.3058498020251,-0.284
1.25,51.0,1.0,1.0,199.15084257097507,565.2564063775793,-0.284
1.26,51.0,1.0,1.0,198.89285682471828,563.2037135387876,-0.284
1.27,51.0,1.0,1.0,199.88752967644953,541.7431834914707,-0.284
1.28,51.0,1.0,1.0,199.9072432487744,540.2369556100649,-0.284
1.29,51.0,1.0,1.0,199.17355966848464,542.174019155856,-0.284
1.3,51.0,1.0,1.0,199.13909331543218,562.2163181802296,-0.284
