Goal_l,reliab_total,reliab_avg,reliab_min,d_end,π_end,Δμ_pc
1.0,51.0,1.0,1.0,333.485669643225,395.5245221457125,-0.284
1.01,51.0,1.0,1.0,333.485669643225,395.5245221457125,-0.284
1.02,51.0,1.0,1.0,333.485669643225,395.5245221457125,-0.284
1.03,51.0,1.0,1.0,333.485669643225,395.5245221457125,-0.284
1.04,51.0,1.0,1.0,333.485669643225,395.5245221457125,-0.284
1.05,51.0,1.0,1.0,333.485669643225,395.5245221457125,-0.284
1.06,51.0,1.0,1.0,333.485669643225,395.5245221457125,-0.284
1.07,51.0,1.0,1.0,333.485669643225,395.5245221457125,-0.284
1.08,51.0,1.0,1.0,333.485669643225,395.5245221457125,-0.284
1.09,51.0,1.0,1.0,333.485669643225,395.5245221457125,-0.284
1.1,51.0,1.0,1.0,333.485669643225,395.5245221457125,-0.284
1.11,51.0,1.0,1.0,333.485669643225,395.5245221457125,-0.284
1.12,51.0,1.0,1.0,333.485669643225,395.5245221457125,-0.284
1.13,51.0,1.0,1.0,333.485669643225,395.5245221457125,-0.284
1.14,51.0,1.0,1.0,333.485669643225,395.5245221457125,-0.284
1.15,51.0,1.0,1.0,333.485669643225,395.5245221457125,-0.284
1.16,51.0,1.0,1.0,333.485669643225,395.5245221457125,-0.284
1.17,51.0,1.0,1.0,333.485669643225,395.5245221457125,-0.284
1.18,51.0,1.0,1.0,333.485669643225,395.5245221457125,-0.284
1.19,51.0,1.0,1.0,333.485669643225,395.5245221457125,-0.284
1.2,51.0,1.0,1.0,333.485669643225,395.5245221457125,-0.284
1.21,51.0,1.0,1.0,333.485669643225,395.5245221457125,-0.284
1.22,51.0,1.0,1.0,333.485669643225,395.5245221457125,-0.284
1.23,51.0,1.0,1.0,333.485669643225,395.5245221457125,-0.284
1.24,51.0,1.0,1.0,333.485669643225,395.5245221457125,-0.284
1.25,51.0,1.0,1.0,333.485669643225,395.5245221457125,-0.284
1.26,51.0,1.0,1.0,333.485669643225,395.5245221457125,-0.284
1.27,51.0,1.0,1.0,333.485669643225,395.5245221457125,-0.284
1.28,51.0,1.0,1.0,333.485669643225,395.5245221457125,-0.284
1.29,51.0,1.0,1.0,333.485669643225,395.5245221457125,-0.284
1.3,51.0,1.0,1.0,333.485669643225,395.5245221457125,-0.284
