IF_thresh_r,reliab_total,reliab_avg,reliab_min,d_end,π_end,Δμ_pc
0.0,51.0,1.0,1.0,198.81602824727747,568.1298351919258,-0.284
0.02,51.0,1.0,1.0,198.8119907530556,568.2256634377463,-0.284
0.04,51.0,1.0,1.0,198.80686225953318,568.2627998205173,-0.284
0.06,51.0,1.0,1.0,198.80174492457644,568.0880752362681,-0.284
0.08,51.0,1.0,1.0,198.7986624873432,567.4318825197015,-0.284
0.1,51.0,1.0,1.0,198.7991413215226,565.9589963503759,-0.284
0.12,51.0,1.0,1.0,198.80248974980378,563.306802684284,-0.284
0.14,51.0,1.0,1.0,198.81925789065272,559.0979066631703,-0.284
0.16,51.0,1.0,1.0,198.8454959386503,553.1259812024289,-0.284
0.18,51.0,1.0,1.0,198.86568535699035,545.8907155753224,-0.284
0.2,51.0,1.0,1.0,198.90675291253444,538.8107861213887,-0.284
0.22,51.0,1.0,1.0,198.93693135439338,533.3580773382963,-0.284
0.24,51.0,1.0,1.0,198.98000469075015,529.9999528695414,-0.284
0.26,51.0,1.0,1.0,199.02099722907883,528.0507879520558,-0.284
0.28,51.0,1.0,1.0,199.0442690081431,526.6586810259411,-0.284
0.3,51.0,1.0,1.0,199.06355629168652,525.2124494197832,-0.284
0.32,51.0,1.0,1.0,199.0294305437434,523.3771081289045,-0.284
0.34,51.0,1.0,1.0,198.97808026650847,521.4671354977019,-0.284
0.36,51.0,1.0,1.0,198.87132168464143,524.1326761569811,-0.284
0.38,51.0,1.0,1.0,198.48445198509407,551.1561790718872,-0.284
0.4,51.0,1.0,1.0,199.64348488233605,529.7715195259781,-0.284
0.42,51.0,1.0,1.0,198.4286148093368,518.4053765217197,-0.284
0.44,51.0,1.0,1.0,197.0696784218647,504.2835301949874,-0.284
0.46,51.0,1.0,1.0,192.83010685402485,506.0531499259504,-0.284
0.48,51.0,1.0,1.0,192.12370696251045,495.35993361754703,-0.284
0.5,51.0,1.0,1.0,183.28253967381855,475.44901983417907,-0.284
0.52,51.0,1.0,1.0,178.1410741735709,460.046146068228,-0.284
0.54,51.0,1.0,1.0,184.1763186870422,443.7827205875245,-0.284
0.56,51.0,1.0,1.0,182.38117913181364,429.2889972737083,-0.284
0.58,50.58158435786798,0.9917957717229016,0.8167887436154561,182.97489701064399,416.5849563811931,-0.284
0.6,50.55009210394401,0.9911782765479218,0.8013569579068608,182.34494051735,405.03030603568305,-0.284
0.62,49.75802530226031,0.9756475549462805,0.6214979173751487,182.98382768105017,394.0682939853867,-0.284
0.64,44.50545295269366,0.8726559402488953,0.4048832453764268,176.12558660703849,398.071112520098,-0.284
0.66,39.244562919620805,0.769501233718055,0.42162258778787964,168.5418387101671,391.2069958035778,-0.284
0.68,29.86688548552298,0.5856252055984899,0.22359855232048795,191.98572422502636,389.4809559808628,-0.284
0.7,23.60631985619417,0.462869016788121,0.16997265625778346,229.8737002697515,384.9575850143052,-0.284
0.72,19.71793391386724,0.3866261551738674,0.05419280470276029,271.0985285245078,379.4582366548093,-0.284
0.74,18.023607989768344,0.3534040782307518,0.03342282256601743,272.9383006330415,369.71978532954404,-0.284
0.76,16.870824093457347,0.3308004724207323,0.017828062163811415,274.29533383832654,360.66055097695653,-0.284
0.78,16.091557330167632,0.3155207319640712,0.011400674998184509,275.0154855572514,352.24795845541576,-0.284
0.8,15.721979918054906,0.30827411604029226,0.01078516261560671,275.2635497564682,344.32271608483956,-0.284
0.82,15.139917818617894,0.29686113369839007,0.009624231672920711,275.67365894276816,337.3355912099259,-0.284
0.84,14.712369603217496,0.2884778353572058,0.008895701938926071,275.96832193168416,330.85765335924003,-0.284
0.86,14.367434357074137,0.2817143991583164,0.00837435853455708,276.199858719036,324.87244365360624,-0.284
0.88,14.109374927328718,0.2766544103397788,0.007988064512361111,276.371680637766,319.3187855610107,-0.284
0.9,13.817942659014657,0.2709400521375423,0.007528787766764332,276.56745847749033,314.24044664239415,-0.284
0.92,13.64323963837871,0.267514502713308,0.007278109817229758,276.68260332982766,309.46680276055076,-0.284
0.94,13.513976504162342,0.26497993145416354,0.007087987456272727,276.76658062258304,305.01505897312467,-0.284
0.96,13.453094340084037,0.26378616353105955,0.006997360351380681,276.8052778504638,300.8339191655864,-0.284
0.98,13.438992783216452,0.26350966241600887,0.0069807748288245415,276.8142859989455,296.91037202701875,-0.284
1.0,13.429706340782438,0.26332757530945955,0.006969844439583469,276.8201994012097,293.24638020578834,-0.284
