IF_thresh_r,reliab_total,reliab_avg,reliab_min,d_end,π_end,Δμ_pc
0.0,51.0,1.0,1.0,333.485669643225,395.5245221457125,-0.284
0.02,51.0,1.0,1.0,333.485669643225,395.6462603138055,-0.284
0.04,51.0,1.0,1.0,333.485669643225,396.6259481994494,-0.284
0.06,51.0,1.0,1.0,333.485669643225,398.0903781501818,-0.284
0.08,51.0,1.0,1.0,333.485669643225,399.0451546950992,-0.284
0.1,51.0,1.0,1.0,333.485669643225,399.50786561593685,-0.284
0.12,51.0,1.0,1.0,333.485669643225,399.6657889768154,-0.284
0.14,51.0,1.0,1.0,333.485669643225,399.64207003153746,-0.284
0.16,51.0,1.0,1.0,333.485669643225,399.5103596690867,-0.284
0.18,51.0,1.0,1.0,333.485669643225,399.31823496360266,-0.284
0.2,51.0,1.0,1.0,333.485669643225,399.10032822149583,-0.284
0.22,51.0,1.0,1.0,333.485669643225,398.88376941123676,-0.284
0.24,51.0,1.0,1.0,333.485669643225,398.6885741268096,-0.284
0.26,51.0,1.0,1.0,333.485669643225,398.52635445266014,-0.284
0.28,51.0,1.0,1.0,333.485669643225,398.4003592949635,-0.284
0.3,51.0,1.0,1.0,333.485669643225,398.3076499758054,-0.284
0.32,51.0,1.0,1.0,333.485669643225,398.2421766994655,-0.284
0.34,51.0,1.0,1.0,333.485669643225,398.19729452543646,-0.284
0.36,51.0,1.0,1.0,333.485669643225,398.16716178347036,-0.284
0.38,51.0,1.0,1.0,333.485669643225,398.1472163904899,-0.284
0.4,51.0,1.0,1.0,333.485669643225,398.1341387942713,-0.284
0.42,51.0,1.0,1.0,333.485669643225,398.12561771255605,-0.284
0.44,51.0,1.0,1.0,333.485669643225,398.12008825700906,-0.284
0.46,51.0,1.0,1.0,333.485669643225,398.1165096653949,-0.284
0.48,51.0,1.0,1.0,333.485669643225,398.11419764779714,-0.284
0.5,51.0,1.0,1.0,333.485669643225,398.11270559398815,-0.284
0.52,51.0,1.0,1.0,333.485669643225,398.11174339658993,-0.284
0.54,51.0,1.0,1.0,333.485669643225,398.1111231826898,-0.284
0.56,51.0,1.0,1.0,333.485669643225,398.11072352486326,-0.284
0.58,51.0,1.0,1.0,333.485669643225,398.1104660403905,-0.284
0.6,51.0,1.0,1.0,333.485669643225,398.1103001735491,-0.284
0.62,51.0,1.0,1.0,333.485669643225,398.1101933337183,-0.284
0.64,51.0,1.0,1.0,333.485669643225,398.11012451852747,-0.284
0.66,51.0,1.0,1.0,333.485669643225,398.1100801963629,-0.284
0.68,51.0,1.0,1.0,333.485669643225,398.1100516501652,-0.284
0.7,51.0,1.0,1.0,333.485669643225,398.11003326491385,-0.284
0.72,51.0,1.0,1.0,333.485669643225,398.1100214239515,-0.284
0.74,51.0,1.0,1.0,333.485669643225,398.11001379786126,-0.284
0.76,51.0,1.0,1.0,333.485669643225,398.1100088863485,-0.284
0.78,51.0,1.0,1.0,333.485669643225,398.1100057231416,-0.284
0.8,51.0,1.0,1.0,333.485669643225,398.11000368591573,-0.284
0.82,51.0,1.0,1.0,333.485669643225,398.11000237386565,-0.284
0.84,51.0,1.0,1.0,333.485669643225,398.1100015288566,-0.284
0.86,51.0,1.0,1.0,333.485669643225,398.1100009846396,-0.284
0.88,51.0,1.0,1.0,333.485669643225,398.1100006341439,-0.284
0.9,51.0,1.0,1.0,333.485669643225,398.11000040841185,-0.284
0.92,51.0,1.0,1.0,333.485669643225,398.110000263032,-0.284
0.94,51.0,1.0,1.0,333.485669643225,398.1100001694022,-0.284
0.96,51.0,1.0,1.0,333.485669643225,398.1100001091013,-0.284
0.98,51.0,1.0,1.0,333.485669643225,398.1100000702651,-0.284
1.0,51.0,1.0,1.0,333.485669643225,398.1100000452533,-0.284
