IF_thresh_s,reliab_total,reliab_avg,reliab_min,d_end,π_end,Δμ_pc
0.0,51.0,1.0,1.0,198.81602824727747,568.1298351919258,-0.284
0.01,51.0,1.0,1.0,198.81602828737923,568.1298285798681,-0.284
0.02,51.0,1.0,1.0,198.8160283007265,568.1298263789133,-0.284
0.03,51.0,1.0,1.0,198.81602830516974,568.1298256462634,-0.284
0.04,51.0,1.0,1.0,198.81602830664997,568.1298254023893,-0.284
0.05,51.0,1.0,1.0,198.8160283071424,568.1298253212185,-0.284
0.06,51.0,1.0,1.0,198.8160283073054,568.1298252941988,-0.284
0.07,51.0,1.0,1.0,198.81602830735955,568.1298252852142,-0.284
0.08,51.0,1.0,1.0,198.81602830737796,568.1298252822105,-0.284
0.09,51.0,1.0,1.0,198.81602830738353,568.1298252812089,-0.284
0.1,51.0,1.0,1.0,198.8160283073865,568.129825280869,-0.284
0.11,51.0,1.0,1.0,198.8160283073877,568.1298252807507,-0.284
0.12,51.0,1.0,1.0,198.81602830738797,568.1298252807154,-0.284
0.13,51.0,1.0,1.0,198.81602830738785,568.1298252807054,-0.284
0.14,51.0,1.0,1.0,198.81602830738802,568.1298252807046,-0.284
0.15,51.0,1.0,1.0,198.81602830738743,568.1298252806863,-0.284
0.16,51.0,1.0,1.0,198.81602830738748,568.1298252806862,-0.284
0.17,51.0,1.0,1.0,198.81602830738748,568.1298252806862,-0.284
0.18,51.0,1.0,1.0,198.81602830738748,568.1298252806862,-0.284
0.19,51.0,1.0,1.0,198.81602830738748,568.1298252806862,-0.284
0.2,51.0,1.0,1.0,198.81602830738748,568.1298252806862,-0.284
0.21,51.0,1.0,1.0,198.81602830738748,568.1298252806862,-0.284
0.22,51.0,1.0,1.0,198.81602830738748,568.1298252806862,-0.284
0.23,51.0,1.0,1.0,198.81602830738748,568.1298252806862,-0.284
0.24,51.0,1.0,1.0,198.81602830738748,568.1298252806862,-0.284
0.25,51.0,1.0,1.0,198.81602830738748,568.1298252806862,-0.284
0.26,51.0,1.0,1.0,198.81602830738748,568.1298252806862,-0.284
0.27,51.0,1.0,1.0,198.81602830738748,568.1298252806862,-0.284
0.28,51.0,1.0,1.0,198.81602830738748,568.1298252806862,-0.284
0.29,51.0,1.0,1.0,198.81602830738748,568.1298252806862,-0.284
0.3,51.0,1.0,1.0,198.81602830738748,568.1298252806862,-0.284
0.31,51.0,1.0,1.0,198.81602830738748,568.1298252806862,-0.284
0.32,51.0,1.0,1.0,198.81602830738748,568.1298252806862,-0.284
0.33,51.0,1.0,1.0,198.81602830738748,568.1298252806862,-0.284
0.34,51.0,1.0,1.0,198.81602830738748,568.1298252806862,-0.284
0.35,51.0,1.0,1.0,198.81602830738748,568.1298252806862,-0.284
0.36,51.0,1.0,1.0,198.81602830738748,568.1298252806862,-0.284
0.37,51.0,1.0,1.0,198.81602830738748,568.1298252806862,-0.284
0.38,51.0,1.0,1.0,198.81602830738748,568.1298252806862,-0.284
0.39,51.0,1.0,1.0,198.81602830738748,568.1298252806862,-0.284
0.4,51.0,1.0,1.0,198.81602830738748,568.1298252806862,-0.284
0.41,51.0,1.0,1.0,198.81602830738748,568.1298252806862,-0.284
0.42,51.0,1.0,1.0,198.81602830738748,568.1298252806862,-0.284
0.43,51.0,1.0,1.0,198.81602830738748,568.1298252806862,-0.284
0.44,51.0,1.0,1.0,198.81602830738748,568.1298252806862,-0.284
0.45,51.0,1.0,1.0,198.81602830738748,568.1298252806862,-0.284
0.46,51.0,1.0,1.0,198.81602830738748,568.1298252806862,-0.284
0.47,51.0,1.0,1.0,198.81602830738748,568.1298252806862,-0.284
0.48,51.0,1.0,1.0,198.81602830738748,568.1298252806862,-0.284
0.49,51.0,1.0,1.0,198.81602830738748,568.1298252806862,-0.284
0.5,51.0,1.0,1.0,198.81602830738748,568.1298252806862,-0.284
