IntRate,reliab_total,reliab_avg,reliab_min,d_end,π_end,Δμ_pc
0.0,51.0,1.0,1.0,199.85772364136645,493.9136411295389,-0.284
0.01,51.0,1.0,1.0,199.69095307296635,531.3800537646501,-0.284
0.02,51.0,1.0,1.0,199.312510635718,558.7347285954266,-0.284
0.03,51.0,1.0,1.0,198.60932966044498,589.6230435716798,-0.284
0.04,51.0,1.0,1.0,198.81602824727747,568.1298351919258,-0.284
0.05,51.0,1.0,1.0,199.21130307918204,577.2359338302033,-0.284
0.06,51.0,1.0,1.0,197.56242035133715,592.3127873885473,-0.284
0.07,51.0,1.0,1.0,196.99692806255558,561.1917399104155,-0.284
0.08,51.0,1.0,1.0,195.15427941743647,565.6863640863529,-0.284
0.09,51.0,1.0,1.0,193.7324204131079,581.3785622121975,-0.284
0.1,51.0,1.0,1.0,191.43852567059048,588.3116827452142,-0.284
