IntRate,reliab_total,reliab_avg,reliab_min,d_end,π_end,Δμ_pc
0.0,51.0,1.0,1.0,333.485669643225,398.10999998909625,-0.284
0.01,51.0,1.0,1.0,333.485669643225,398.10997576752646,-0.284
0.02,51.0,1.0,1.0,333.485669643225,398.0945426452682,-0.284
0.03,51.0,1.0,1.0,333.485669643225,391.3022701587887,-0.284
0.04,51.0,1.0,1.0,333.485669643225,395.5245221457125,-0.284
0.05,51.0,1.0,1.0,333.485669643225,417.7572465516685,-0.284
0.06,51.0,1.0,1.0,333.485669643225,438.16046325827824,-0.284
0.07,51.0,1.0,1.0,333.485669643225,456.7782038590439,-0.284
0.08,51.0,1.0,1.0,333.485669643225,457.1260396405719,-0.284
0.09,51.0,1.0,1.0,333.485669643225,456.08334221740324,-0.284
0.1,51.0,1.0,1.0,333.485669643225,467.11328932517205,-0.284
