MagCAPShock,Bond_Time,reliab_total,reliab_avg,reliab_min,d_end,π_end,Δμ_pc
-1.0,5.0,51.0,1.0,1.0,193.10363929549902,587.9970288034597,-1.0
-0.99,5.0,51.0,1.0,1.0,193.15001847076988,587.9828156969894,-0.99
-0.98,5.0,51.0,1.0,1.0,193.19658439765428,587.9660568703473,-0.98
-0.97,5.0,51.0,1.0,1.0,193.2433489847036,587.9468525000417,-0.97
-0.96,5.0,51.0,1.0,1.0,193.29032444807532,587.925477752515,-0.96
-0.95,5.0,51.0,1.0,1.0,193.33752409764492,587.9023907203294,-0.95
-0.94,5.0,51.0,1.0,1.0,193.38496362068517,587.8782231474842,-0.94
-0.93,5.0,51.0,1.0,1.0,193.43266307654778,587.8537540018143,-0.93
-0.92,5.0,51.0,1.0,1.0,193.48065018574906,587.8298692271298,-0.92
-0.91,5.0,51.0,1.0,1.0,193.5289670486307,587.807515421736,-0.91
-0.9,5.0,51.0,1.0,1.0,193.57768959018773,587.7876662944367,-0.9
-0.89,5.0,51.0,1.0,1.0,193.62703240837703,587.7714073038197,-0.89
-0.88,5.0,51.0,1.0,1.0,193.6772619414142,587.8050996975697,-0.88
-0.87,5.0,51.0,1.0,1.0,193.72764540282168,587.8510607594086,-0.87
-0.86,5.0,51.0,1.0,1.0,193.77827621198577,587.8887401712568,-0.86
-0.85,5.0,51.0,1.0,1.0,193.82913215346,587.9194806308741,-0.85
-0.84,5.0,51.0,1.0,1.0,193.88019960630578,587.9444491292508,-0.84
-0.83,5.0,51.0,1.0,1.0,193.93146931272616,587.9646470222442,-0.83
-0.82,5.0,51.0,1.0,1.0,193.98293450270728,587.9809242895343,-0.82
-0.81,5.0,51.0,1.0,1.0,194.0345899519738,587.9939959540635,-0.81
-0.8,5.0,51.0,1.0,1.0,194.0868000935696,588.0044588371045,-0.8
-0.79,5.0,51.0,1.0,1.0,194.1443985095103,588.012807711024,-0.79
-0.78,5.0,51.0,1.0,1.0,194.20197599867072,588.019450273344,-0.78
-0.77,5.0,51.0,1.0,1.0,194.2595334021871,588.0247206517723,-0.77
-0.76,5.0,51.0,1.0,1.0,194.3170719317146,588.0288913346329,-0.76
-0.75,5.0,51.0,1.0,1.0,194.37459311026302,588.0321835427441,-0.75
-0.74,5.0,51.0,1.0,1.0,194.4320987291357,588.0347761301836,-0.74
-0.73,5.0,51.0,1.0,1.0,194.48959081526252,588.0368131410359,-0.73
-0.72,5.0,51.0,1.0,1.0,194.54707160539039,588.0384101669664,-0.72
-0.71,5.0,51.0,1.0,1.0,194.6045435248692,588.0396596540506,-0.71
-0.7,5.0,51.0,1.0,1.0,194.6620091695512,588.0406353020528,-0.7
-0.69,5.0,51.0,1.0,1.0,194.71947128991823,588.0413956890366,-0.69
-0.68,5.0,51.0,1.0,1.0,194.77693277677727,588.0419872412308,-0.68
-0.67,5.0,51.0,1.0,1.0,194.8343966481705,588.0424466541976,-0.67
-0.66,5.0,51.0,1.0,1.0,194.89186603723297,588.0428028575693,-0.66
-0.65,5.0,51.0,1.0,1.0,194.94934418086837,588.0430786025904,-0.65
-0.64,5.0,51.0,1.0,1.0,195.0068344091044,588.0432917397842,-0.64
-0.63,5.0,51.0,1.0,1.0,195.06434013510986,588.0434562433978,-0.63
-0.62,5.0,51.0,1.0,1.0,195.12186484582747,588.0435830299448,-0.62
-0.61,5.0,51.0,1.0,1.0,195.17941209317524,588.0436806100661,-0.61
-0.6,5.0,51.0,1.0,1.0,195.2369854858479,588.0437556060352,-0.6
-0.59,5.0,51.0,1.0,1.0,195.29458868164397,588.0438131613786,-0.59
-0.58,5.0,51.0,1.0,1.0,195.35222538035924,588.0438572641931,-0.58
-0.57,5.0,51.0,1.0,1.0,195.4098993171858,588.0438910016602,-0.57
-0.56,5.0,51.0,1.0,1.0,195.46761425662515,588.0439167598884,-0.56
-0.55,5.0,51.0,1.0,1.0,195.5253739868605,588.0439363804463,-0.55
-0.54,5.0,51.0,1.0,1.0,195.58318231458915,588.0439512826922,-0.54
-0.53,5.0,51.0,1.0,1.0,195.64104306026084,588.0439625591599,-0.53
-0.52,5.0,51.0,1.0,1.0,195.6973825239305,588.0439708565787,-0.52
-0.51,5.0,51.0,1.0,1.0,195.68117985158497,586.0963438493509,-0.51
-0.5,5.0,51.0,1.0,1.0,195.664292608095,584.0780101997971,-0.5
-0.49,5.0,51.0,1.0,1.0,195.6478558372359,582.0547028873182,-0.49
-0.48,5.0,51.0,1.0,1.0,195.63178259736614,580.0099102742341,-0.48
-0.47,5.0,51.0,1.0,1.0,195.6160547604467,577.8843849541164,-0.47
-0.46,5.0,51.0,1.0,1.0,195.60077335326469,575.5098998337868,-0.46
-0.45,5.0,51.0,1.0,1.0,195.58632768518765,572.60416133594,-0.45
-0.44,5.0,51.0,1.0,1.0,195.57028651714157,569.5615811903102,-0.44
-0.43,5.0,51.0,1.0,1.0,195.5482391133574,569.6806137933888,-0.43
-0.42,5.0,51.0,1.0,1.0,195.5393715496475,568.2977189090826,-0.42
-0.41,5.0,51.0,1.0,1.0,195.53738496260638,565.7727646002865,-0.41
-0.4,5.0,51.0,1.0,1.0,195.54070598119836,563.9402604681391,-0.4
-0.39,5.0,51.0,1.0,1.0,195.54875681702364,563.5748143894529,-0.39
-0.38,5.0,51.0,1.0,1.0,195.56101797505715,562.9549369401595,-0.38
-0.37,5.0,51.0,1.0,1.0,195.5769805276314,561.9307123584441,-0.37
-0.36,5.0,51.0,1.0,1.0,195.59617959656626,560.504049855034,-0.36
-0.35,5.0,51.0,1.0,1.0,195.61218500057214,558.7526664634722,-0.35
-0.34,5.0,51.0,1.0,1.0,195.62964266681198,556.7989134625311,-0.34
-0.33,5.0,51.0,1.0,1.0,195.64865843181306,554.8042470436441,-0.33
-0.32,5.0,51.0,1.0,1.0,195.6688003414732,552.8054639010396,-0.32
-0.31,5.0,51.0,1.0,1.0,195.6898283813537,549.9219650893523,-0.31
-0.3,5.0,51.0,1.0,1.0,195.71161223900722,547.4470062837896,-0.3
-0.29,5.0,51.0,1.0,1.0,195.7340995666028,554.6418583638323,-0.29
-0.28,5.0,51.0,1.0,1.0,195.75729146731294,565.0342073531004,-0.28
-0.27,5.0,51.0,1.0,1.0,195.78121795470494,574.1041802364382,-0.27
-0.26,5.0,51.0,1.0,1.0,195.80591373883306,582.5533314786796,-0.26
-0.25,5.0,51.0,1.0,1.0,195.8313990573677,590.7963792847428,-0.25
-0.24,5.0,51.0,1.0,1.0,195.8576750425198,598.9791733618281,-0.24
-0.23,5.0,51.0,1.0,1.0,195.88431952951615,607.8665427735812,-0.23
-0.22,5.0,51.0,1.0,1.0,195.73550655481625,605.4203069487703,-0.22
-0.21,5.0,51.0,1.0,1.0,195.59726226132727,602.888053269868,-0.21
-0.2,5.0,51.0,1.0,1.0,195.4713841997651,600.3562604196984,-0.2
-0.19,5.0,51.0,1.0,1.0,195.3583397708612,597.8137711165875,-0.19
-0.18,5.0,51.0,1.0,1.0,195.25941190420275,595.1305172136782,-0.18
-0.17,5.0,51.0,1.0,1.0,195.17457134992458,591.9770544725276,-0.17
-0.16,5.0,51.0,1.0,1.0,195.0947261190925,588.7032716423611,-0.16
-0.15,5.0,51.0,1.0,1.0,195.8069038323515,590.0531604309979,-0.15
-0.14,5.0,51.0,1.0,1.0,198.82056209689563,588.0365291982624,-0.14
-0.13,5.0,51.0,1.0,1.0,201.0064087646116,588.0439990699557,-0.13
-0.12,5.0,51.0,1.0,1.0,202.31140644404752,588.0440108195974,-0.12
-0.11,5.0,51.0,1.0,1.0,204.02819061673785,556.2990070185026,-0.11
-0.1,5.0,51.0,1.0,1.0,204.30091200096868,587.7704942929197,-0.1
-0.09,5.0,51.0,1.0,1.0,205.29582733700084,588.0285591180323,-0.09
-0.08,5.0,51.0,1.0,1.0,206.40208052499202,609.8772215434633,-0.08
