MagCAPShock,Conserv_Sens,reliab_total,reliab_avg,reliab_min,d_end,π_end,Δμ_pc
-1.0,0.01,50.515857032087254,0.9905070006291619,0.8322193363904891,154.67183364284156,275.7589801263605,-1.0
-0.99,0.01,50.53319317018022,0.9908469249054945,0.8380061695711624,154.74928032006216,274.95573587995716,-0.99
-0.98,0.01,50.55051707460737,0.9911866093060269,0.8437930027518356,154.83214698481274,274.15167301990505,-0.98
-0.97,0.01,50.567828752718654,0.9915260539748756,0.8495798359325089,154.91520139267539,273.34661448342683,-0.97
-0.96,0.01,50.58512821131122,0.9918652590453181,0.8553666691131823,154.99843992943678,272.54035552059344,-0.96
-0.95,0.01,50.602415456499,0.9922042246372353,0.8611535022938555,155.08185923841864,271.7326600533692,-0.95
-0.94,0.01,50.61969049357019,0.9925429508543174,0.8669403354745288,155.159600426284,270.923256876616,-0.94
-0.93,0.01,50.63695332683167,0.9928814377810132,0.8727271686552021,155.24336554701537,270.1118358719562,-0.93
-0.92,0.01,50.65420395943951,0.9932196854792061,0.8785140018358751,155.32730318084865,269.29804451680144,-0.92
-0.91,0.01,50.67144239321428,0.9935576939845937,0.8843008350165485,155.41141068239773,268.48148513402657,-0.91
-0.9,0.01,50.688668628440475,0.9938954633027544,0.8900876681972218,155.4956854606624,267.66171356347127,-0.9
-0.89,0.01,50.70588266364918,0.9942329934048858,0.895874501377895,155.58008320687927,266.8382402722618,-0.89
-0.88,0.01,50.72308449538315,0.9945702842231989,0.9016613345585685,155.65821866031462,266.01053539231253,-0.88
-0.87,0.01,50.740274117944,0.9949073356459607,0.9074481677392415,155.74297182225163,265.17803982348596,-0.87
-0.86,0.01,50.757451523121034,0.9952441475121772,0.9132350009199148,155.82788239604332,264.34018541773776,-0.86
-0.85,0.01,50.77461669990212,0.9955807196059239,0.919021834100588,155.91294803183834,263.49642840684703,-0.85
-0.84,0.01,50.79176963416701,0.9959170516503335,0.9248086672812615,155.99816642274595,262.64630167251255,-0.84
-0.83,0.01,50.80891030836462,0.996253143301267,0.9305955004619346,156.076382609303,261.789493133734,-0.83
-0.82,0.01,50.826038701176174,0.9965889941407093,0.936382333642608,156.16188953143418,260.925959248544,-0.82
-0.81,0.01,50.84315478716741,0.9969246036699492,0.9421691668232811,156.24754249181615,260.0560839272786,-0.81
-0.8,0.01,50.86025853643428,0.997259971302633,0.9479560000039545,156.33333934378956,259.18089310168403,-0.8
-0.79,0.01,50.877349914248136,0.9975950963578066,0.953742833184628,156.4192779789309,258.3023321798616,-0.79
-0.78,0.01,50.894428880708325,0.9979299780531045,0.9595296663653011,156.50535632736756,257.4236052763703,-0.78
-0.77,0.01,50.91149539041263,0.9982646154982869,0.9653164995459741,156.5838094399018,256.5495588404371,-0.77
-0.76,0.01,50.92854939215876,0.9985990076893874,0.9711033327266476,156.67014770758698,255.68706743371888,-0.76
-0.75,0.01,50.945590828693625,0.9989331535037965,0.9768901659073207,156.75661967779405,254.8453524227818,-0.75
-0.74,0.01,50.962619636531315,0.9992670516966925,0.9826769990879943,156.84322347862448,254.03615594372587,-0.74
-0.73,0.01,50.97963574586555,0.9996007008993245,0.9884638322686674,156.92995729397845,253.27372741881493,-0.73
-0.72,0.01,50.99425066544934,0.9998872679499872,0.9942506654493406,157.0168193550896,252.57459752046802,-0.72
-0.71,0.01,51.0,1.0,1.0,157.09556717091226,251.95681270127528,-0.71
-0.7,0.01,51.0,1.0,1.0,157.1826855642335,251.43759348421818,-0.7
-0.69,0.01,51.0,1.0,1.0,157.26992382490823,251.02890644714944,-0.69
-0.68,0.01,51.0,1.0,1.0,157.35728108781865,250.73351515913868,-0.68
-0.67,0.01,51.0,1.0,1.0,157.44475636164918,250.54460563524654,-0.67
-0.66,0.01,51.0,1.0,1.0,157.53234852347396,250.44831707519631,-0.66
-0.65,0.01,51.0,1.0,1.0,157.62000999532637,250.4268230690636,-0.65
-0.64,0.01,51.0,1.0,1.0,157.69934123257707,250.46102414554238,-0.64
-0.63,0.01,51.0,1.0,1.0,157.7872406025419,250.53272706818242,-0.63
-0.62,0.01,51.0,1.0,1.0,157.87525530113692,250.6261775910596,-0.62
-0.61,0.01,51.0,1.0,1.0,157.96338524052447,250.7288590611788,-0.61
-0.6,0.01,51.0,1.0,1.0,158.05163058943663,250.83163666885093,-0.6
-0.59,0.01,51.0,1.0,1.0,158.13999180408456,250.92844538746178,-0.59
-0.58,0.01,51.0,1.0,1.0,158.22840613637354,251.015739186626,-0.58
-0.57,0.01,51.0,1.0,1.0,158.30885060227436,251.0918746752687,-0.57
-0.56,0.01,51.0,1.0,1.0,158.3975230586579,251.15653848791337,-0.56
-0.55,0.01,51.0,1.0,1.0,158.48631908090678,251.21027154700226,-0.55
-0.54,0.01,51.0,1.0,1.0,158.5752403753879,251.25410447005137,-0.54
-0.53,0.01,51.0,1.0,1.0,158.66428894774776,251.28929631035552,-0.53
-0.52,0.01,51.0,1.0,1.0,158.75346710458865,251.3171590756086,-0.52
-0.51,0.01,51.0,1.0,1.0,158.84277745481285,251.33894827935154,-0.51
-0.5,0.01,51.0,1.0,1.0,158.92593316994672,251.35580146482744,-0.5
-0.49,0.01,51.0,1.0,1.0,159.01542239372185,251.3687098438876,-0.49
-0.48,0.01,51.0,1.0,1.0,159.1050349979811,251.37851161869145,-0.48
-0.47,0.01,51.0,1.0,1.0,159.1947687524568,251.3858986032237,-0.47
-0.46,0.01,51.0,1.0,1.0,159.28462102420386,251.3914302353286,-0.46
-0.45,0.01,51.0,1.0,1.0,159.37458895102577,251.3955509685906,-0.45
-0.44,0.01,51.0,1.0,1.0,159.46466979384726,251.39860843705586,-0.44
-0.43,0.01,51.0,1.0,1.0,159.5548271595989,251.40087079521044,-0.43
-0.42,0.01,51.0,1.0,1.0,159.64232222807755,251.40254234376064,-0.42
-0.41,0.01,51.0,1.0,1.0,159.73139457597304,251.40377703553173,-0.41
-0.4,0.01,51.0,1.0,1.0,159.82041570640266,251.4045778381804,-0.4
-0.39,0.01,51.0,1.0,1.0,159.90940500023873,251.40457641106178,-0.39
-0.38,0.01,51.0,1.0,1.0,159.99841218797616,251.40457506148962,-0.38
-0.37,0.01,51.0,1.0,1.0,160.08754505604443,251.40457379994552,-0.37
-0.36,0.01,51.0,1.0,1.0,160.17704735339052,251.40457263558469,-0.36
-0.35,0.01,51.0,1.0,1.0,160.26770373986514,251.40457156639667,-0.35
-0.34,0.01,51.0,1.0,1.0,160.34652676903465,251.4045713413489,-0.34
-0.33,0.01,51.0,1.0,1.0,160.41813419667116,251.40457135006216,-0.33
-0.32,0.01,51.0,1.0,1.0,160.50332434598272,251.4045713469351,-0.32
-0.31,0.01,51.0,1.0,1.0,160.58938766983545,251.40457134338752,-0.31
-0.3,0.01,51.0,1.0,1.0,160.63380577078317,251.40457133960075,-0.3
-0.29,0.01,51.0,1.0,1.0,160.6338057707831,251.40457133555833,-0.29
-0.28,0.01,51.0,1.0,1.0,160.63380577078317,251.40457133124283,-0.28
-0.27,0.01,51.0,1.0,1.0,160.63380577078314,251.40457048772623,-0.27
-0.26,0.01,51.0,1.0,1.0,160.6338057707832,251.40456912093867,-0.26
