MagCAPShock,DSCR,reliab_total,reliab_avg,reliab_min,d_end,π_end,Δμ_pc
-1.0,1.5,50.515836090653764,0.9905065900128189,0.8322193363904891,154.6708081425773,281.44450963567624,-1.0
-0.99,1.5,50.53319317018022,0.9908469249054945,0.8380061695711624,154.74935228340266,281.13053306373064,-0.99
-0.98,1.5,50.55051707460737,0.9911866093060269,0.8437930027518356,154.83222793217058,280.5425710766892,-0.98
-0.97,1.5,50.567828752718654,0.9915260539748756,0.8495798359325089,154.91529089447357,279.9321707618733,-0.97
-0.96,1.5,50.58512821131122,0.9918652590453181,0.8553666691131823,154.9985368622525,279.31171318141776,-0.96
-0.95,1.5,50.602415456499,0.9922042246372353,0.8611535022938555,155.0819617687227,278.68899271941314,-0.95
-0.94,1.5,50.61969049357019,0.9925429508543174,0.8669403354745288,155.15969698969533,278.0706632692846,-0.94
-0.93,1.5,50.63695332683167,0.9928814377810132,0.8727271686552021,155.24345922537057,277.4646385544812,-0.93
-0.92,1.5,50.65420395943951,0.9932196854792061,0.8785140018358751,155.32738586357544,276.8797466233243,-0.92
-0.91,1.5,50.67144239321428,0.9935576939845937,0.8843008350165485,155.41147205668162,276.31956840333794,-0.91
-0.9,1.5,50.688668628440475,0.9938954633027544,0.8900876681972218,155.49571709977945,275.77346036313287,-0.9
-0.89,1.5,50.70588266364918,0.9942329934048858,0.895874501377895,155.58008768804763,275.220468814898,-0.89
-0.88,1.5,50.72308449538315,0.9945702842231989,0.9016613345585685,155.65821777523556,274.6467036701175,-0.88
-0.87,1.5,50.74028042699917,0.9949074593529249,0.9074481677392415,155.7430424574043,274.0497295451047,-0.87
-0.86,1.5,50.75746605189812,0.9952444323901593,0.9132350009199148,155.828044300168,273.4372533416196,-0.86
-0.85,1.5,50.774638985454914,0.9955811565775473,0.919021834100588,155.913193590116,272.81561645866475,-0.85
-0.84,1.5,50.79179921527229,0.9959176316720058,0.9248086672812615,155.9984881671958,272.1882210469845,-0.84
-0.83,1.5,50.808946722960826,0.9962538573129573,0.9305955004619346,156.07675032316197,271.55680762976004,-0.83
-0.82,1.5,50.82608148129713,0.9965898329666104,0.936382333642608,156.1623157505885,270.92199195525967,-0.82
-0.81,1.5,50.843203449442996,0.9969255578322156,0.9421691668232811,156.24802212986197,270.28354499316015,-0.81
-0.8,1.5,50.860312564709396,0.9972610306805764,0.9479560000039545,156.3338692648336,269.6404370158108,-0.8
-0.79,1.5,50.87740872834448,0.997596249575382,0.953742833184628,156.41985019926352,268.990651967307,-0.79
-0.78,1.5,50.89449178148165,0.9979312114016009,0.9595296663653011,156.5059618718129,268.3302750712972,-0.78
-0.77,1.5,50.91156146650667,0.9982659111079739,0.9653164995459741,156.58436671971506,267.6522004434671,-0.77
-0.76,1.5,50.92861737220489,0.9986003406314684,0.9711033327266476,156.67071136672294,266.9438527984541,-0.76
-0.75,1.5,50.9456588789833,0.998934487823202,0.9768901659073207,156.7571728115957,266.18399370369883,-0.75
-0.74,1.5,50.962685176024365,0.9992683367847914,0.9826769990879943,156.84374385145816,265.3400541751844,-0.74
-0.73,1.5,50.9796955242296,0.9996018730241097,0.9884638322686674,156.9304189300161,264.37147740027376,-0.73
-0.72,1.5,50.99425066544934,0.9998872679499872,0.9942506654493406,157.01719977608641,263.24962626677944,-0.72
-0.71,1.5,51.0,1.0,1.0,157.09577981539158,261.9954928961372,-0.71
-0.7,1.5,51.0,1.0,1.0,157.18281793118064,260.69702054615567,-0.7
-0.69,1.5,51.0,1.0,1.0,157.27000575570796,259.46221193504994,-0.69
-0.68,1.5,51.0,1.0,1.0,157.35734351249053,258.3556410843113,-0.68
-0.67,1.5,51.0,1.0,1.0,157.44480910200622,257.3896328924787,-0.67
-0.66,1.5,51.0,1.0,1.0,157.5323876394251,256.54091209772724,-0.66
-0.65,1.5,51.0,1.0,1.0,157.62003426694844,255.76417249957618,-0.65
-0.64,1.5,51.0,1.0,1.0,157.69933667534684,255.0207847109024,-0.64
-0.63,1.5,51.0,1.0,1.0,157.78723477528627,254.28936340526786,-0.63
-0.62,1.5,51.0,1.0,1.0,157.87524899059247,253.56087080109185,-0.62
-0.61,1.5,51.0,1.0,1.0,157.9633788155369,252.83262460623646,-0.61
-0.6,1.5,51.0,1.0,1.0,158.0516242021337,252.104903923695,-0.6
-0.59,1.5,51.0,1.0,1.0,158.13998551230296,251.37947128097505,-0.59
-0.58,1.5,51.0,1.0,1.0,158.2283998073247,250.6590158071289,-0.58
-0.57,1.5,51.0,1.0,1.0,158.3088384219583,249.94672961616936,-0.57
-0.56,1.5,51.0,1.0,1.0,158.3975115571826,249.2466697911258,-0.56
-0.55,1.5,51.0,1.0,1.0,158.48630819538147,248.56365580322532,-0.55
-0.54,1.5,51.0,1.0,1.0,158.5752300704683,247.9029430069311,-0.54
-0.53,1.5,51.0,1.0,1.0,158.66427920246088,247.2702219732767,-0.53
