MagCAPShock,DSCR,reliab_total,reliab_avg,reliab_min,d_end,π_end,Δμ_pc
-1.0,1.5,51.0,1.0,1.0,194.6724010330816,518.798008722438,-1.0
-0.99,1.5,51.0,1.0,1.0,194.56743357743346,535.1165866416965,-0.99
-0.98,1.5,51.0,1.0,1.0,194.78985448165736,546.578756887442,-0.98
-0.97,1.5,51.0,1.0,1.0,195.09411781616646,549.6544563810241,-0.97
-0.96,1.5,51.0,1.0,1.0,195.28616012809343,549.3541054043014,-0.96
-0.95,1.5,51.0,1.0,1.0,195.24112002806118,551.3507905849133,-0.95
-0.94,1.5,51.0,1.0,1.0,195.2334548682833,554.0963312885618,-0.94
-0.93,1.5,51.0,1.0,1.0,195.3889267660511,556.7166424728848,-0.93
-0.92,1.5,51.0,1.0,1.0,195.64073356171818,559.0372679336393,-0.92
-0.91,1.5,51.0,1.0,1.0,195.65106562818318,561.0699474932555,-0.91
-0.9,1.5,51.0,1.0,1.0,194.79954856970386,562.9782194848132,-0.9
-0.89,1.5,51.0,1.0,1.0,194.86022314849328,564.8770234111397,-0.89
-0.88,1.5,51.0,1.0,1.0,195.97994141018273,565.7947587967558,-0.88
-0.87,1.5,51.0,1.0,1.0,195.1714609703561,564.8626353465282,-0.87
-0.86,1.5,51.0,1.0,1.0,195.81581406357836,563.9285571816707,-0.86
-0.85,1.5,51.0,1.0,1.0,196.17360170662806,562.9918694547018,-0.85
-0.84,1.5,51.0,1.0,1.0,195.40835237540372,562.0527528200402,-0.84
-0.83,1.5,51.0,1.0,1.0,195.5178123185532,561.1124553015087,-0.83
-0.82,1.5,51.0,1.0,1.0,196.30327643535648,560.171338128702,-0.82
-0.81,1.5,51.0,1.0,1.0,196.185767892318,559.2297173191346,-0.81
-0.8,1.5,51.0,1.0,1.0,196.05136273963768,558.2328458512957,-0.8
-0.79,1.5,51.0,1.0,1.0,195.9606022929879,557.1897478984579,-0.79
-0.78,1.5,51.0,1.0,1.0,196.0752921570193,556.1114178584322,-0.78
-0.77,1.5,51.0,1.0,1.0,196.22389199179315,554.9908469176993,-0.77
-0.76,1.5,51.0,1.0,1.0,196.37738581789858,553.8214931265409,-0.76
-0.75,1.5,51.0,1.0,1.0,196.43864496954086,552.6015077236508,-0.75
-0.74,1.5,51.0,1.0,1.0,196.4656331905959,551.3363714116219,-0.74
-0.73,1.5,51.0,1.0,1.0,196.5255809951303,550.0503310159597,-0.73
-0.72,1.5,51.0,1.0,1.0,196.6007350909232,548.7923785235778,-0.72
-0.71,1.5,51.0,1.0,1.0,196.6826995402075,547.6390474806274,-0.71
-0.7,1.5,51.0,1.0,1.0,196.75861017836712,546.6932245354434,-0.7
-0.69,1.5,51.0,1.0,1.0,196.81604756482838,546.0701274433936,-0.69
-0.68,1.5,51.0,1.0,1.0,196.84744161154921,545.8710624148539,-0.68
-0.67,1.5,51.0,1.0,1.0,196.86113696900924,546.1546113264328,-0.67
-0.66,1.5,51.0,1.0,1.0,196.91792848494006,546.0252161077268,-0.66
-0.65,1.5,51.0,1.0,1.0,197.22811406486767,541.8709378333963,-0.65
-0.64,1.5,51.0,1.0,1.0,197.42107289916802,537.565313467145,-0.64
-0.63,1.5,51.0,1.0,1.0,197.4716196093332,533.114035202055,-0.63
-0.62,1.5,51.0,1.0,1.0,197.4378766708237,528.4304701926469,-0.62
-0.61,1.5,51.0,1.0,1.0,197.38053001363986,523.1484468735044,-0.61
-0.6,1.5,51.0,1.0,1.0,197.39976341185312,516.9828001093123,-0.6
-0.59,1.5,51.0,1.0,1.0,197.56754785685607,510.1876289783959,-0.59
-0.58,1.5,51.0,1.0,1.0,197.7310453617072,502.70889026524776,-0.58
-0.57,1.5,51.0,1.0,1.0,197.82189614564214,496.7148512793729,-0.57
-0.56,1.5,51.0,1.0,1.0,197.85422523831636,494.58607839444477,-0.56
-0.55,1.5,51.0,1.0,1.0,197.8864558063022,495.4188107156994,-0.55
-0.54,1.5,51.0,1.0,1.0,197.9181378152593,499.20251077915987,-0.54
-0.53,1.5,51.0,1.0,1.0,197.96540253321237,505.4899476146049,-0.53
-0.52,1.5,51.0,1.0,1.0,198.15900808843625,511.8551808834677,-0.52
-0.51,1.5,51.0,1.0,1.0,198.21675740159782,516.8363669795514,-0.51
-0.5,1.5,51.0,1.0,1.0,198.1560991669064,520.7535748750694,-0.5
-0.49,1.5,51.0,1.0,1.0,198.3638489617805,523.7813626756563,-0.49
-0.48,1.5,51.0,1.0,1.0,198.40600946765474,526.2637826988939,-0.48
-0.47,1.5,51.0,1.0,1.0,198.4558196060135,528.3510789833792,-0.47
-0.46,1.5,51.0,1.0,1.0,198.55909522515097,530.0936261077284,-0.46
-0.45,1.5,51.0,1.0,1.0,198.65053993022119,531.9641667878249,-0.45
-0.44,1.5,51.0,1.0,1.0,198.7349361759636,531.8274584032451,-0.44
-0.43,1.5,51.0,1.0,1.0,198.8028899728198,529.9906042855224,-0.43
-0.42,1.5,51.0,1.0,1.0,198.84757967605756,528.095430410061,-0.42
-0.41,1.5,51.0,1.0,1.0,198.90249056384584,526.1240251931537,-0.41
-0.4,1.5,51.0,1.0,1.0,198.96760144086443,524.0676271438006,-0.4
-0.39,1.5,51.0,1.0,1.0,199.0334188021689,521.8876195606166,-0.39
-0.38,1.5,51.0,1.0,1.0,199.09434747088702,519.4947808452476,-0.38
-0.37,1.5,51.0,1.0,1.0,199.1525529472814,516.8136206568422,-0.37
-0.36,1.5,51.0,1.0,1.0,199.23059495265343,513.889984869601,-0.36
-0.35,1.5,51.0,1.0,1.0,199.31601535634994,510.63994536274635,-0.35
-0.34,1.5,51.0,1.0,1.0,199.40543987256478,507.0090064699666,-0.34
-0.33,1.5,51.0,1.0,1.0,199.5085605991124,503.2110435375784,-0.33
-0.32,1.5,51.0,1.0,1.0,199.57489235376968,499.6201736308871,-0.32
-0.31,1.5,51.0,1.0,1.0,199.63369442609323,496.57629611872176,-0.31
-0.3,1.5,51.0,1.0,1.0,199.70837248660564,494.37529655367297,-0.3
-0.29,1.5,51.0,1.0,1.0,199.82772155252408,493.0005562455189,-0.29
-0.28,1.5,51.0,1.0,1.0,199.89273523228275,492.2725409398637,-0.28
-0.27,1.5,51.0,1.0,1.0,199.97035739177105,492.06636481729856,-0.27
-0.26,1.5,51.0,1.0,1.0,200.07859170384612,492.3956020813567,-0.26
-0.25,1.5,51.0,1.0,1.0,200.15574604529914,493.3702531042156,-0.25
-0.24,1.5,51.0,1.0,1.0,200.25832987853488,495.0670572888367,-0.24
-0.23,1.5,51.0,1.0,1.0,200.37358068122782,497.3920721512409,-0.23
-0.22,1.5,51.0,1.0,1.0,200.43752825311492,500.0772263458126,-0.22
-0.21,1.5,51.0,1.0,1.0,200.48012061934944,502.82730354665296,-0.21
-0.2,1.5,51.0,1.0,1.0,200.52359795805233,505.44997053855866,-0.2
-0.19,1.5,51.0,1.0,1.0,200.5681925581689,507.8759238391338,-0.19
-0.18,1.5,51.0,1.0,1.0,200.61415575654942,510.1169636644477,-0.18
-0.17,1.5,51.0,1.0,1.0,200.66079169444697,512.2186734260288,-0.17
-0.16,1.5,51.0,1.0,1.0,200.7103042114244,514.2299074075709,-0.16
-0.15,1.5,51.0,1.0,1.0,201.55903720121552,530.3320977586297,-0.15
-0.14,1.5,51.0,1.0,1.0,203.29012085755645,531.4567481817261,-0.14
-0.13,1.5,51.0,1.0,1.0,204.80768766239882,515.1206688163168,-0.13
-0.12,1.5,51.0,1.0,1.0,206.25294218600362,544.1187135495697,-0.12
-0.11,1.5,51.0,1.0,1.0,207.8969324273682,518.9683303834383,-0.11
-0.1,1.5,51.0,1.0,1.0,209.59105174920873,533.6787935745401,-0.1
-0.09,1.5,51.0,1.0,1.0,210.65834481589644,513.2082334761316,-0.09
-0.08,1.5,51.0,1.0,1.0,211.71211705444685,552.6312878769401,-0.08
-0.07,1.5,51.0,1.0,1.0,213.6668170592427,534.512884351103,-0.07
-0.06,1.5,51.0,1.0,1.0,215.3998618933734,497.4782328897814,-0.06
-0.05,1.5,51.0,1.0,1.0,215.42720473730944,549.5595123316714,-0.05
-0.04,1.5,51.0,1.0,1.0,217.80419424804805,519.2166155078502,-0.04
-0.03,1.5,51.0,1.0,1.0,218.56085832055868,532.478585985611,-0.03
-0.02,1.5,51.0,1.0,1.0,219.83629199679396,559.2395186513032,-0.02
-0.01,1.5,51.0,1.0,1.0,221.15179801873538,545.7732633628683,-0.01
0.0,1.5,51.0,1.0,1.0,222.2623673990063,533.8360248783639,0.0
-1.0,1.51,51.0,1.0,1.0,194.6724010330816,519.9353890752811,-1.0
-0.99,1.51,51.0,1.0,1.0,194.56743357743346,536.0404764954794,-0.99
-0.98,1.51,51.0,1.0,1.0,194.78985448165736,547.3908600720745,-0.98
-0.97,1.51,51.0,1.0,1.0,195.0807924863153,550.0819631096674,-0.97
-0.96,1.51,51.0,1.0,1.0,195.2762986436945,549.8058398740334,-0.96
-0.95,1.51,51.0,1.0,1.0,195.23781113178777,551.8369189419893,-0.95
-0.94,1.51,51.0,1.0,1.0,195.21933205226054,554.5855505918028,-0.94
-0.93,1.51,51.0,1.0,1.0,195.36202152670955,557.2108936088246,-0.93
-0.92,1.51,51.0,1.0,1.0,195.62263606340684,559.5340402145443,-0.92
-0.91,1.51,51.0,1.0,1.0,195.66289274376564,561.5732908608245,-0.91
-0.9,1.51,51.0,1.0,1.0,194.86491717272224,563.491779594471,-0.9
-0.89,1.51,51.0,1.0,1.0,194.88211125980717,565.4009889257206,-0.89
-0.88,1.51,51.0,1.0,1.0,194.88090727350254,565.8756351545487,-0.88
