MagCAPShock,Decay_dbar,reliab_total,reliab_avg,reliab_min,d_end,π_end,Δμ_pc
-1.0,0.0,51.0,1.0,1.0,193.85633825866682,551.8683771927815,-1.0
-0.99,0.0,51.0,1.0,1.0,194.05293235434542,554.1071857658682,-0.99
-0.98,0.0,51.0,1.0,1.0,193.935671653713,556.2199647916902,-0.98
-0.97,0.0,51.0,1.0,1.0,194.161579649023,558.2007787197865,-0.97
-0.96,0.0,51.0,1.0,1.0,194.40553301391355,560.0466952944897,-0.96
-0.95,0.0,51.0,1.0,1.0,194.92744816555953,561.7555267276347,-0.95
-0.94,0.0,51.0,1.0,1.0,195.48960004650087,563.3260135768796,-0.94
-0.93,0.0,51.0,1.0,1.0,195.98444176421762,564.7852817861894,-0.93
-0.92,0.0,51.0,1.0,1.0,195.98113506924986,566.1014417379596,-0.92
-0.91,0.0,51.0,1.0,1.0,195.97345749214804,567.2734568657285,-0.91
-0.9,0.0,51.0,1.0,1.0,195.96993037414856,568.3151565229176,-0.9
-0.89,0.0,51.0,1.0,1.0,195.97054782884007,569.2390276500962,-0.89
-0.88,0.0,51.0,1.0,1.0,196.05358894853134,570.0570475033308,-0.88
-0.87,0.0,51.0,1.0,1.0,196.14778032218715,570.7810455502081,-0.87
-0.86,0.0,51.0,1.0,1.0,196.26271578352083,571.4227859567345,-0.86
-0.85,0.0,51.0,1.0,1.0,196.37751407600413,571.9938980801404,-0.85
-0.84,0.0,51.0,1.0,1.0,196.49154653825633,572.5057367586555,-0.84
-0.83,0.0,51.0,1.0,1.0,196.60899939474143,572.7580768960678,-0.83
-0.82,0.0,51.0,1.0,1.0,196.73386699668035,572.3907121195441,-0.82
-0.81,0.0,51.0,1.0,1.0,196.81498931924236,569.670357251407,-0.81
-0.8,0.0,51.0,1.0,1.0,196.5343564599089,564.2509989600053,-0.8
-0.79,0.0,51.0,1.0,1.0,196.17172882056846,556.7312737609367,-0.79
-0.78,0.0,51.0,1.0,1.0,196.05713582663796,546.6516732411694,-0.78
-0.77,0.0,51.0,1.0,1.0,195.95909489107365,535.9853499533002,-0.77
-0.76,0.0,51.0,1.0,1.0,195.7736720359221,540.4627888417193,-0.76
-0.75,0.0,51.0,1.0,1.0,195.69115168432197,548.4660496389329,-0.75
-0.74,0.0,51.0,1.0,1.0,195.86680557038483,556.1204266921792,-0.74
-0.73,0.0,51.0,1.0,1.0,195.99344254619837,563.1751712565716,-0.73
-0.72,0.0,51.0,1.0,1.0,197.2968990995839,574.528317858493,-0.72
-0.71,0.0,51.0,1.0,1.0,197.26305424658295,583.3495070617158,-0.71
-0.7,0.0,51.0,1.0,1.0,196.17643101645157,568.4609062276264,-0.7
-0.69,0.0,51.0,1.0,1.0,196.16789075423185,559.4033854765783,-0.69
-0.68,0.0,51.0,1.0,1.0,196.95587258284348,549.1090535843772,-0.68
-0.67,0.0,51.0,1.0,1.0,197.7717834596386,533.9129176523983,-0.67
-0.66,0.0,51.0,1.0,1.0,197.7883131251032,546.7846017023229,-0.66
-0.65,0.0,51.0,1.0,1.0,197.87578027754302,560.2047642617067,-0.65
-0.64,0.0,51.0,1.0,1.0,198.22413495792605,572.4388836216564,-0.64
-0.63,0.0,51.0,1.0,1.0,196.78158526204498,575.8399054861783,-0.63
-0.62,0.0,51.0,1.0,1.0,197.0797110767687,572.2937890186705,-0.62
-0.61,0.0,51.0,1.0,1.0,198.29226077542015,574.095760327263,-0.61
-0.6,0.0,51.0,1.0,1.0,198.16770231334613,577.5794105308305,-0.6
-0.59,0.0,51.0,1.0,1.0,198.11446404193524,577.5959710842791,-0.59
-0.58,0.0,51.0,1.0,1.0,198.27097382426453,576.0617479001419,-0.58
-0.57,0.0,51.0,1.0,1.0,198.43823737652895,574.4740534093999,-0.57
-0.56,0.0,51.0,1.0,1.0,198.59981036769838,572.9050301972128,-0.56
-0.55,0.0,51.0,1.0,1.0,198.4628333973544,571.5137477433132,-0.55
-0.54,0.0,51.0,1.0,1.0,198.1567438583771,570.5599631149054,-0.54
-0.53,0.0,51.0,1.0,1.0,198.0993462836368,570.3459283723142,-0.53
-0.52,0.0,51.0,1.0,1.0,198.44326570760504,571.0766758965084,-0.52
-0.51,0.0,51.0,1.0,1.0,198.9920101860493,572.741911847336,-0.51
-0.5,0.0,51.0,1.0,1.0,199.01886827332052,575.1531298205224,-0.5
-0.49,0.0,51.0,1.0,1.0,199.06874985482688,570.071731214648,-0.49
-0.48,0.0,51.0,1.0,1.0,198.26692224229853,564.6493554501762,-0.48
-0.47,0.0,51.0,1.0,1.0,198.64496482993215,559.0075349020483,-0.47
-0.46,0.0,51.0,1.0,1.0,199.14139811617767,553.1689680027691,-0.46
-0.45,0.0,51.0,1.0,1.0,199.31749321894404,547.5260007583224,-0.45
-0.44,0.0,51.0,1.0,1.0,199.2599588881742,540.5101430353376,-0.44
-0.43,0.0,51.0,1.0,1.0,199.2515719832402,532.1759861115539,-0.43
-0.42,0.0,51.0,1.0,1.0,199.41794312946058,529.6966290611164,-0.42
-0.41,0.0,51.0,1.0,1.0,199.5796797767328,537.486369329539,-0.41
-0.4,0.0,51.0,1.0,1.0,199.56100343797698,545.0653669656431,-0.4
-0.39,0.0,51.0,1.0,1.0,199.40840624964235,551.4332094870958,-0.39
-0.38,0.0,51.0,1.0,1.0,199.58589971501945,557.5924578725607,-0.38
-0.37,0.0,51.0,1.0,1.0,199.60650543070983,563.7671672399026,-0.37
-0.36,0.0,51.0,1.0,1.0,199.74236722533098,569.5787383573561,-0.36
-0.35,0.0,51.0,1.0,1.0,199.79125530621542,581.4092893343123,-0.35
-0.34,0.0,51.0,1.0,1.0,199.7149560707711,590.3595293924326,-0.34
-0.33,0.0,51.0,1.0,1.0,199.82728394590302,593.4933854416128,-0.33
-0.32,0.0,51.0,1.0,1.0,199.8310873531437,589.0276019746469,-0.32
-0.31,0.0,51.0,1.0,1.0,199.8789964339733,592.5659443503447,-0.31
-0.3,0.0,51.0,1.0,1.0,199.88418825798868,596.1276792172579,-0.3
-0.29,0.0,51.0,1.0,1.0,199.88849929923464,595.7872138116899,-0.29
-0.28,0.0,51.0,1.0,1.0,200.02523557819697,593.6683273224334,-0.28
-0.27,0.0,51.0,1.0,1.0,200.07712478960002,590.5839238573371,-0.27
-0.26,0.0,51.0,1.0,1.0,200.16591231157133,586.6660063358474,-0.26
-0.25,0.0,51.0,1.0,1.0,200.25531930372657,582.07883417022,-0.25
-0.24,0.0,51.0,1.0,1.0,200.30120375137022,576.9992876718821,-0.24
-0.23,0.0,51.0,1.0,1.0,200.36452159740048,572.8154713616293,-0.23
-0.22,0.0,51.0,1.0,1.0,200.43265047838517,570.6391027151176,-0.22
-0.21,0.0,51.0,1.0,1.0,200.4846657936784,568.4390594425885,-0.21
-0.2,0.0,51.0,1.0,1.0,200.54033559548517,566.2849406681521,-0.2
-0.19,0.0,51.0,1.0,1.0,200.6073618449441,564.2304089343021,-0.19
-0.18,0.0,51.0,1.0,1.0,200.67412070081625,562.314766553355,-0.18
-0.17,0.0,51.0,1.0,1.0,200.7571312386472,560.5649352112522,-0.17
-0.16,0.0,51.0,1.0,1.0,200.8408877665973,558.9975855055686,-0.16
-0.15,0.0,51.0,1.0,1.0,202.04872901731238,570.8791316969296,-0.15
-0.14,0.0,51.0,1.0,1.0,204.1889541084374,600.6450434042484,-0.14
-0.13,0.0,51.0,1.0,1.0,206.88582493577871,541.8520298838519,-0.13
-0.12,0.0,51.0,1.0,1.0,208.830043197061,536.1430844957122,-0.12
-0.11,0.0,51.0,1.0,1.0,208.49323645312086,549.4957058239085,-0.11
-0.1,0.0,51.0,1.0,1.0,210.56715547910466,568.6401762061734,-0.1
-0.09,0.0,51.0,1.0,1.0,212.34279309925535,531.6698554273621,-0.09
-0.08,0.0,51.0,1.0,1.0,213.1730757263652,584.0254648019459,-0.08
-0.07,0.0,51.0,1.0,1.0,214.99831024668939,537.681094374297,-0.07
-0.06,0.0,51.0,1.0,1.0,215.2862897378037,566.697669328239,-0.06
-0.05,0.0,51.0,1.0,1.0,217.6000375434753,544.9430991055535,-0.05
-0.04,0.0,51.0,1.0,1.0,219.30474522600525,579.2811375489389,-0.04
-0.03,0.0,51.0,1.0,1.0,213.8627168832203,560.7117651270801,-0.03
-0.02,0.0,51.0,1.0,1.0,221.85634460980552,529.1299957539604,-0.02
-0.01,0.0,51.0,1.0,1.0,223.7099359881433,553.6198305232152,-0.01
0.0,0.0,51.0,1.0,1.0,224.72574682461672,538.2468631290292,0.0
-1.0,5.0e-5,51.0,1.0,1.0,194.6680285764362,563.3202956988472,-1.0
