MagCAPShock,Decay_hard,reliab_total,reliab_avg,reliab_min,d_end,π_end,Δμ_pc
-1.0,0.025,51.0,1.0,1.0,194.79161259872598,679.1735052938965,-1.0
-0.99,0.025,51.0,1.0,1.0,194.81482788749148,678.5566664559476,-0.99
-0.98,0.025,51.0,1.0,1.0,194.83659519501407,677.9513947890068,-0.98
-0.97,0.025,51.0,1.0,1.0,194.85700067859267,677.3580076325478,-0.97
-0.96,0.025,51.0,1.0,1.0,194.87613062485084,676.7768365097719,-0.96
-0.95,0.025,51.0,1.0,1.0,194.89407130587452,676.2082278345438,-0.95
-0.94,0.025,51.0,1.0,1.0,194.91090884120442,675.6016271652779,-0.94
-0.93,0.025,51.0,1.0,1.0,194.93055519546368,674.9925783762166,-0.93
-0.92,0.025,51.0,1.0,1.0,195.03509572033312,674.3940559536067,-0.92
-0.91,0.025,51.0,1.0,1.0,195.15812605294423,673.8067537420558,-0.91
-0.9,0.025,51.0,1.0,1.0,195.2811715787275,673.2308382098928,-0.9
-0.89,0.025,51.0,1.0,1.0,195.4039309951945,672.6669221167008,-0.89
-0.88,0.025,51.0,1.0,1.0,195.5257475612844,672.1156761541009,-0.88
-0.87,0.025,51.0,1.0,1.0,195.64703485555737,671.577830667127,-0.87
-0.86,0.025,51.0,1.0,1.0,195.76779719907805,671.0541766017551,-0.86
-0.85,0.025,51.0,1.0,1.0,195.88803736239953,670.5455655792326,-0.85
-0.84,0.025,51.0,1.0,1.0,196.0077580694287,670.0529090221272,-0.84
-0.83,0.025,51.0,1.0,1.0,196.09156142962448,669.5771762886374,-0.83
-0.82,0.025,51.0,1.0,1.0,196.13296682747838,669.1193918109097,-0.82
-0.81,0.025,51.0,1.0,1.0,196.17346663098334,668.6806312786048,-0.81
-0.8,0.025,51.0,1.0,1.0,196.21312801582542,668.262016959358,-0.8
-0.79,0.025,51.0,1.0,1.0,196.25201723342153,667.8647122996738,-0.79
-0.78,0.025,51.0,1.0,1.0,196.29019958259488,667.4899160015372,-0.78
-0.77,0.025,51.0,1.0,1.0,196.32773938867797,667.1388558165343,-0.77
-0.76,0.025,51.0,1.0,1.0,196.3646999898831,666.812782337874,-0.76
-0.75,0.025,51.0,1.0,1.0,196.40114373070986,666.5129630968156,-0.75
-0.74,0.025,51.0,1.0,1.0,196.4371319622516,666.2406772814504,-0.74
-0.73,0.025,51.0,1.0,1.0,196.47272504927327,665.9972113863521,-0.73
-0.72,0.025,51.0,1.0,1.0,196.507982383996,665.7838308094707,-0.72
-0.71,0.025,51.0,1.0,1.0,196.57463504707567,665.6018238669044,-0.71
