MagCAPShock,IF_sens_l,reliab_total,reliab_avg,reliab_min,d_end,π_end,Δμ_pc
-1.0,4.0,51.0,1.0,1.0,194.91417375043994,584.4148587052274,-1.0
-0.99,4.0,51.0,1.0,1.0,194.96623188504276,584.6716390926247,-0.99
-0.98,4.0,51.0,1.0,1.0,194.9976489984007,584.9250819392931,-0.98
-0.97,4.0,51.0,1.0,1.0,195.02967408150076,585.1752143361606,-0.97
-0.96,4.0,51.0,1.0,1.0,195.06232617777746,585.4220662006843,-0.96
-0.95,4.0,51.0,1.0,1.0,195.12673947087208,585.6656702897063,-0.95
-0.94,4.0,51.0,1.0,1.0,195.24439884164755,585.9060622017902,-0.94
-0.93,4.0,51.0,1.0,1.0,195.36181391734158,586.1432803710647,-0.93
-0.92,4.0,51.0,1.0,1.0,195.4788045483021,586.3773660534076,-0.92
-0.91,4.0,51.0,1.0,1.0,195.59530703108726,586.608363306471,-0.91
-0.9,4.0,51.0,1.0,1.0,195.71128967574396,586.8363189642808,-0.9
-0.89,4.0,51.0,1.0,1.0,195.8267346013525,587.0612826074821,-0.89
-0.88,4.0,51.0,1.0,1.0,195.94163122677148,587.2833065296829,-0.88
-0.87,4.0,51.0,1.0,1.0,196.05597333140034,587.502445700921,-0.87
-0.86,4.0,51.0,1.0,1.0,196.16975752454422,587.7187577284874,-0.86
-0.85,4.0,51.0,1.0,1.0,196.2829823660736,587.932302815504,-0.85
-0.84,4.0,51.0,1.0,1.0,196.3956478234455,588.1431437181017,-0.84
-0.83,4.0,51.0,1.0,1.0,196.50775491721922,588.3513457009898,-0.83
-0.82,4.0,51.0,1.0,1.0,196.61930547934548,588.5569764919717,-0.82
-0.81,4.0,51.0,1.0,1.0,196.73030198245246,588.7601062355815,-0.81
-0.8,4.0,51.0,1.0,1.0,196.80522509889457,588.9608074461793,-0.8
-0.79,4.0,51.0,1.0,1.0,196.86309836169326,589.1591549603316,-0.79
-0.78,4.0,51.0,1.0,1.0,196.9216068699614,589.3552258887354,-0.78
-0.77,4.0,51.0,1.0,1.0,197.02169622991732,589.5490995682501,-0.77
-0.76,4.0,51.0,1.0,1.0,197.1301886285244,589.7408575131391,-0.76
-0.75,4.0,51.0,1.0,1.0,197.2192498998803,589.2093947163693,-0.75
-0.74,4.0,51.0,1.0,1.0,197.41117601602514,588.4494383935374,-0.74
-0.73,4.0,51.0,1.0,1.0,197.44800700807573,587.6566526885674,-0.73
-0.72,4.0,51.0,1.0,1.0,197.53672859170845,586.8322392575308,-0.72
-0.71,4.0,51.0,1.0,1.0,197.64504749522882,585.9774469343641,-0.71
-0.7,4.0,51.0,1.0,1.0,197.72898643331803,585.093563747664,-0.7
