MagCAPShock,IF_sens_s,reliab_total,reliab_avg,reliab_min,d_end,π_end,Δμ_pc
-1.0,4.0,51.0,1.0,1.0,205.68782973381775,599.5220637725957,-1.0
-0.99,4.0,51.0,1.0,1.0,206.01244045222126,604.7280244051607,-0.99
-0.98,4.0,51.0,1.0,1.0,206.31624067389933,610.1611339906493,-0.98
-0.97,4.0,51.0,1.0,1.0,206.3944520986301,609.9981198068197,-0.97
-0.96,4.0,51.0,1.0,1.0,206.3798178148597,607.4228967362506,-0.96
-0.95,4.0,51.0,1.0,1.0,206.33944504110508,603.7792206101612,-0.95
-0.94,4.0,51.0,1.0,1.0,206.27997023474126,598.878837262959,-0.94
-0.93,4.0,51.0,1.0,1.0,206.20500865542178,593.3211361554077,-0.93
-0.92,4.0,51.0,1.0,1.0,206.1152986441548,588.4690132465516,-0.92
-0.91,4.0,51.0,1.0,1.0,206.00944217971696,586.202772253123,-0.91
-0.9,4.0,51.0,1.0,1.0,205.88499544780464,586.4337750136008,-0.9
-0.89,4.0,51.0,1.0,1.0,205.74042591465016,588.1831008153866,-0.89
-0.88,4.0,51.0,1.0,1.0,205.57920074427142,592.2502577854751,-0.88
-0.87,4.0,51.0,1.0,1.0,205.41789641590523,598.0020995314851,-0.87
-0.86,4.0,51.0,1.0,1.0,205.77991392633197,594.3451767430058,-0.86
-0.85,4.0,51.0,1.0,1.0,205.9307445758631,594.5283257411722,-0.85
-0.84,4.0,51.0,1.0,1.0,205.88521749302737,597.7767333311779,-0.84
-0.83,4.0,51.0,1.0,1.0,205.78762477274327,601.7145218437811,-0.83
-0.82,4.0,51.0,1.0,1.0,205.73274826345042,605.2016976090192,-0.82
-0.81,4.0,51.0,1.0,1.0,205.7604034695196,608.0445907633058,-0.81
-0.8,4.0,51.0,1.0,1.0,205.88271783958498,609.8141432193254,-0.8
-0.79,4.0,51.0,1.0,1.0,205.80914267065697,607.6769904195016,-0.79
-0.78,4.0,51.0,1.0,1.0,205.7462499597866,605.4748647533504,-0.78
-0.77,4.0,51.0,1.0,1.0,205.69524690514527,603.2007413699987,-0.77
-0.76,4.0,51.0,1.0,1.0,205.6586033869637,600.8543964759701,-0.76
-0.75,4.0,51.0,1.0,1.0,205.640041368966,598.4477605861367,-0.75
-0.74,4.0,51.0,1.0,1.0,205.6430710606949,595.8088463554051,-0.74
-0.73,4.0,51.0,1.0,1.0,205.66634418661948,593.3726364157342,-0.73
-0.72,4.0,51.0,1.0,1.0,205.69598436942212,591.5497920899015,-0.72
-0.71,4.0,51.0,1.0,1.0,205.8814905970666,588.7003846963784,-0.71
-0.7,4.0,51.0,1.0,1.0,206.1889020871616,586.3363152691478,-0.7
-0.69,4.0,51.0,1.0,1.0,206.53800902955277,585.2250546705988,-0.69
-0.68,4.0,51.0,1.0,1.0,206.90389341139357,584.6613318944379,-0.68
-0.67,4.0,51.0,1.0,1.0,207.27366000241682,583.2974793052625,-0.67
-0.66,4.0,51.0,1.0,1.0,207.64170668784726,581.1616281768494,-0.66
-0.65,4.0,51.0,1.0,1.0,208.00552685539213,580.143731673281,-0.65
-0.64,4.0,51.0,1.0,1.0,208.36297852119648,581.5396541553754,-0.64
-0.63,4.0,51.0,1.0,1.0,208.7109377522457,584.6551420095221,-0.63
-0.62,4.0,51.0,1.0,1.0,209.04503803807742,588.2609780373908,-0.62
-0.61,4.0,51.0,1.0,1.0,209.28889309611904,591.6281944595902,-0.61
-0.6,4.0,51.0,1.0,1.0,209.39231932036765,594.4715548631725,-0.6
-0.59,4.0,51.0,1.0,1.0,209.46164705168397,596.7161982195794,-0.59
-0.58,4.0,51.0,1.0,1.0,209.5011851448618,598.373227848647,-0.58
-0.57,4.0,51.0,1.0,1.0,209.51545612502866,599.4880724072447,-0.57
-0.56,4.0,51.0,1.0,1.0,209.50881889872184,600.1146435463133,-0.56
-0.55,4.0,51.0,1.0,1.0,209.46761217560206,599.3096264113585,-0.55
-0.54,4.0,51.0,1.0,1.0,209.4015415693385,596.973658567272,-0.54
-0.53,4.0,51.0,1.0,1.0,209.34095636785096,594.5359991641092,-0.53
-0.52,4.0,51.0,1.0,1.0,209.28547073786947,592.0175409709572,-0.52
-0.51,4.0,51.0,1.0,1.0,209.2346435889473,589.4479459497146,-0.51
-0.5,4.0,51.0,1.0,1.0,209.18803217187906,586.8749603129977,-0.5
-0.49,4.0,51.0,1.0,1.0,209.1452224488399,584.3766720266269,-0.49
-0.48,4.0,51.0,1.0,1.0,209.1058434117352,582.0723233929135,-0.48
-0.47,4.0,51.0,1.0,1.0,209.0695708136129,580.1231323140603,-0.47
-0.46,4.0,51.0,1.0,1.0,209.0361242664966,578.7116364884749,-0.46
-0.45,4.0,51.0,1.0,1.0,209.00526045506408,577.9938503955573,-0.45
-0.44,4.0,51.0,1.0,1.0,208.97676432868977,578.0385496412508,-0.44
-0.43,4.0,51.0,1.0,1.0,208.9504395307984,578.789197899716,-0.43
-0.42,4.0,51.0,1.0,1.0,208.9260989603513,580.077664594497,-0.42
-0.41,4.0,51.0,1.0,1.0,208.90355619565395,581.6817093668091,-0.41
-0.4,4.0,51.0,1.0,1.0,208.88261851647232,583.388436425196,-0.4
-0.39,4.0,51.0,1.0,1.0,208.86308241620205,585.0326628955818,-0.39
-0.38,4.0,51.0,1.0,1.0,208.84473278481465,586.5067931767042,-0.38
-0.37,4.0,51.0,1.0,1.0,208.82734733797002,587.7565188839084,-0.37
-0.36,4.0,51.0,1.0,1.0,208.81070831030064,588.7740420554835,-0.36
-0.35,4.0,51.0,1.0,1.0,208.79462380368096,589.5890819747573,-0.35
-0.34,4.0,51.0,1.0,1.0,208.7789612704801,590.2596618954424,-0.34
-0.33,4.0,51.0,1.0,1.0,208.76369508156426,590.8561448185255,-0.33
-0.32,4.0,51.0,1.0,1.0,208.74896852818583,591.4029452658149,-0.32
-0.31,4.0,51.0,1.0,1.0,208.73516746467646,591.9236513335882,-0.31
-0.3,4.0,51.0,1.0,1.0,208.72299785432082,592.4229895580847,-0.3
-0.29,4.0,51.0,1.0,1.0,208.71355306922177,592.8912274042607,-0.29
-0.28,4.0,51.0,1.0,1.0,208.73379565488733,592.6055055781202,-0.28
-0.27,4.0,51.0,1.0,1.0,208.7646050524882,591.9807158852901,-0.27
-0.26,4.0,51.0,1.0,1.0,208.7929252235065,591.3974444129888,-0.26
-0.25,4.0,51.0,1.0,1.0,208.81945860553319,590.8767872542954,-0.25
-0.24,4.0,51.0,1.0,1.0,208.84532974547906,590.4112611499614,-0.24
-0.23,4.0,51.0,1.0,1.0,208.8706957013884,589.9965325756467,-0.23
-0.22,4.0,51.0,1.0,1.0,208.8948698259692,589.630818302195,-0.22
-0.21,4.0,51.0,1.0,1.0,208.91959490881152,589.3002713535537,-0.21
-0.2,4.0,51.0,1.0,1.0,208.94510768081008,588.9994300194458,-0.2
-0.19,4.0,51.0,1.0,1.0,208.9713011317521,588.7471294259758,-0.19
-0.18,4.0,51.0,1.0,1.0,208.99779415063787,588.5806839265299,-0.18
-0.17,4.0,51.0,1.0,1.0,209.0254594412693,588.4158215004973,-0.17
-0.16,4.0,51.0,1.0,1.0,209.05425888501009,588.2335455964995,-0.16
-0.15,4.0,51.0,1.0,1.0,208.91312085243862,592.85080729367,-0.15
-0.14,4.0,51.0,1.0,1.0,212.140737673076,581.3955509240461,-0.14
-0.13,4.0,51.0,1.0,1.0,212.11213367210732,589.1217920204971,-0.13
-0.12,4.0,51.0,1.0,1.0,214.6044825035376,576.2913396495501,-0.12
-0.11,4.0,51.0,1.0,1.0,213.95253073445943,581.0613039847324,-0.11
-0.1,4.0,51.0,1.0,1.0,218.6081877216029,563.8497770853268,-0.1
-0.09,4.0,51.0,1.0,1.0,220.34987199691378,567.0212007612618,-0.09
-0.08,4.0,51.0,1.0,1.0,220.7477888892116,563.2506964850643,-0.08
-0.07,4.0,51.0,1.0,1.0,221.90917927853965,588.7377333742877,-0.07
-0.06,4.0,51.0,1.0,1.0,220.5301314067167,587.4016290573109,-0.06
-0.05,4.0,51.0,1.0,1.0,211.07944399980227,628.4459203854939,-0.05
-0.04,4.0,51.0,1.0,1.0,211.69243931730384,624.8720257676373,-0.04
-0.03,4.0,51.0,1.0,1.0,212.5912377110935,621.7143159921103,-0.03
-0.02,4.0,51.0,1.0,1.0,213.60410922281503,621.3781219018028,-0.02
-0.01,4.0,51.0,1.0,1.0,217.52497880184833,610.3014451494399,-0.01
0.0,4.0,51.0,1.0,1.0,227.805157286419,570.6967756917061,0.0
-1.0,4.340878170264604,51.0,1.0,1.0,204.4515668475607,602.4594549745018,-1.0
-0.99,4.340878170264604,51.0,1.0,1.0,204.43941108754132,600.0315955993947,-0.99
-0.98,4.340878170264604,51.0,1.0,1.0,204.44656732749792,597.4663316254461,-0.98
-0.97,4.340878170264604,51.0,1.0,1.0,204.47362777778542,594.829421638766,-0.97
-0.96,4.340878170264604,51.0,1.0,1.0,204.51426584165776,592.3070467609841,-0.96
-0.95,4.340878170264604,51.0,1.0,1.0,204.54957099349784,590.2541945714288,-0.95
-0.94,4.340878170264604,51.0,1.0,1.0,204.54680087793437,589.1380415899778,-0.94
-0.93,4.340878170264604,51.0,1.0,1.0,204.47187743023284,589.3082794250876,-0.93
-0.92,4.340878170264604,51.0,1.0,1.0,204.79409050800453,586.2957433422379,-0.92
-0.91,4.340878170264604,51.0,1.0,1.0,205.15050674335023,584.6633597103292,-0.91
-0.9,4.340878170264604,51.0,1.0,1.0,205.51859989245904,583.682479699018,-0.9
-0.89,4.340878170264604,51.0,1.0,1.0,205.8897512098215,582.0028735283316,-0.89
-0.88,4.340878170264604,51.0,1.0,1.0,206.26131815456372,580.4726111052281,-0.88
-0.87,4.340878170264604,51.0,1.0,1.0,206.63252271391812,581.4774779690929,-0.87
-0.86,4.340878170264604,51.0,1.0,1.0,207.00193557173378,585.1098293022387,-0.86
-0.85,4.340878170264604,51.0,1.0,1.0,207.36621651341545,589.7055384708568,-0.85
-0.84,4.340878170264604,51.0,1.0,1.0,207.71986006727886,594.1590706215421,-0.84
-0.83,4.340878170264604,51.0,1.0,1.0,207.68545811881773,598.0905029099531,-0.83
-0.82,4.340878170264604,51.0,1.0,1.0,207.60578315743942,601.409111108221,-0.82
-0.81,4.340878170264604,51.0,1.0,1.0,207.57124818042206,604.106038823885,-0.81
-0.8,4.340878170264604,51.0,1.0,1.0,207.55861877748328,606.2086503621956,-0.8
-0.79,4.340878170264604,51.0,1.0,1.0,207.58793179423338,607.771250095418,-0.79
-0.78,4.340878170264604,51.0,1.0,1.0,207.62927190225824,608.8594107755608,-0.78
-0.77,4.340878170264604,51.0,1.0,1.0,207.67365608705575,609.509258413176,-0.77
-0.76,4.340878170264604,51.0,1.0,1.0,207.7244629502354,609.3909970881286,-0.76
-0.75,4.340878170264604,51.0,1.0,1.0,207.78799976570667,607.5024173407099,-0.75
-0.74,4.340878170264604,51.0,1.0,1.0,207.9085009685722,605.4712121566427,-0.74
-0.73,4.340878170264604,51.0,1.0,1.0,208.0530637882645,603.3268033312172,-0.73
-0.72,4.340878170264604,51.0,1.0,1.0,208.08892943386226,601.0780836878349,-0.72
-0.71,4.340878170264604,51.0,1.0,1.0,208.02885910807439,598.7350962726925,-0.71
-0.7,4.340878170264604,51.0,1.0,1.0,207.97595893508947,596.3070251339107,-0.7
-0.69,4.340878170264604,51.0,1.0,1.0,207.92928060541928,593.8033688517212,-0.69
-0.68,4.340878170264604,51.0,1.0,1.0,207.88792940325197,591.2389398217188,-0.68
-0.67,4.340878170264604,51.0,1.0,1.0,207.85110425992846,588.6428482398103,-0.67
-0.66,4.340878170264604,51.0,1.0,1.0,207.8181130792053,586.0710125042275,-0.66
-0.65,4.340878170264604,51.0,1.0,1.0,207.78837220338298,583.6198919492666,-0.65
-0.64,4.340878170264604,51.0,1.0,1.0,207.76139641755574,581.4350784685828,-0.64
-0.63,4.340878170264604,51.0,1.0,1.0,207.73678389143316,579.7030461648293,-0.63
-0.62,4.340878170264604,51.0,1.0,1.0,207.71419894496358,578.6138093839762,-0.62
-0.61,4.340878170264604,51.0,1.0,1.0,207.6933544435788,578.2967312833034,-0.61
-0.6,4.340878170264604,51.0,1.0,1.0,207.67399490844178,578.7598807370376,-0.6
-0.59,4.340878170264604,51.0,1.0,1.0,207.65588099651632,579.8759397031369,-0.59
-0.58,4.340878170264604,51.0,1.0,1.0,207.63877580644677,581.4279338655795,-0.58
-0.57,4.340878170264604,51.0,1.0,1.0,207.62243345871235,583.1821427322809,-0.57
-0.56,4.340878170264604,51.0,1.0,1.0,207.60659055712128,584.9439452786344,-0.56
-0.55,4.340878170264604,51.0,1.0,1.0,207.59096144997378,586.57918777363,-0.55
-0.54,4.340878170264604,51.0,1.0,1.0,207.57523866101369,588.0121134760375,-0.54
-0.53,4.340878170264604,51.0,1.0,1.0,207.5591004255375,589.2168897814435,-0.53
-0.52,4.340878170264604,51.0,1.0,1.0,207.54222787801822,590.2089367629443,-0.52
-0.51,4.340878170264604,51.0,1.0,1.0,207.52433494976762,591.032732137636,-0.51
-0.5,4.340878170264604,51.0,1.0,1.0,207.50521418416997,591.7445077247684,-0.5
-0.49,4.340878170264604,51.0,1.0,1.0,207.48480104669966,592.3948693228778,-0.49
-0.48,4.340878170264604,51.0,1.0,1.0,207.46325734135223,593.0176061526902,-0.48
-0.47,4.340878170264604,51.0,1.0,1.0,207.44107046446487,593.6265240228896,-0.47
-0.46,4.340878170264604,51.0,1.0,1.0,207.46525189360023,593.1908541482705,-0.46
-0.45,4.340878170264604,51.0,1.0,1.0,207.50467456735598,592.2603621095782,-0.45
-0.44,4.340878170264604,51.0,1.0,1.0,207.5340552725195,591.419362857626,-0.44
-0.43,4.340878170264604,51.0,1.0,1.0,207.55601834621032,590.6677492264552,-0.43
-0.42,4.340878170264604,51.0,1.0,1.0,207.5729916930663,590.0021618974893,-0.42
-0.41,4.340878170264604,51.0,1.0,1.0,207.5870287698062,589.4168162283067,-0.41
-0.4,4.340878170264604,51.0,1.0,1.0,207.5997413891105,588.9042669994444,-0.4
-0.39,4.340878170264604,51.0,1.0,1.0,207.61230998096497,588.4561349401996,-0.39
-0.38,4.340878170264604,51.0,1.0,1.0,207.62553879586756,588.0637648728036,-0.38
-0.37,4.340878170264604,51.0,1.0,1.0,207.63993005465576,587.691780993791,-0.37
-0.36,4.340878170264604,51.0,1.0,1.0,207.65575942786717,587.3485843450763,-0.36
-0.35,4.340878170264604,51.0,1.0,1.0,207.67314293034445,587.0378786013315,-0.35
-0.34,4.340878170264604,51.0,1.0,1.0,207.69209113156313,586.7532828263787,-0.34
