MagCAPShock,IntRate,reliab_total,reliab_avg,reliab_min,d_end,π_end,Δμ_pc
-1.0,0.0,50.515857032087254,0.9905070006291619,0.8322193363904891,154.67190378279264,250.62407379602354,-1.0
-0.99,0.0,50.53319317018022,0.9908469249054945,0.8380061695711624,154.74935228340266,250.0110076331617,-0.99
-0.98,0.0,50.55051707460737,0.9911866093060269,0.8437930027518356,154.83222793217058,249.37953489145974,-0.98
-0.97,0.0,50.567828752718654,0.9915260539748756,0.8495798359325089,154.91529089447357,248.73584367528713,-0.97
-0.96,0.0,50.58512821131122,0.9918652590453181,0.8553666691131823,154.9985368622525,248.0838136379901,-0.96
-0.95,0.0,50.602415456499,0.9922042246372353,0.8611535022938555,155.0819617687227,247.42577215876807,-0.95
-0.94,0.0,50.61969049357019,0.9925429508543174,0.8669403354745288,155.15969698969533,246.76370152896675,-0.94
-0.93,0.0,50.63695332683167,0.9928814377810132,0.8727271686552021,155.24345922537057,246.1001792424928,-0.93
-0.92,0.0,50.65420395943951,0.9932196854792061,0.8785140018358751,155.32738586357544,245.438592156739,-0.92
-0.91,0.0,50.67144239321428,0.9935576939845937,0.8843008350165485,155.41147205668162,244.78158073115418,-0.91
-0.9,0.0,50.688668628440475,0.9938954633027544,0.8900876681972218,155.49571709977945,244.12826534014013,-0.9
-0.89,0.0,50.70588266364918,0.9942329934048858,0.895874501377895,155.58008768804763,243.47498442164488,-0.89
-0.88,0.0,50.72308449538315,0.9945702842231989,0.9016613345585685,155.65821777523556,242.82032431908812,-0.88
-0.87,0.0,50.74028042699917,0.9949074593529249,0.9074481677392415,155.7430424574043,242.1653770011146,-0.87
-0.86,0.0,50.75746605189812,0.9952444323901593,0.9132350009199148,155.82804430016793,241.51775171451112,-0.86
-0.85,0.0,50.774638985454914,0.9955811565775473,0.919021834100588,155.913193590116,240.88552317792394,-0.85
-0.84,0.0,50.79179921527229,0.9959176316720058,0.9248086672812615,155.9984881671958,240.27664879684508,-0.84
-0.83,0.0,50.808946722960826,0.9962538573129573,0.9305955004619346,156.07675032316197,239.69969257747653,-0.83
-0.82,0.0,50.82608148129713,0.9965898329666104,0.936382333642608,156.1623157505885,239.16362419990494,-0.82
-0.81,0.0,50.843203449442996,0.9969255578322156,0.9421691668232811,156.24802212986197,238.67739764507616,-0.81
-0.8,0.0,50.860312564709396,0.9972610306805764,0.9479560000039545,156.3338692648336,238.24937717546672,-0.8
-0.79,0.0,50.87740872834448,0.997596249575382,0.953742833184628,156.41985019926352,237.88675001028363,-0.79
-0.78,0.0,50.89449178148165,0.9979312114016009,0.9595296663653011,156.50596187181293,237.59492328234836,-0.78
-0.77,0.0,50.91156146650667,0.9982659111079739,0.9653164995459741,156.58436671971506,237.37747792686895,-0.77
-0.76,0.0,50.92861737220489,0.9986003406314684,0.9711033327266476,156.6707113667229,237.23677729989424,-0.76
-0.75,0.0,50.9456588789833,0.998934487823202,0.9768901659073207,156.7571728115957,237.17512415133402,-0.75
-0.74,0.0,50.962685176024365,0.9992683367847914,0.9826769990879943,156.84374385145816,237.19500126716736,-0.74
-0.73,0.0,50.9796955242296,0.9996018730241097,0.9884638322686674,156.9304189300161,237.29480715253695,-0.73
-0.72,0.0,50.99425066544934,0.9998872679499872,0.9942506654493406,157.01719977608641,237.45811806148848,-0.72
-0.71,0.0,51.0,1.0,1.0,157.09577981539158,237.64740171568275,-0.71
-0.7,0.0,51.0,1.0,1.0,157.18281793118064,237.81989028072334,-0.7
-0.69,0.0,51.0,1.0,1.0,157.27000575570796,237.95272869980735,-0.69
-0.68,0.0,51.0,1.0,1.0,157.35734351249053,238.04711730228286,-0.68
-0.67,0.0,51.0,1.0,1.0,157.44480910200622,238.11440800600695,-0.67
-0.66,0.0,51.0,1.0,1.0,157.5323876394251,238.16428777444074,-0.66
-0.65,0.0,51.0,1.0,1.0,157.62003426694844,238.20259213026765,-0.65
-0.64,0.0,51.0,1.0,1.0,157.69933667534684,238.23277693053194,-0.64
-0.63,0.0,51.0,1.0,1.0,157.78723477528627,238.25697188639938,-0.63
-0.62,0.0,51.0,1.0,1.0,157.87524899059247,238.27653871263732,-0.62
-0.61,0.0,51.0,1.0,1.0,157.96337881553694,238.29240343068855,-0.61
-0.6,0.0,51.0,1.0,1.0,158.0516242021337,238.30524667477343,-0.6
-0.59,0.0,51.0,1.0,1.0,158.13998551230296,238.31560316915116,-0.59
-0.58,0.0,51.0,1.0,1.0,158.2283998073247,238.3239110739819,-0.58
-0.57,0.0,51.0,1.0,1.0,158.3088384219583,238.33053677816514,-0.57
-0.56,0.0,51.0,1.0,1.0,158.3975115571826,238.33578856178625,-0.56
-0.55,0.0,51.0,1.0,1.0,158.48630819538147,238.33992542437127,-0.55
-0.54,0.0,51.0,1.0,1.0,158.5752300704683,238.34316380675025,-0.54
-0.53,0.0,51.0,1.0,1.0,158.66427920246088,238.34568330204468,-0.53
-0.52,0.0,51.0,1.0,1.0,158.7534579056446,238.3476317554096,-0.52
-0.51,0.0,51.0,1.0,1.0,158.84276879318438,238.34912987790972,-0.51
-0.5,0.0,51.0,1.0,1.0,158.92592191866405,238.35027540464142,-0.5
-0.49,0.0,51.0,1.0,1.0,159.0154121056732,238.35114680446335,-0.49
-0.48,0.0,51.0,1.0,1.0,159.10502564196182,238.35180654885696,-0.48
-0.47,0.0,51.0,1.0,1.0,159.19476029660453,238.35230395586137,-0.47
-0.46,0.0,51.0,1.0,1.0,159.28461343529221,238.35267763570806,-0.46
-0.45,0.0,51.0,1.0,1.0,159.3745821938963,238.35295756764847,-0.45
-0.44,0.0,51.0,1.0,1.0,159.46466383094395,238.35316684286505,-0.44
-0.43,0.0,51.0,1.0,1.0,159.55482191238917,238.35332310964074,-0.43
-0.42,0.0,51.0,1.0,1.0,159.64232065068379,238.3534397563085,-0.42
-0.41,0.0,51.0,1.0,1.0,159.73139308471562,238.35352687298945,-0.41
-0.4,0.0,51.0,1.0,1.0,159.82041430813396,238.3535920150481,-0.4
-0.39,0.0,51.0,1.0,1.0,159.90940370148698,238.353640807179,-0.39
-0.38,0.0,51.0,1.0,1.0,159.99841099542607,238.35367741524828,-0.38
-0.37,0.0,51.0,1.0,1.0,160.08754397782923,238.35370490698824,-0.37
-0.36,0.0,51.0,1.0,1.0,160.17704640284134,238.3537255172286,-0.36
-0.35,0.0,51.0,1.0,1.0,160.26770295148387,238.35374077172642,-0.35
-0.34,0.0,51.0,1.0,1.0,160.3465259770447,238.3537409897941,-0.34
-0.33,0.0,51.0,1.0,1.0,160.41813336819206,238.35373806726818,-0.33
-0.32,0.0,51.0,1.0,1.0,160.50332350940892,238.35373503121318,-0.32
-0.31,0.0,51.0,1.0,1.0,160.58938681991935,238.3537318700722,-0.31
-0.3,0.0,51.0,1.0,1.0,160.63380577078317,238.35372855824798,-0.3
-0.29,0.0,51.0,1.0,1.0,160.6338057707831,238.35372505348306,-0.29
-0.28,0.0,51.0,1.0,1.0,160.63380577078317,238.35372128857958,-0.28
-0.27,0.0,51.0,1.0,1.0,160.63380577078314,238.35371715573316,-0.27
-0.26,0.0,51.0,1.0,1.0,160.6338057707832,238.3537124805461,-0.26
-0.25,0.0,51.0,1.0,1.0,160.63380577078317,238.35370697861987,-0.25
-0.24,0.0,51.0,1.0,1.0,160.6338057707832,238.35370041584395,-0.24
-0.23,0.0,51.0,1.0,1.0,160.63380577078314,238.35369160611583,-0.23
-0.22,0.0,51.0,1.0,1.0,160.6338057707832,238.35367814607648,-0.22
-0.21,0.0,51.0,1.0,1.0,160.6338057707832,238.35365871567788,-0.21
-0.2,0.0,51.0,1.0,1.0,160.63380577078317,238.35362955348816,-0.2
-0.19,0.0,51.0,1.0,1.0,160.63380577078323,238.35358412277859,-0.19
-0.18,0.0,51.0,1.0,1.0,160.63380577078317,238.35351070886216,-0.18
-0.17,0.0,51.0,1.0,1.0,160.63380577078317,238.35338742162318,-0.17
-0.16,0.0,51.0,1.0,1.0,160.6338057707832,238.35317111605445,-0.16
-0.15,0.0,51.0,1.0,1.0,160.6338057707832,238.352639651002,-0.15
-0.14,0.0,51.0,1.0,1.0,160.63380577078308,238.3513013910514,-0.14
-0.13,0.0,51.0,1.0,1.0,160.63380577078314,238.3480708175798,-0.13
-0.12,0.0,51.0,1.0,1.0,160.63380577078325,238.33588012854025,-0.12
-0.11,0.0,51.0,1.0,1.0,160.6338057707832,238.28770370811537,-0.11
-0.1,0.0,51.0,1.0,1.0,160.6338057707831,238.07798211519523,-0.1
-0.09,0.0,51.0,1.0,1.0,160.6338057707831,236.966887509625,-0.09
-0.08,0.0,51.0,1.0,1.0,160.63380577078317,234.1754856989034,-0.08
-0.07,0.0,51.0,1.0,1.0,160.63380577078323,238.93808866354047,-0.07
-0.06,0.0,51.0,1.0,1.0,160.63380577078317,240.89100031103192,-0.06
-0.05,0.0,51.0,1.0,1.0,160.63380577078314,240.99584598899563,-0.05
-0.04,0.0,51.0,1.0,1.0,160.6338057707831,240.9958459889956,-0.04
-0.03,0.0,51.0,1.0,1.0,160.6338057707832,240.99584598899585,-0.03
-0.02,0.0,51.0,1.0,1.0,160.6338057707832,240.9958459889957,-0.02
-0.01,0.0,51.0,1.0,1.0,160.6338057707832,240.99584598899563,-0.01
