ProjYears,reliab_total,reliab_avg,reliab_min,d_end,π_end,Δμ_pc
0.0,50.05825040062987,0.9815343215809779,0.5298706730451168,154.43070782443516,555.1562657401519,-0.284
1.0,50.28425289239979,0.9859657429882313,0.6180424312969023,177.36924934917764,577.7442623678254,-0.284
2.0,50.7441969340847,0.9949842536095039,0.7913461903526289,186.85902843808066,570.3788689182281,-0.284
3.0,51.0,1.0,1.0,182.87811565036864,589.1411270566823,-0.284
4.0,51.0,1.0,1.0,175.99455856462308,592.682479467471,-0.284
5.0,51.0,1.0,1.0,198.81602824727747,568.1298351919258,-0.284
6.0,51.0,1.0,1.0,197.94059709371768,532.5367072179301,-0.284
7.0,51.0,1.0,1.0,195.0806337189469,517.2012189487142,-0.284
8.0,51.0,1.0,1.0,195.0710567007,516.7858393423122,-0.284
9.0,51.0,1.0,1.0,193.76211979464904,515.9167097302397,-0.284
10.0,51.0,1.0,1.0,193.1475711113904,511.15863561138883,-0.284
