Choice_r,reliab_avg,reliab_min,Infrast_end,π_end,d_end,Δμ_pc
0.01,0.9994144998970226,0.9825144344939988,0.3474740737168253,252.22474126770166,149.06591338212462,-0.284
0.02,1.0,1.0,0.35335501438436606,266.1808371174241,154.2249519294021,-0.284
0.03,1.0,1.0,0.35750228042425003,260.06764334442414,157.3563564081159,-0.284
0.04,1.0,1.0,0.35810828736721273,257.2783050443068,157.6290968286598,-0.284
0.05,1.0,1.0,0.3586876031682338,254.16764143609439,157.87615212587878,-0.284
0.06,1.0,1.0,0.3607299350218014,254.85493757934307,157.59311189370666,-0.284
0.07,1.0,1.0,0.36299553357084186,260.1548365679763,157.24062424814315,-0.284
0.08,1.0,1.0,0.36404324237239044,262.4778775575011,157.21078694921812,-0.284
0.09,1.0,1.0,0.36404324237239044,262.4778775575011,157.21078694921812,-0.284
0.1,1.0,1.0,0.36404324237239044,262.4778775575011,157.21078694921812,-0.284
0.11,1.0,1.0,0.36404324237239044,262.4778775575011,157.21078694921812,-0.284
0.12,1.0,1.0,0.36404324237239044,262.4778775575011,157.21078694921812,-0.284
0.13,1.0,1.0,0.36404324237239044,262.4778775575011,157.21078694921812,-0.284
0.14,1.0,1.0,0.36404324237239044,262.4778775575011,157.21078694921812,-0.284
0.15,1.0,1.0,0.36404324237239044,262.4778775575011,157.21078694921812,-0.284
0.16,1.0,1.0,0.36404324237239044,262.4778775575011,157.21078694921812,-0.284
0.17,1.0,1.0,0.36404324237239044,262.4778775575011,157.21078694921812,-0.284
0.18,1.0,1.0,0.36404324237239044,262.4778775575011,157.21078694921812,-0.284
0.19,1.0,1.0,0.36404324237239044,262.4778775575011,157.21078694921812,-0.284
0.2,1.0,1.0,0.36404324237239044,262.4778775575011,157.21078694921812,-0.284
0.21,1.0,1.0,0.36404324237239044,262.4778775575011,157.21078694921812,-0.284
0.22,1.0,1.0,0.36404324237239044,262.4778775575011,157.21078694921812,-0.284
0.23,1.0,1.0,0.36404324237239044,262.4778775575011,157.21078694921812,-0.284
0.24,1.0,1.0,0.36404324237239044,262.4778775575011,157.21078694921812,-0.284
0.25,1.0,1.0,0.36404324237239044,262.4778775575011,157.21078694921812,-0.284
0.26,1.0,1.0,0.36404324237239044,262.4778775575011,157.21078694921812,-0.284
0.27,1.0,1.0,0.36404324237239044,262.4778775575011,157.21078694921812,-0.284
0.28,1.0,1.0,0.36404324237239044,262.4778775575011,157.21078694921812,-0.284
0.29,1.0,1.0,0.36404324237239044,262.4778775575011,157.21078694921812,-0.284
0.3,1.0,1.0,0.36404324237239044,262.4778775575011,157.21078694921812,-0.284
0.31,1.0,1.0,0.36404324237239044,262.4778775575011,157.21078694921812,-0.284
0.32,1.0,1.0,0.36404324237239044,262.4778775575011,157.21078694921812,-0.284
0.33,1.0,1.0,0.36404324237239044,262.4778775575011,157.21078694921812,-0.284
0.34,1.0,1.0,0.36404324237239044,262.4778775575011,157.21078694921812,-0.284
0.35,1.0,1.0,0.36404324237239044,262.4778775575011,157.21078694921812,-0.284
0.36,1.0,1.0,0.36404324237239044,262.4778775575011,157.21078694921812,-0.284
0.37,1.0,1.0,0.36404324237239044,262.4778775575011,157.21078694921812,-0.284
0.38,1.0,1.0,0.36404324237239044,262.4778775575011,157.21078694921812,-0.284
0.39,1.0,1.0,0.36404324237239044,262.4778775575011,157.21078694921812,-0.284
0.4,1.0,1.0,0.36404324237239044,262.4778775575011,157.21078694921812,-0.284
0.41,1.0,1.0,0.36404324237239044,262.4778775575011,157.21078694921812,-0.284
0.42,1.0,1.0,0.36404324237239044,262.4778775575011,157.21078694921812,-0.284
0.43,1.0,1.0,0.36404324237239044,262.4778775575011,157.21078694921812,-0.284
0.44,1.0,1.0,0.36404324237239044,262.4778775575011,157.21078694921812,-0.284
0.45,1.0,1.0,0.36404324237239044,262.4778775575011,157.21078694921812,-0.284
0.46,1.0,1.0,0.36404324237239044,262.4778775575011,157.21078694921812,-0.284
0.47,1.0,1.0,0.36404324237239044,262.4778775575011,157.21078694921812,-0.284
0.48,1.0,1.0,0.36404324237239044,262.4778775575011,157.21078694921812,-0.284
0.49,1.0,1.0,0.36404324237239044,262.4778775575011,157.21078694921812,-0.284
0.5,1.0,1.0,0.36404324237239044,262.4778775575011,157.21078694921812,-0.284
