Conserv_Sens,reliab_avg,reliab_min,Infrast_end,π_end,d_end,Δμ_pc
0.01,1.0,1.0,0.36404334145143197,261.97946249246274,157.21074417472622,-0.284
0.02,1.0,1.0,0.36404333729653565,262.0093715315268,157.2107462201539,-0.284
0.03,1.0,1.0,0.3640433331654977,262.0374859377301,157.2107482081462,-0.284
0.04,1.0,1.0,0.3640433290974154,262.0639347414188,157.21075012932099,-0.284
0.05,1.0,1.0,0.3640433251193453,262.0888326906709,157.21075197819985,-0.284
0.06,1.0,1.0,0.3640433212495841,262.1122825944866,157.21075375205524,-0.284
0.07,1.0,1.0,0.3640433175000157,262.134377268806,157.2107554500964,-0.284
0.08,1.0,1.0,0.36404331387780936,262.15520113698494,157.21075707288955,-0.284
0.09,1.0,1.0,0.36404331038667026,262.17483153490434,157.21075862193916,-0.284
0.1,1.0,1.0,0.36404330702776005,262.19333976753455,157.21076009938443,-0.284
0.11,1.0,1.0,0.3640433038003872,262.2107919593206,157.21076150777859,-0.284
0.12,1.0,1.0,0.36404330070252017,262.2272497357242,157.21076284992867,-0.284
0.13,1.0,1.0,0.3640432977311768,262.2427707681411,157.21076412877724,-0.284
0.14,1.0,1.0,0.3640432948827146,262.25740920951745,157.2107653473192,-0.284
0.15,1.0,1.0,0.36404329215305387,262.27121604340914,157.21076650853968,-0.284
0.16,1.0,1.0,0.36404328953784026,262.28423936522626,157.210767615372,-0.284
0.17,1.0,1.0,0.3640432870325713,262.2965246108208,157.2107686706677,-0.284
0.18,1.0,1.0,0.36404328463268865,262.3081147445979,157.21076967717678,-0.284
0.19,1.0,1.0,0.3640432823336475,262.3190504167739,157.21077063753464,-0.284
0.2,1.0,1.0,0.36404328013096715,262.32937009731234,157.21077155425525,-0.284
0.21,1.0,1.0,0.36404327802026676,262.33911019237433,157.21077242972805,-0.284
0.22,1.0,1.0,0.3640432759972923,262.34830514772005,157.21077326621736,-0.284
0.23,1.0,1.0,0.36404327405793313,262.35698754241906,157.21077406586392,-0.284
0.24,1.0,1.0,0.3640432721982327,262.36518817534693,157.2107748306886,-0.284
0.25,1.0,1.0,0.3640432704143966,262.37293614628516,157.21077556259596,-0.284
0.26,1.0,1.0,0.36404326870279324,262.3802589329103,157.21077626337984,-0.284
0.27,1.0,1.0,0.3640432670599561,262.3871824645764,157.21077693472756,-0.284
0.28,1.0,1.0,0.36404326548257965,262.39373119348807,157.21077757822627,-0.284
0.29,1.0,1.0,0.3640432639675178,262.39992816365265,157.21077819536742,-0.284
0.3,1.0,1.0,0.3640432625117785,262.4057950778375,157.21077878755312,-0.284
0.31,1.0,1.0,0.3640432611125184,262.41135236265563,157.21077935610077,-0.284
0.32,1.0,1.0,0.36404325976703816,262.41661923181607,157.21077990224825,-0.284
0.33,1.0,1.0,0.3640432584727758,262.42161374754306,157.21078042715877,-0.284
0.34,1.0,1.0,0.36404325722730074,262.42635288012633,157.21078093192594,-0.284
0.35,1.0,1.0,0.36404325602830806,262.4308525655603,157.21078141757752,-0.284
0.36,1.0,1.0,0.3640432548736124,262.43512776121776,157.21078188507997,-0.284
0.37,1.0,1.0,0.36404325376114155,262.43919249952035,157.21078233534257,-0.284
0.38,1.0,1.0,0.3640432526889313,262.44305993955834,157.21078276922054,-0.284
0.39,1.0,1.0,0.36404325165512,262.4467424166388,157.210783187519,-0.284
0.4,1.0,1.0,0.3640432506579423,262.4502514897425,157.21078359099613,-0.284
0.41,1.0,1.0,0.36404324969572527,262.4535979868876,157.21078398036573,-0.284
0.42,1.0,1.0,0.36404324876688227,262.45679204840746,157.2107843563005,-0.284
0.43,1.0,1.0,0.3640432478699091,262.45984316816623,157.21078471943514,-0.284
0.44,1.0,1.0,0.36404324700337914,262.4627602327335,157.21078507036754,-0.284
0.45,1.0,1.0,0.36404324616593914,262.4655515585685,157.2107854096623,-0.284
0.46,1.0,1.0,0.3640432453563059,262.4682249272542,157.21078573785206,-0.284
0.47,1.0,1.0,0.36404324457326137,262.4707876188324,157.21078605544,-0.284
0.48,1.0,1.0,0.36404324381564956,262.4732464433115,157.2107863629015,-0.284
0.49,1.0,1.0,0.36404324308237307,262.4756077703929,157.21078666068593,-0.284
0.5,1.0,1.0,0.36404324237239044,262.4778775575011,157.21078694921812,-0.284
0.51,1.0,1.0,0.3640432416847125,262.48006137616966,157.21078722889996,-0.284
0.52,1.0,1.0,0.36404324101839913,262.48216443686977,157.210787500112,-0.284
0.53,1.0,1.0,0.3640432403725573,262.4841916123394,157.2107877632143,-0.284
0.54,1.0,1.0,0.36404323974633895,262.4861474594904,157.21078801854816,-0.284
0.55,1.0,1.0,0.3640432391389365,262.4880362399655,157.21078826643733,-0.284
0.56,1.0,1.0,0.36404323854958287,262.48986193941124,157.21078850718825,-0.284
0.57,1.0,1.0,0.3640432379775486,262.4916282855369,157.21078874109165,-0.284
0.58,1.0,1.0,0.36404323742213945,262.4933387650261,157.21078896842377,-0.284
0.59,1.0,1.0,0.364043236882694,262.49499663936393,157.21078918944684,-0.284
0.6,1.0,1.0,0.36404323635858343,262.49660495964537,157.2107894044095,-0.284
0.61,1.0,1.0,0.3640432358492087,262.49816658041976,157.21078961354843,-0.284
0.62,1.0,1.0,0.364043235353999,262.4996841726322,157.2107898170887,-0.284
0.63,1.0,1.0,0.3640432348724105,262.50116023571803,157.2107900152439,-0.284
0.64,1.0,1.0,0.364043234403925,262.502597108897,157.21079020821753,-0.284
0.65,1.0,1.0,0.36404323394804794,262.50399698172544,157.2107903962036,-0.284
0.66,1.0,1.0,0.36404323350430845,262.5053619039421,157.21079057938618,-0.284
