Decay_hard,reliab_avg,reliab_min,Infrast_end,π_end,d_end,Δμ_pc
0.025,1.0,1.0,0.3636091347851809,263.8943557843474,157.39105177122565,-0.284
0.03,1.0,1.0,0.36405203413469484,263.08041669539097,157.22939656943606,-0.284
0.035,1.0,1.0,0.3640489369447375,262.40796406687963,157.22383121178183,-0.284
0.04,1.0,1.0,0.36404657609620034,262.20042597664326,157.21887893838732,-0.284
0.045,1.0,1.0,0.3640447386532763,262.2542969921762,157.21452586590823,-0.284
0.05,1.0,1.0,0.36404324237239044,262.4778775575011,157.21078694921812,-0.284
0.055,1.0,1.0,0.36404191404209024,262.89253125479144,157.207701776266,-0.284
0.06,1.0,1.0,0.36439075977174024,263.4735028268736,157.08407052583584,-0.284
0.065,1.0,1.0,0.3647088225157323,264.0248450849867,156.97234886640695,-0.284
0.07,1.0,1.0,0.3647089268610246,263.928963006377,156.96902957406365,-0.284
0.075,1.0,1.0,0.36470909925492806,263.8792220868666,156.96587722383742,-0.284
