Decay_hard,reliab_avg,reliab_min,Infrast_end,π_end,d_end,Δμ_pc
0.025,0.999841038887616,0.9966358153062861,0.35980589214390674,260.0553441800056,158.98092845053137,-0.284
0.03,0.9998410507730673,0.9966364214643001,0.3602925804114904,257.7861192380071,158.71071718557644,-0.284
0.035,0.9998410618216844,0.9966369849437754,0.3611771242085253,254.72962893883573,158.31326744401616,-0.284
0.04,0.9998410721816701,0.9966375133030382,0.3621070752514867,243.30209966894867,157.94440167388836,-0.284
0.045,0.9998410819595837,0.9966380119766343,0.3630592944718376,249.62042968557532,157.58059585077143,-0.284
0.05,0.9998410912355191,0.9966384850493438,0.36398828981494047,251.92435693837007,157.23237669036718,-0.284
0.055,0.999841100071751,0.9966389356971718,0.3639875719050903,251.33681483482195,157.2271427023155,-0.284
0.06,0.9998411085180079,0.9966393664562664,0.36398932430143294,250.61513512775824,157.22285791486124,-0.284
0.065,0.9998411166148631,0.9966397793958842,0.36399298878927516,250.1124252832181,157.2196296457166,-0.284
0.07,0.9998411243960128,0.9966401762345215,0.36399654228950434,249.5189413405226,157.2150126095027,-0.284
0.075,0.9998161762666973,0.9953678216394312,0.36409091370706187,249.17894066770302,157.17828885732624,-0.284
