Goal_l,reliab_avg,reliab_min,Infrast_end,π_end,d_end,Δμ_pc
1.0,0.996916247338252,0.9900950693584514,0.3581313064565836,248.93693485895193,159.76808350774184,-0.284
1.01,0.9991873443878143,0.9931178445153882,0.35869603535243866,248.92275573943084,159.48763120984887,-0.284
1.02,0.9995646879362617,0.9947759501472287,0.3592427039136936,248.8967693802389,159.21437683966596,-0.284
1.03,0.999744189622287,0.9950084213023204,0.35977107966138266,248.84894150248093,158.94752602070503,-0.284
1.04,0.9997861275753742,0.9952441306565116,0.36028011350455297,248.75907122405343,158.686784292666,-0.284
1.05,0.999795222967271,0.9954809796987383,0.3608612272987453,248.5673996687008,158.40922083597485,-0.284
1.06,0.9998044457541317,0.9957173757701456,0.3614704243102387,247.92538221449712,158.16290980223297,-0.284
1.07,0.9998137077463994,0.9959521151126237,0.36209502895695,240.97380762909475,157.92261841985092,-0.284
1.08,0.9998229373071732,0.9961842935361518,0.362725691949606,244.0990802188573,157.68757188618702,-0.284
1.09,0.9998320788169563,0.99641324275839,0.36335733872312725,248.90439049331874,157.45799302752286,-0.284
1.1,0.9998410912355191,0.9966384850493438,0.36398828981494047,251.92435693837007,157.23237669036718,-0.284
1.11,0.999849946116221,0.9968596988746501,0.36464268436040714,254.41165599977373,157.0126676845763,-0.284
1.12,0.9998586253954104,0.9970766904856568,0.36530104768669897,256.37973519495216,156.79591079840705,-0.284
1.13,0.9998671192070177,0.997289368845432,0.36594352449082884,259.14967492147,156.59364693365328,-0.284
1.14,0.9998957306446511,0.9973372477154072,0.36655934135835766,258.64696766105743,156.39020675687976,-0.284
1.15,1.0,1.0,0.36661166517728594,259.3071544813078,156.37386137470344,-0.284
1.16,1.0,1.0,0.3662477778417328,260.3787958945444,156.49314880318838,-0.284
1.17,1.0,1.0,0.36565733115454746,263.20593237754747,156.68795984185095,-0.284
1.18,1.0,1.0,0.365536946569943,263.02204892991216,156.71456951341233,-0.284
1.19,1.0,1.0,0.36480652312863965,263.22676669016926,156.95452663109458,-0.284
1.2,1.0,1.0,0.36404324237239044,262.4778775575011,157.21078694921812,-0.284
1.21,1.0,1.0,0.3639792162989223,261.23394787043446,157.22806849466522,-0.284
1.22,1.0,1.0,0.3632577187506807,257.8204279726754,157.4772566029737,-0.284
1.23,1.0,1.0,0.36254676235633093,259.19464296550143,157.7276284603251,-0.284
1.24,1.0,1.0,0.362756901815014,263.7265370305861,157.6511454328404,-0.284
1.25,1.0,1.0,0.363363469985902,267.39251780217086,157.43353351515518,-0.284
1.26,1.0,1.0,0.36396572532531746,270.8202534977059,157.21954538586382,-0.284
1.27,1.0,1.0,0.36456386660643764,274.2162560445046,157.00923316026572,-0.284
1.28,1.0,1.0,0.365158141993358,277.58196794260346,156.80274656674158,-0.284
1.29,1.0,1.0,0.36574873321103557,280.77544190053965,156.59920895295417,-0.284
1.3,1.0,1.0,0.3663354466114432,283.72430860757305,156.39857830210266,-0.284
