IF_thresh_l,reliab_avg,reliab_min,Infrast_end,π_end,d_end,Δμ_pc
0.0,1.0,1.0,0.36404324237239044,262.4778775575011,157.21078694921812,-0.284
0.01,1.0,1.0,0.36427702769483633,262.3764508494696,157.1310095130074,-0.284
0.02,1.0,1.0,0.3645400254151032,262.30441512912637,157.04166834793256,-0.284
0.03,1.0,1.0,0.3648314645552782,262.2511081835216,156.9431456746714,-0.284
0.04,1.0,1.0,0.3651488089310604,262.19548955969987,156.83643326617695,-0.284
0.05,1.0,1.0,0.36548810277400406,262.111892094177,156.72299544107588,-0.284
0.06,1.0,1.0,0.3658439082732903,261.98448704492876,156.60476768058123,-0.284
0.07,1.0,1.0,0.36620894142748184,261.82426632796796,156.48430626592983,-0.284
0.08,1.0,1.0,0.36657538311194293,261.6680236444952,156.36426908719494,-0.284
0.09,1.0,1.0,0.36693322057077155,261.56429521938395,156.24777302727267,-0.284
0.1,1.0,1.0,0.3669038278310138,260.2076424103816,156.2569934717191,-0.284
0.11,1.0,1.0,0.3670765056113017,258.50064296534407,156.19908709624107,-0.284
0.12,1.0,1.0,0.3673512546666995,256.9982908772787,156.1090883574985,-0.284
0.13,1.0,1.0,0.36757140334926985,255.90411381103945,156.0393720324929,-0.284
0.14,1.0,1.0,0.36773220994670325,255.2464876108273,155.9916482557542,-0.284
0.15,1.0,1.0,0.3678264764653885,254.0917685673021,155.96547850455582,-0.284
0.16,1.0,1.0,0.36785288377211894,252.2432663557473,155.96097413153203,-0.284
0.17,1.0,1.0,0.3678198063786684,250.7935939745916,155.97792458968516,-0.284
0.18,1.0,1.0,0.36773063046084337,250.38407204507507,156.0156246088893,-0.284
0.19,1.0,1.0,0.36757704190055396,249.26881198192234,156.0726033279881,-0.284
0.2,1.0,1.0,0.36737388183391734,248.5551386182562,156.14756834333866,-0.284
0.21,1.0,1.0,0.367129361554658,247.19543528401553,156.23995415657916,-0.284
0.22,1.0,1.0,0.36686197727743336,245.1137619333992,156.3478836059974,-0.284
0.23,1.0,1.0,0.3665533987434557,235.41976698934778,156.47081969462843,-0.284
0.24,1.0,1.0,0.36620757282856126,238.28563748552855,156.60832090771626,-0.284
0.25,1.0,1.0,0.3658234192643801,242.2339119133089,156.76044917093253,-0.284
0.26,0.9999830944187723,0.9993626140175574,0.3654026393922063,247.47937326745966,156.92711050932945,-0.284
0.27,0.9999402575794448,0.9984586419360423,0.3649393291786999,248.19074696270093,157.11022031087296,-0.284
0.28,0.9999049224803153,0.9977051783235092,0.36442843584078893,248.44583717176067,157.31077641039758,-0.284
0.29,0.9998758232714053,0.9970774039808806,0.3638536029411279,248.58727874360164,157.5345162649272,-0.284
0.3,0.9998507955632918,0.9965547214065638,0.36319448752258904,248.6795547264926,157.78809258345885,-0.284
0.31,0.9997977673122549,0.9961200800507412,0.36240072608394663,248.74395537108242,158.08604304042686,-0.284
0.32,0.9996945196716326,0.9957593246733859,0.36137137450373175,248.7905479265511,158.4561211407761,-0.284
0.33,0.9995661836284802,0.9954606253168089,0.36051216033099615,248.82509041184767,158.8526832751157,-0.284
0.34,0.9993618392416501,0.9951562382576844,0.36017123984128463,248.85117471623857,159.01377849686827,-0.284
0.35,0.9990211353723141,0.9937772709223179,0.35982995695859116,248.8711401892572,159.17103306290824,-0.284
0.36,0.9984772700017508,0.9925801082078296,0.3594917198860867,248.88658225781126,159.3231954343957,-0.284
0.37,0.997675329676072,0.9912801193347478,0.3591601280344403,248.89862164970825,159.4690046875314,-0.284
0.38,0.996594355224534,0.9895868778922204,0.3588384738474897,248.9080658983421,159.60724075013832,-0.284
0.39,0.9952203498973174,0.9877194993004881,0.3585294910643324,248.91548049744148,159.73678771568862,-0.284
0.4,0.9935588586433071,0.9858104263565421,0.35823656222037586,248.921328655807,159.85670310129854,-0.284
0.41,0.9918250657291636,0.98396325076876,0.35796333966452093,248.9259714478481,159.96628243443897,-0.284
0.42,0.9903177135498745,0.9821851844265158,0.3577127700022522,248.9296647073513,160.0651082863826,-0.284
0.43,0.9890217123499384,0.9805471861388676,0.3574870024365467,248.93260725628653,160.153074492111,-0.284
0.44,0.9879188242999943,0.9790417155241588,0.35728696452114633,248.9349545959115,160.23038069327725,-0.284
0.45,0.9869891133144565,0.977686371298281,0.3571123601246777,248.93682895941814,160.29749862209306,-0.284
0.46,0.9862120571149708,0.9764859260559721,0.3569619764110092,248.93832681277283,160.35511699071424,-0.284
0.47,0.9855674986179984,0.9754337190500495,0.35683398262704585,248.93952452715257,160.40407506654512,-0.284
0.48,0.9850363757653725,0.9745210383720573,0.356726177163271,248.94048271644894,160.44529529779712,-0.284
0.49,0.9846012137998529,0.9737379267168572,0.3566361907214864,248.94124958420136,160.47972323244576,-0.284
0.5,0.9842463987763036,0.9730737572142222,0.3565616495277619,248.94186352530338,160.50827967531313,-0.284
