IF_thresh_r,reliab_avg,reliab_min,Infrast_end,π_end,d_end,Δμ_pc
0.0,1.0,1.0,0.36404324237239044,262.4778775575011,157.21078694921812,-0.284
0.02,1.0,1.0,0.36404324237239044,263.53401452007597,157.21078694921812,-0.284
0.04,1.0,1.0,0.36404324237239044,264.103061176484,157.21078694921812,-0.284
0.06,1.0,1.0,0.36404324237239044,264.3980631572623,157.21078694921812,-0.284
0.08,1.0,1.0,0.36404324237239044,264.5256136951527,157.21078694921812,-0.284
0.1,1.0,1.0,0.36404324237239044,264.5772449096447,157.21078694921812,-0.284
0.12,1.0,1.0,0.36404324237239044,264.65793311111247,157.21078694921812,-0.284
0.14,1.0,1.0,0.36404324237239044,264.85085249291694,157.21078694921812,-0.284
0.16,1.0,1.0,0.36404324237239044,265.17025906649263,157.21078694921812,-0.284
0.18,1.0,1.0,0.36404324237239044,265.5584091331872,157.21078694921812,-0.284
0.2,1.0,1.0,0.36404324237239044,265.9380455427898,157.21078694921812,-0.284
0.22,1.0,1.0,0.36404324237239044,266.26998254781654,157.21078694921812,-0.284
0.24,1.0,1.0,0.36404324237239044,266.55869449090477,157.21078694921812,-0.284
0.26,1.0,1.0,0.36404324237239044,266.82317955700023,157.21078694921812,-0.284
0.28,1.0,1.0,0.36404324237239044,267.07719747183535,157.21078694921812,-0.284
0.3,1.0,1.0,0.36404324237239044,267.3267783554901,157.21078694921812,-0.284
0.32,1.0,1.0,0.36404324237239044,267.57358355554874,157.21078694921812,-0.284
0.34,1.0,1.0,0.36404324237239044,267.8173725596223,157.21078694921812,-0.284
0.36,1.0,1.0,0.36404324237239044,268.05700226810336,157.21078694921812,-0.284
0.38,1.0,1.0,0.36404324237239044,268.2908658742831,157.21078694921812,-0.284
0.4,1.0,1.0,0.36404324237239044,268.5171374498194,157.21078694921812,-0.284
0.42,1.0,1.0,0.36404324237239044,268.7338910025798,157.21078694921812,-0.284
0.44,1.0,1.0,0.36404324237239044,268.93916064930636,157.21078694921812,-0.284
0.46,1.0,1.0,0.36404324237239044,269.13098090412734,157.21078694921812,-0.284
0.48,1.0,1.0,0.36404324237239044,269.30742011307746,157.21078694921812,-0.284
0.5,1.0,1.0,0.36404324237239044,269.466607527358,157.21078694921812,-0.284
0.52,1.0,1.0,0.36404324237239044,269.60675180474107,157.21078694921812,-0.284
0.54,1.0,1.0,0.3617097231368865,268.4775450710604,157.17358711430492,-0.284
0.56,1.0,1.0,0.35411083226051865,258.3647808453416,153.99900412140894,-0.284
0.58,1.0,1.0,0.35180945021893284,253.13588694000637,152.07282956215718,-0.284
0.6,0.9999784235313233,0.9988996000974891,0.34992679061565757,249.09134592199143,150.25990851415787,-0.284
0.62,0.9992981457434883,0.9781070654752703,0.3482019643298182,245.9505170939741,148.42483652987295,-0.284
0.64,0.9985091378088078,0.9688384209652791,0.34715640550725935,243.55659755866452,147.15050674022172,-0.284
0.66,0.997981103141547,0.964207631076949,0.34633550860810725,241.86279505181577,146.0708776543261,-0.284
0.68,0.9971842694203409,0.9573870942770174,0.34578041437751034,240.70839237658762,145.31319737277576,-0.284
0.7,0.996335991576014,0.9506865947007569,0.34498565357149363,239.9031632319019,144.19344812920923,-0.284
0.72,0.995828658266926,0.9473030190820343,0.34468124626151725,239.37184302171957,143.72852275082334,-0.284
0.74,0.9955265259184595,0.9451891234218842,0.3444824243302436,239.0199415792728,143.41519207049657,-0.284
0.76,0.9953344633276842,0.9438238451642946,0.34433806293154073,238.78688423706674,143.1719865344354,-0.284
0.78,0.9952111079558593,0.9429406332138027,0.3442448451769357,238.63579805478858,143.01370858184364,-0.284
0.8,0.9951317508727843,0.9423701288184818,0.34418493080084617,238.53801445605626,142.91146252010444,-0.284
0.82,0.9950806802559039,0.942002051870861,0.3441464700051327,238.47481842432654,142.84560993591887,-0.284
0.84,0.9950478072374777,0.9417647470845368,0.34412177461561305,238.43402045346153,142.80323452201685,-0.284
0.86,0.9950266443555926,0.9416118170385149,0.3441059071598238,238.40770290186623,142.77596851785043,-0.284
0.88,0.9950130185244451,0.9415132861302108,0.3440957051133382,238.3907354606576,142.75842154428474,-0.284
0.9,0.9950042446688716,0.9414498132444679,0.34408914220988995,238.37980022007656,142.74712694699073,-0.284
0.92,0.99499859470526,0.9414089281556245,0.34408491873214947,238.3727543424949,142.73985563096343,-0.284
0.94,0.9949949562276424,0.9413825941212166,0.34408220004886414,238.368215210197,142.73517386185497,-0.284
0.96,0.9949926130437069,0.9413656329977135,0.34408044970338864,238.36529128919855,142.73215915420093,-0.284
0.98,0.994991104001551,0.9413547089853457,0.3440793226624332,238.36340794689696,142.73021779321465,-0.284
1.0,0.9949901321458197,0.9413476733454815,0.34407859690938825,238.36219490998985,142.72896757856816,-0.284
