IntRate,reliab_avg,reliab_min,Infrast_end,π_end,d_end,Δμ_pc
0.0,1.0,1.0,0.36404324237239044,245.86056384734084,157.2107869492181,-0.284
0.01,1.0,1.0,0.36404324237239044,245.86388127115316,157.21078694921812,-0.284
0.02,1.0,1.0,0.3640432423723905,254.47827201141183,157.2107869492181,-0.284
0.03,1.0,1.0,0.3640432423723905,259.8176473943021,157.21078694921812,-0.284
0.04,1.0,1.0,0.36404324237239044,262.4778775575011,157.21078694921812,-0.284
0.05,1.0,1.0,0.3640432423723905,269.3626149347308,157.2107869492181,-0.284
0.06,1.0,1.0,0.3574487774695863,268.6696261315411,157.34319160308326,-0.284
0.07,1.0,1.0,0.3551114175983314,296.75129279880383,156.28644601568618,-0.284
0.08,1.0,1.0,0.3551114175983314,311.4754770548422,156.28644601568618,-0.284
0.09,1.0,1.0,0.3542015213180833,322.3396401422618,155.5314243867691,-0.284
0.1,1.0,1.0,0.35335404166741635,337.80872569038513,154.79036832362505,-0.284
