Bond_Time,reliab_total,reliab_avg,reliab_min,d_end,π_end,Δμ_pc
5.0,51.0,1.0,1.0,160.63380577078317,246.32852668202347,-0.284
6.0,51.0,1.0,1.0,160.63380577078317,246.30578703772733,-0.284
7.0,51.0,1.0,1.0,160.63380577078317,246.21012035297994,-0.284
8.0,51.0,1.0,1.0,160.63380577078317,246.09584159968128,-0.284
9.0,51.0,1.0,1.0,160.63380577078317,245.98072575882057,-0.284
10.0,51.0,1.0,1.0,160.63380577078317,245.87155617908016,-0.284
11.0,51.0,1.0,1.0,160.63380577078317,245.77435887213406,-0.284
12.0,51.0,1.0,1.0,160.63380577078317,245.68233990741953,-0.284
13.0,51.0,1.0,1.0,160.63380577078317,245.5182900591358,-0.284
14.0,51.0,1.0,1.0,160.63380577078317,244.9438110362027,-0.284
15.0,51.0,1.0,1.0,160.63380577078317,251.2478610088368,-0.284
16.0,51.0,1.0,1.0,160.63380577078317,258.1376477869022,-0.284
17.0,51.0,1.0,1.0,160.63380577078317,263.1621650168602,-0.284
18.0,51.0,1.0,1.0,160.63380577078317,267.70125546645227,-0.284
19.0,51.0,1.0,1.0,160.63380577078317,271.4066085241692,-0.284
20.0,51.0,1.0,1.0,160.63380577078317,271.68001599903096,-0.284
21.0,51.0,1.0,1.0,160.50369031877102,271.91444374746766,-0.284
22.0,51.0,1.0,1.0,160.34483340594247,271.7752168908246,-0.284
23.0,51.0,1.0,1.0,160.17428234310435,272.43964021548106,-0.284
24.0,51.0,1.0,1.0,160.12482397884946,275.5041771915598,-0.284
25.0,51.0,1.0,1.0,160.12482397884946,280.0055798134224,-0.284
26.0,51.0,1.0,1.0,160.12482397884946,284.69984659206807,-0.284
27.0,51.0,1.0,1.0,160.12482397884946,289.2216473775642,-0.284
28.0,51.0,1.0,1.0,160.12482397884946,293.5623741741365,-0.284
29.0,51.0,1.0,1.0,160.12482397884946,297.7639013047185,-0.284
30.0,51.0,1.0,1.0,160.12482397884946,301.8384751558038,-0.284
