Conserv_Sens,reliab_total,reliab_avg,reliab_min,d_end,π_end,Δμ_pc
0.01,51.0,1.0,1.0,160.63380577078317,251.40457133300305,-0.284
0.02,51.0,1.0,1.0,160.63380577078317,251.39847845033947,-0.284
0.03,51.0,1.0,1.0,160.63380577078317,251.39257916647028,-0.284
0.04,51.0,1.0,1.0,160.63380577078317,251.3868671427707,-0.284
0.05,51.0,1.0,1.0,160.63380577078317,251.38133618694707,-0.284
0.06,51.0,1.0,1.0,160.63380577078317,251.37598025750364,-0.284
0.07,51.0,1.0,1.0,160.63380577078317,251.37079346712764,-0.284
0.08,51.0,1.0,1.0,160.63380577078317,251.3657700850988,-0.284
0.09,51.0,1.0,1.0,160.63380577078317,251.3609045388313,-0.284
0.1,51.0,1.0,1.0,160.63380577078317,251.35619141463457,-0.284
0.11,51.0,1.0,1.0,160.63380577078317,251.3516254577869,-0.284
0.12,51.0,1.0,1.0,160.63380577078317,251.34720157200042,-0.284
0.13,51.0,1.0,1.0,160.63380577078317,251.34291481834848,-0.284
0.14,51.0,1.0,1.0,160.63380577078317,251.3387604137281,-0.284
0.15,51.0,1.0,1.0,160.63380577078317,251.3347337289157,-0.284
0.16,51.0,1.0,1.0,160.63380577078317,251.33083028627485,-0.284
0.17,51.0,1.0,1.0,160.63380577078317,251.32704575716573,-0.284
0.18,51.0,1.0,1.0,160.63380577078317,251.32337595910514,-0.284
0.19,51.0,1.0,1.0,160.63380577078317,251.3198168527137,-0.284
0.2,51.0,1.0,1.0,160.63380577078317,251.3163645384973,-0.284
0.21,51.0,1.0,1.0,160.63380577078317,251.3130152534871,-0.284
0.22,51.0,1.0,1.0,160.63380577078317,251.30976536777382,-0.284
0.23,51.0,1.0,1.0,160.63380577078317,251.30661138096406,-0.284
0.24,51.0,1.0,1.0,160.63380577078317,251.30354991857863,-0.284
0.25,51.0,1.0,1.0,160.63380577078317,251.30057772841857,-0.284
0.26,51.0,1.0,1.0,160.63380577078317,251.2976916769171,-0.284
0.27,51.0,1.0,1.0,160.63380577078317,251.29488874548943,-0.284
0.28,51.0,1.0,1.0,160.63380577078317,251.29216602690457,-0.284
0.29,51.0,1.0,1.0,160.63380577078317,251.28952072167897,-0.284
0.3,51.0,1.0,1.0,160.63380577078317,251.28695013451662,-0.284
0.31,51.0,1.0,1.0,160.63380577078317,251.284451670794,-0.284
