Conserv_Sens,reliab_total,reliab_avg,reliab_min,d_end,π_end,Δμ_pc
0.01,51.0,1.0,1.0,165.91864989136667,582.1469706540166,-0.284
0.02,51.0,1.0,1.0,165.92139105823483,592.4453861141924,-0.284
0.03,51.0,1.0,1.0,162.79188568105724,599.3908441453424,-0.284
0.04,51.0,1.0,1.0,161.99469905724865,597.4655274711599,-0.284
0.05,51.0,1.0,1.0,162.13964580449567,595.7381892091948,-0.284
0.06,51.0,1.0,1.0,165.97898196143092,578.5145573796142,-0.284
0.07,51.0,1.0,1.0,165.94224820555533,587.783438760585,-0.284
0.08,51.0,1.0,1.0,165.94710145104128,588.5623342845305,-0.284
0.09,51.0,1.0,1.0,165.97712582417972,581.5685775519232,-0.284
0.1,51.0,1.0,1.0,165.92240631954965,591.0702841646614,-0.284
0.11,51.0,1.0,1.0,166.6141104510294,573.2625326435548,-0.284
0.12,51.0,1.0,1.0,168.1642969965721,591.1029540774341,-0.284
0.13,51.0,1.0,1.0,165.84369553667398,592.9552706601281,-0.284
0.14,51.0,1.0,1.0,165.83083770162918,591.309420619771,-0.284
0.15,51.0,1.0,1.0,165.70226898584778,590.3912957058617,-0.284
0.16,51.0,1.0,1.0,166.0705525503309,589.5512704240663,-0.284
0.17,51.0,1.0,1.0,168.22856421657286,588.6051308332451,-0.284
0.18,51.0,1.0,1.0,169.19053964747096,587.6197225196609,-0.284
0.19,51.0,1.0,1.0,171.47141096434297,586.8206926864808,-0.284
0.2,51.0,1.0,1.0,175.20437288250102,586.3129232211738,-0.284
0.21,51.0,1.0,1.0,179.27203852949762,586.0424070077023,-0.284
0.22,51.0,1.0,1.0,182.4385568057553,586.0418788497286,-0.284
0.23,51.0,1.0,1.0,183.9468921205426,586.2747263051522,-0.284
0.24,51.0,1.0,1.0,185.39932091421102,586.6858528541713,-0.284
0.25,51.0,1.0,1.0,187.30921790806102,585.9753568191487,-0.284
0.26,51.0,1.0,1.0,189.11082119127812,585.9569897836125,-0.284
0.27,51.0,1.0,1.0,190.8763453577468,585.8447776438697,-0.284
0.28,51.0,1.0,1.0,192.60723537573608,585.6436658580253,-0.284
0.29,51.0,1.0,1.0,194.30471987593836,585.3588346387332,-0.284
0.3,51.0,1.0,1.0,195.96985086554827,584.9963432135595,-0.284
0.31,51.0,1.0,1.0,197.60353653871417,584.5634545337502,-0.284
0.32,51.0,1.0,1.0,197.65937432346473,584.0652412979589,-0.284
0.33,51.0,1.0,1.0,197.6722905123916,583.2011849838636,-0.284
0.34,51.0,1.0,1.0,197.689745834315,582.3016952575346,-0.284
0.35,51.0,1.0,1.0,197.7614963551934,581.3762954689297,-0.284
0.36,51.0,1.0,1.0,197.8425032727206,580.4339762359366,-0.284
0.37,51.0,1.0,1.0,197.9275112590858,579.4828433082613,-0.284
0.38,51.0,1.0,1.0,198.00297333800523,578.5299077434029,-0.284
0.39,51.0,1.0,1.0,198.08133355455624,577.5810062148873,-0.284
0.4,51.0,1.0,1.0,198.15693748695313,576.6408209034215,-0.284
0.41,51.0,1.0,1.0,198.23037370588503,575.7129635465926,-0.284
0.42,51.0,1.0,1.0,198.30112997309598,574.8000921177111,-0.284
0.43,51.0,1.0,1.0,198.3755732631355,573.904036431555,-0.284
0.44,51.0,1.0,1.0,198.44023449791817,573.0259172952075,-0.284
0.45,51.0,1.0,1.0,198.5070923531174,572.1662508129416,-0.284
