DSCR,reliab_total,reliab_avg,reliab_min,d_end,π_end,Δμ_pc
1.5,51.0,1.0,1.0,199.86919119624443,492.4970173923766,-0.284
1.51,51.0,1.0,1.0,199.8668984549153,495.63666118033655,-0.284
1.52,51.0,1.0,1.0,199.86403633942226,502.2736736579009,-0.284
1.53,51.0,1.0,1.0,199.85223248418595,510.417894050891,-0.284
1.54,51.0,1.0,1.0,199.89558529276857,517.4029790639239,-0.284
1.55,51.0,1.0,1.0,199.89990069019848,523.0749251638621,-0.284
1.56,51.0,1.0,1.0,199.96755375102472,527.9207127013633,-0.284
1.57,51.0,1.0,1.0,199.93949900516392,532.3190442197042,-0.284
1.58,51.0,1.0,1.0,199.8519750090574,536.474780520124,-0.284
1.59,51.0,1.0,1.0,199.77442893432647,540.4731174857505,-0.284
1.6,51.0,1.0,1.0,199.6709020118168,544.3632261968992,-0.284
1.61,51.0,1.0,1.0,199.56580439345407,548.1596574746712,-0.284
1.62,51.0,1.0,1.0,199.46968368604465,551.8448952387315,-0.284
1.63,51.0,1.0,1.0,199.36254448139604,555.3712233151948,-0.284
1.64,51.0,1.0,1.0,199.2601524675867,558.6445947817173,-0.284
1.65,51.0,1.0,1.0,199.17960254210445,561.6202735126184,-0.284
1.66,51.0,1.0,1.0,199.10205667150254,564.2085979250762,-0.284
1.67,51.0,1.0,1.0,199.03515198848422,568.5586671178878,-0.284
1.68,51.0,1.0,1.0,199.0031211906796,572.4641470098915,-0.284
1.69,51.0,1.0,1.0,198.98139375142205,575.45323012548,-0.284
1.7,51.0,1.0,1.0,199.03629855308836,574.5550813269194,-0.284
1.71,51.0,1.0,1.0,199.10806234034877,573.2257704510871,-0.284
1.72,51.0,1.0,1.0,199.1619877602018,571.8831515858653,-0.284
1.73,51.0,1.0,1.0,199.23340942882993,570.525312705192,-0.284
1.74,51.0,1.0,1.0,199.28398343162155,569.1500323363656,-0.284
1.75,51.0,1.0,1.0,199.3524157154352,567.7547915664569,-0.284
1.76,51.0,1.0,1.0,199.40077649300807,566.3368296886609,-0.284
1.77,51.0,1.0,1.0,199.39818380076832,566.5685427265373,-0.284
1.78,51.0,1.0,1.0,199.31556935115896,569.4607249644919,-0.284
1.79,51.0,1.0,1.0,199.21328313585337,572.341540618381,-0.284
1.8,51.0,1.0,1.0,199.13051386727165,575.2138291015465,-0.284
1.81,51.0,1.0,1.0,199.02952613100817,578.0803716115178,-0.284
