Decay_hard,reliab_total,reliab_avg,reliab_min,d_end,π_end,Δμ_pc
0.025,51.0,1.0,1.0,333.485669643225,395.5457024411474,-0.284
0.03,51.0,1.0,1.0,333.485669643225,395.5397226117034,-0.284
0.035,51.0,1.0,1.0,333.485669643225,395.5349199324893,-0.284
0.04,51.0,1.0,1.0,333.485669643225,395.53100841990766,-0.284
0.045,51.0,1.0,1.0,333.485669643225,395.5276105026491,-0.284
0.05,51.0,1.0,1.0,333.485669643225,395.5245221457125,-0.284
0.055,51.0,1.0,1.0,333.485669643225,395.5199451209934,-0.284
0.06,51.0,1.0,1.0,333.485669643225,395.51382693848564,-0.284
0.065,51.0,1.0,1.0,333.485669643225,395.50663233372904,-0.284
0.07,51.0,1.0,1.0,333.485669643225,395.4983752897825,-0.284
0.075,51.0,1.0,1.0,333.485669643225,395.4891485923982,-0.284
