FixedPropRates,reliab_total,reliab_avg,reliab_min,d_end,π_end,Δμ_pc
0.0,51.0,1.0,1.0,160.63380577078317,251.41665273373744,-0.284
0.01,51.0,1.0,1.0,160.63380577078317,251.41405305614023,-0.284
0.02,51.0,1.0,1.0,160.63380577078317,251.41145116291491,-0.284
0.03,51.0,1.0,1.0,160.63380577078317,251.40884705198192,-0.284
0.04,51.0,1.0,1.0,160.63380577078317,251.406240721262,-0.284
0.05,51.0,1.0,1.0,160.63380577078317,251.40363216867772,-0.284
0.06,51.0,1.0,1.0,160.63380577078317,251.40102139215287,-0.284
0.07,51.0,1.0,1.0,160.63380577078317,251.39840838961285,-0.284
0.08,51.0,1.0,1.0,160.63380577078317,251.3957931589846,-0.284
0.09,51.0,1.0,1.0,160.63380577078317,251.39317569819607,-0.284
0.1,51.0,1.0,1.0,160.63380577078317,251.3905560051775,-0.284
0.11,51.0,1.0,1.0,160.63380577078317,251.38793407786036,-0.284
0.12,51.0,1.0,1.0,160.63380577078317,251.38530991417684,-0.284
0.13,51.0,1.0,1.0,160.63380577078317,251.38268351206278,-0.284
0.14,51.0,1.0,1.0,160.63380577078317,251.38005486945374,-0.284
0.15,51.0,1.0,1.0,160.63380577078317,251.37742398428765,-0.284
0.16,51.0,1.0,1.0,160.63380577078317,251.37479085450403,-0.284
0.17,51.0,1.0,1.0,160.63380577078317,251.3721554780447,-0.284
0.18,51.0,1.0,1.0,160.63380577078317,251.3695178528526,-0.284
0.19,51.0,1.0,1.0,160.63380577078317,251.36687797687208,-0.284
0.2,51.0,1.0,1.0,160.63380577078317,251.36423584805073,-0.284
0.21,51.0,1.0,1.0,160.63380577078317,251.3615914643363,-0.284
0.22,51.0,1.0,1.0,160.63380577078317,251.35894482367948,-0.284
0.23,51.0,1.0,1.0,160.63380577078317,251.35629592403242,-0.284
0.24,51.0,1.0,1.0,160.63380577078317,251.3536447633492,-0.284
0.25,51.0,1.0,1.0,160.63380577078317,251.3509913395865,-0.284
0.26,51.0,1.0,1.0,160.63380577078317,251.34833565070187,-0.284
0.27,51.0,1.0,1.0,160.63380577078317,251.34567769465582,-0.284
0.28,51.0,1.0,1.0,160.63380577078317,251.34301746941028,-0.284
0.29,51.0,1.0,1.0,160.63380577078317,251.34035497292962,-0.284
0.3,51.0,1.0,1.0,160.63380577078317,251.33769020317976,-0.284
0.31,51.0,1.0,1.0,160.63380577078317,251.33502315812945,-0.284
0.32,51.0,1.0,1.0,160.63380577078317,251.3323538357493,-0.284
0.33,51.0,1.0,1.0,160.63380577078317,251.32968223401224,-0.284
0.34,51.0,1.0,1.0,160.63380577078317,251.32700835089278,-0.284
0.35,51.0,1.0,1.0,160.63380577078317,251.32433218436844,-0.284
0.36,51.0,1.0,1.0,160.63380577078317,251.32165373241872,-0.284
0.37,51.0,1.0,1.0,160.63380577078317,251.31897299302574,-0.284
0.38,51.0,1.0,1.0,160.63380577078317,251.31628996417328,-0.284
0.39,51.0,1.0,1.0,160.63380577078317,251.31360464384744,-0.284
0.4,51.0,1.0,1.0,160.63380577078317,251.31091703003767,-0.284
0.41,51.0,1.0,1.0,160.63380577078317,251.30822712073547,-0.284
0.42,51.0,1.0,1.0,160.63380577078317,251.3055349139343,-0.284
0.43,51.0,1.0,1.0,160.63380577078317,251.3028404076306,-0.284
0.44,51.0,1.0,1.0,160.63380577078317,251.3001435998234,-0.284
0.45,51.0,1.0,1.0,160.63380577078317,251.29744448851372,-0.284
0.46,51.0,1.0,1.0,160.63380577078317,251.29474307170523,-0.284
0.47,51.0,1.0,1.0,160.63380577078317,251.29203934740508,-0.284
0.48,51.0,1.0,1.0,160.63380577078317,251.2893333136228,-0.284
0.49,51.0,1.0,1.0,160.63380577078317,251.28662496836984,-0.284
0.5,51.0,1.0,1.0,160.63380577078317,251.28391430966067,-0.284
0.51,51.0,1.0,1.0,160.63380577078317,251.28120133551363,-0.284
0.52,51.0,1.0,1.0,160.63380577078317,251.2784860439477,-0.284
0.53,51.0,1.0,1.0,160.63380577078317,251.27576843298638,-0.284
0.54,51.0,1.0,1.0,160.63380577078317,251.27304850065607,-0.284
0.55,51.0,1.0,1.0,160.63380577078317,251.27032624498497,-0.284
0.56,51.0,1.0,1.0,160.63380577078317,251.2676016640047,-0.284
0.57,51.0,1.0,1.0,160.63380577078317,251.26487475575033,-0.284
0.58,51.0,1.0,1.0,160.63380577078317,251.262145518259,-0.284
0.59,51.0,1.0,1.0,160.63380577078317,251.25941394957218,-0.284
0.6,51.0,1.0,1.0,160.63380577078317,251.25668004773243,-0.284
0.61,51.0,1.0,1.0,160.63380577078317,251.2539438107878,-0.284
0.62,51.0,1.0,1.0,160.63380577078317,251.2512052367875,-0.284
0.63,51.0,1.0,1.0,160.63380577078317,251.2484643237849,-0.284
0.64,51.0,1.0,1.0,160.63380577078317,251.245721069836,-0.284
0.65,51.0,1.0,1.0,160.63380577078317,251.24297547300074,-0.284
0.66,51.0,1.0,1.0,160.63380577078317,251.24022753134201,-0.284
0.67,51.0,1.0,1.0,160.63380577078317,251.23747724292556,-0.284
0.68,51.0,1.0,1.0,160.63380577078317,251.23472460582113,-0.284
0.69,51.0,1.0,1.0,160.63380577078317,251.23196961810186,-0.284
0.7,51.0,1.0,1.0,160.63380577078317,251.22921227784346,-0.284
0.71,51.0,1.0,1.0,160.63380577078317,251.2264525831261,-0.284
0.72,51.0,1.0,1.0,160.63380577078317,251.22369053203315,-0.284
0.73,51.0,1.0,1.0,160.63380577078317,251.22092612265112,-0.284
0.74,51.0,1.0,1.0,160.63380577078317,251.21815935307046,-0.284
0.75,51.0,1.0,1.0,160.63380577078317,251.21539022138523,-0.284
0.76,51.0,1.0,1.0,160.63380577078317,251.2126187256933,-0.284
0.77,51.0,1.0,1.0,160.63380577078317,251.2098448640948,-0.284
0.78,51.0,1.0,1.0,160.63380577078317,251.20706863469627,-0.284
0.79,51.0,1.0,1.0,160.63380577078317,251.20429003560568,-0.284
0.8,51.0,1.0,1.0,160.63380577078317,251.20150906493572,-0.284
0.81,51.0,1.0,1.0,160.63380577078317,251.19872572080277,-0.284
0.82,51.0,1.0,1.0,160.63380577078317,251.19594000132744,-0.284
0.83,51.0,1.0,1.0,160.63380577078317,251.1931519046337,-0.284
0.84,51.0,1.0,1.0,160.63380577078317,251.19036142884977,-0.284
0.85,51.0,1.0,1.0,160.63380577078317,251.18756857210812,-0.284
0.86,51.0,1.0,1.0,160.63380577078317,251.1847733325443,-0.284
0.87,51.0,1.0,1.0,160.63380577078317,251.18197570829892,-0.284
0.88,51.0,1.0,1.0,160.63380577078317,251.17917569751725,-0.284
0.89,51.0,1.0,1.0,160.63380577078317,251.17637329834648,-0.284
0.9,51.0,1.0,1.0,160.63380577078317,251.1735685089399,-0.284
0.91,51.0,1.0,1.0,160.63380577078317,251.17076132745487,-0.284
0.92,51.0,1.0,1.0,160.63380577078317,251.1679517520525,-0.284
0.93,51.0,1.0,1.0,160.63380577078317,251.16513978089822,-0.284
0.94,51.0,1.0,1.0,160.63380577078317,251.16232541216226,-0.284
0.95,51.0,1.0,1.0,160.63380577078317,251.15950864401916,-0.284
0.96,51.0,1.0,1.0,160.63380577078317,251.15668947464715,-0.284
0.97,51.0,1.0,1.0,160.63380577078317,251.15386790223,-0.284
0.98,51.0,1.0,1.0,160.63380577078317,251.15104392495618,-0.284
0.99,51.0,1.0,1.0,160.63380577078317,251.14821754101712,-0.284
1.0,51.0,1.0,1.0,160.63380577078317,251.1453887486101,-0.284
