Goal_l,reliab_total,reliab_avg,reliab_min,d_end,π_end,Δμ_pc
1.0,51.0,1.0,1.0,160.63380577078317,251.2478610088368,-0.284
1.01,51.0,1.0,1.0,160.63380577078317,251.2478610088368,-0.284
1.02,51.0,1.0,1.0,160.63380577078317,251.2478610088368,-0.284
1.03,51.0,1.0,1.0,160.63380577078317,251.2478610088368,-0.284
1.04,51.0,1.0,1.0,160.63380577078317,251.2478610088368,-0.284
1.05,51.0,1.0,1.0,160.63380577078317,251.2478610088368,-0.284
1.06,51.0,1.0,1.0,160.63380577078317,251.2478610088368,-0.284
1.07,51.0,1.0,1.0,160.63380577078317,251.2478610088368,-0.284
1.08,51.0,1.0,1.0,160.63380577078317,251.2478610088368,-0.284
1.09,51.0,1.0,1.0,160.63380577078317,251.2478610088368,-0.284
1.1,51.0,1.0,1.0,160.63380577078317,251.2478610088368,-0.284
1.11,51.0,1.0,1.0,160.63380577078317,251.2478610088368,-0.284
1.12,51.0,1.0,1.0,160.63380577078317,251.2478610088368,-0.284
1.13,51.0,1.0,1.0,160.63380577078317,251.2478610088368,-0.284
1.14,51.0,1.0,1.0,160.63380577078317,251.2478610088368,-0.284
1.15,51.0,1.0,1.0,160.63380577078317,251.2478610088368,-0.284
1.16,51.0,1.0,1.0,160.63380577078317,251.2478610088368,-0.284
1.17,51.0,1.0,1.0,160.63380577078317,251.2478610088368,-0.284
1.18,51.0,1.0,1.0,160.63380577078317,251.2478610088368,-0.284
1.19,51.0,1.0,1.0,160.63380577078317,251.2478610088368,-0.284
1.2,51.0,1.0,1.0,160.63380577078317,251.2478610088368,-0.284
1.21,51.0,1.0,1.0,160.63380577078317,251.2478610088368,-0.284
1.22,51.0,1.0,1.0,160.5084577357371,251.2478610088368,-0.284
1.23,51.0,1.0,1.0,160.36213681030907,251.2478609893008,-0.284
1.24,51.0,1.0,1.0,160.21744291882078,251.2478617285082,-0.284
1.25,51.0,1.0,1.0,160.07522273830241,251.24786407232202,-0.284
1.26,51.0,1.0,1.0,159.93742033088108,251.24759596476426,-0.284
1.27,51.0,1.0,1.0,159.79522504890792,251.24503202002796,-0.284
1.28,51.0,1.0,1.0,159.65436208384196,251.24064940958223,-0.284
1.29,51.0,1.0,1.0,159.51581050599245,251.2331586483736,-0.284
1.3,51.0,1.0,1.0,159.3795889140661,251.22045222267332,-0.284
