IF_thresh_l,reliab_total,reliab_avg,reliab_min,d_end,π_end,Δμ_pc
0.0,51.0,1.0,1.0,160.63380577078317,251.2478610088368,-0.284
0.01,51.0,1.0,1.0,160.63380577078317,251.2478610088368,-0.284
0.02,51.0,1.0,1.0,160.63380577078317,251.2478610088368,-0.284
0.03,51.0,1.0,1.0,160.63380577078317,251.2478610088368,-0.284
0.04,51.0,1.0,1.0,160.63380577078317,251.2478610088368,-0.284
0.05,51.0,1.0,1.0,160.63380577078317,251.2478610088368,-0.284
0.06,51.0,1.0,1.0,160.63380577078317,251.2478610088368,-0.284
0.07,51.0,1.0,1.0,160.63380577078317,251.2478610088368,-0.284
0.08,51.0,1.0,1.0,160.63380577078317,251.2478610088368,-0.284
0.09,51.0,1.0,1.0,160.63380577078317,251.2478610088368,-0.284
0.1,51.0,1.0,1.0,160.63380577078317,251.2478610088368,-0.284
0.11,51.0,1.0,1.0,160.63380577078317,251.2478610088368,-0.284
0.12,51.0,1.0,1.0,160.63380577078317,251.2478610088368,-0.284
0.13,51.0,1.0,1.0,160.63380577078317,251.2478610088368,-0.284
0.14,51.0,1.0,1.0,160.63380577078317,251.2478610088368,-0.284
0.15,51.0,1.0,1.0,160.63380577078317,251.2478610088368,-0.284
0.16,51.0,1.0,1.0,160.63380577078317,251.2478610088368,-0.284
0.17,51.0,1.0,1.0,160.63380577078317,251.2478610088368,-0.284
0.18,51.0,1.0,1.0,160.63380577078317,251.2478610088368,-0.284
0.19,51.0,1.0,1.0,160.63380577078317,251.2478610088368,-0.284
0.2,51.0,1.0,1.0,160.63380577078317,251.2478610088368,-0.284
0.21,51.0,1.0,1.0,160.63380577078317,251.2478610088368,-0.284
0.22,51.0,1.0,1.0,160.63380577078317,251.2478610088368,-0.284
0.23,51.0,1.0,1.0,160.63380577078317,251.2478610088368,-0.284
0.24,51.0,1.0,1.0,160.63380577078317,251.2478610088368,-0.284
0.25,51.0,1.0,1.0,160.63380577078317,251.2478610088368,-0.284
0.26,51.0,1.0,1.0,160.63380577078317,251.2478610088368,-0.284
0.27,51.0,1.0,1.0,160.63380577078317,251.2478610088368,-0.284
0.28,51.0,1.0,1.0,160.63380577078317,251.2478610088368,-0.284
0.29,51.0,1.0,1.0,160.63380577078317,251.2478610088368,-0.284
0.3,51.0,1.0,1.0,160.63380577078317,251.2478610088368,-0.284
0.31,51.0,1.0,1.0,160.63380577078317,251.2478610088368,-0.284
0.32,51.0,1.0,1.0,160.63380577078317,251.2478610088368,-0.284
0.33,51.0,1.0,1.0,160.63380577078317,251.2478610088368,-0.284
0.34,51.0,1.0,1.0,160.63380577078317,251.2478610088368,-0.284
0.35,51.0,1.0,1.0,160.63380577078317,251.2478610088368,-0.284
0.36,51.0,1.0,1.0,160.63380577078317,251.2478610088368,-0.284
0.37,51.0,1.0,1.0,160.63380577078317,251.2478610088368,-0.284
0.38,51.0,1.0,1.0,160.63380577078317,251.2478610088368,-0.284
0.39,51.0,1.0,1.0,160.63380577078317,251.2478610088368,-0.284
0.4,51.0,1.0,1.0,160.63380577078317,251.2478610088368,-0.284
0.41,51.0,1.0,1.0,160.63380577078317,251.2478610088368,-0.284
0.42,51.0,1.0,1.0,160.63380577078317,251.2478610088368,-0.284
0.43,51.0,1.0,1.0,160.63380577078317,251.2478610088368,-0.284
0.44,51.0,1.0,1.0,160.63380577078317,251.2478610088368,-0.284
0.45,51.0,1.0,1.0,160.63380577078317,251.2478610088368,-0.284
0.46,51.0,1.0,1.0,160.63380577078317,251.2478610088368,-0.284
0.47,51.0,1.0,1.0,160.63380577078317,251.2478610088368,-0.284
0.48,51.0,1.0,1.0,160.63380577078317,251.2478610088368,-0.284
0.49,51.0,1.0,1.0,160.63380577078317,251.2478610088368,-0.284
0.5,51.0,1.0,1.0,160.63380577078317,251.2478610088368,-0.284
