MagCAPShock,Choice_r,reliab_total,reliab_avg,reliab_min,d_end,π_end,Δμ_pc
-1.0,0.01,13.510814481358558,0.26491793100703054,0.02372480269344248,275.29074196377246,364.6668709763097,-1.0
-0.99,0.01,13.51239150729713,0.2649488530842574,0.023746814697477293,275.29073952255874,364.6668709407977,-0.99
-0.98,0.01,13.513968548390633,0.2649797754586399,0.023768826748653535,275.2907370853808,364.66687090533725,-0.98
-0.97,0.01,13.515545604594285,0.2650106981292997,0.02379083884683218,275.2907346522266,364.66687086993016,-0.97
-0.96,0.01,13.51712267586344,0.26504162109536156,0.023812850991872237,275.2907322230843,364.6668708345755,-0.96
-0.95,0.01,13.518699762153659,0.2650725443559541,0.023834863183634668,275.2907297979418,364.66687079927334,-0.95
-0.94,0.01,13.520276863420651,0.26510346791020883,0.023856875421980145,275.2907273767874,364.6668707640234,-0.94
-0.93,0.01,13.521853979620314,0.26513439175726106,0.023878887706770335,275.2907249596093,364.6668707288247,-0.93
-0.92,0.01,13.523431110708731,0.26516531589624964,0.0239009000378681,275.2907225463953,364.6668706936785,-0.92
-0.91,0.01,13.52500825664214,0.26519624032631645,0.023922912415136197,275.290720137134,364.6668706585837,-0.91
-0.9,0.01,13.526585417376971,0.26522716504660726,0.023944924838438086,275.29071773181346,364.6668706235406,-0.9
-0.89,0.01,13.528162592869805,0.26525809005627066,0.02396693730763747,275.2907153304223,364.6668705885491,-0.89
-0.88,0.01,13.529739783077403,0.26528901535445887,0.02398894982259931,275.2907129329486,364.6668705536087,-0.88
-0.87,0.01,13.531316987956698,0.2653199409403274,0.024010962383188478,275.29071053938105,364.6668705187189,-0.87
-0.86,0.01,13.532894207464796,0.2653508668130352,0.02403297498927102,275.2907081497079,364.66687048388076,-0.86
-0.85,0.01,13.5344712301114,0.2653817888257137,0.02405498764071302,275.2907058919438,364.666870449093,-0.85
-0.84,0.01,13.53602222127673,0.26541220041719077,0.02407700033738185,275.29072196733887,364.6668704271376,-0.84
-0.83,0.01,13.537549507374907,0.26544214720342957,0.024099013079144162,275.2907545940305,364.6668704959078,-0.83
-0.82,0.01,13.539054842615139,0.265471663580689,0.024121025865868576,275.2908022281126,364.66687071561375,-0.82
-0.81,0.01,13.540539783788985,0.26550078007429384,0.02414303869742322,275.29086311336584,364.66687113094605,-0.81
-0.8,0.01,13.54200568399977,0.2655295232156818,0.024165051573677664,275.29093559064245,364.6668717713815,-0.8
-0.79,0.01,13.543453687096033,0.2655579154332555,0.02418706449450081,275.2910181417923,364.6668726528956,-0.79
-0.78,0.01,13.544884734371543,0.26558597518375576,0.02420907745976344,275.29110939860726,364.66687378003945,-0.78
-0.77,0.01,13.546299610038396,0.2656137178438901,0.02422133242818792,275.2912081458355,364.66687514832955,-0.77
-0.76,0.01,13.54769903044075,0.2656411574596225,0.024219399917389483,275.29131333021513,364.6668767472159,-0.76
-0.75,0.01,13.549083012068094,0.26566829435427636,0.024218116320021996,275.29142426132546,364.66687857295284,-0.75
-0.74,0.01,13.550447005248712,0.26569503931860217,0.024217323891865247,275.29154067712443,364.66688064318157,-0.74
-0.73,0.01,13.551795876252413,0.26572148776965515,0.024216811034402857,275.291660873037,364.6668828895912,-0.73
-0.72,0.01,13.55313064510094,0.26574765970786157,0.02421651562282483,275.2917842864357,364.6668852912604,-0.72
-0.71,0.01,13.554447640792569,0.2657734831527955,0.024216448711089834,275.2919109064863,364.6668878603664,-0.71
-0.7,0.01,13.55574404653314,0.26579890287319885,0.024216560736389853,275.2920399883931,364.6668905647454,-0.7
-0.69,0.01,13.557027877622371,0.2658240760318112,0.02421675031349958,275.292170702064,364.6668933533925,-0.69
-0.68,0.01,13.558291088543985,0.2658488448734115,0.02421704496625693,275.29230311152486,364.6668962377829,-0.68
-0.67,0.01,13.559534815995777,0.2658732316861917,0.024217387086970167,275.292436448329,364.6668991663945,-0.67
-0.66,0.01,13.560767724620922,0.2658974063651161,0.024217752781113717,275.2925705786716,364.6669021313189,-0.66
-0.65,0.01,13.561969927679494,0.2659209789741077,0.024218139823975457,275.29270518979666,364.6669051098682,-0.65
-0.64,0.01,13.563164973197692,0.26594441123917045,0.024218524157108963,275.29284028314595,364.6669081045422,-0.64
-0.63,0.01,13.564330357343193,0.2659672619086901,0.024218904670125482,275.29297580266604,364.66691111242557,-0.63
-0.62,0.01,13.565486111053657,0.26598992374615016,0.02421928176713872,275.29311171233803,364.66691413193143,-0.62
-0.61,0.01,13.566614798766281,0.26601205487777024,0.024219655765678586,275.2932479840721,364.66691716193094,-0.61
-0.6,0.01,13.567732833961646,0.26603397713650284,0.024220026924034035,275.2933845946233,364.6669202015447,-0.6
-0.59,0.01,13.568822924021571,0.26605535145140335,0.024220395457480705,275.29352152416556,364.6669232500561,-0.59
-0.58,0.01,13.569905489139336,0.26607657821841835,0.024220761548780483,275.29365875545903,364.6669263068644,-0.58
-0.57,0.01,13.570954973038699,0.26609715633409214,0.024221125355373102,275.293796273303,364.66692937145564,-0.57
-0.56,0.01,13.572004412453849,0.26611773357752644,0.02422148701451211,275.2939340641506,364.6669324433832,-0.56
-0.55,0.01,13.573011864356502,0.266137487536402,0.024221846647053697,275.29407211582554,364.6669355222545,-0.55
-0.54,0.01,13.574018581586788,0.266157227089937,0.02422220436032311,275.29421041730586,364.6669386077213,-0.54
-0.53,0.01,13.57499531870132,0.2661763787980651,0.024222560250334802,275.2943489585533,364.66694169947203,-0.53
-0.52,0.01,13.575957075210153,0.26619523676882656,0.024222914403535755,275.29448773037916,364.66694479722537,-0.52
-0.51,0.01,13.576907998998385,0.2662138823333017,0.02422326689820532,275.29462672433306,364.66694790072563,-0.51
-0.5,0.01,13.57782243179084,0.2662318123880557,0.024223617805584633,275.2947659326126,364.6669510097409,-0.5
-0.49,0.01,13.578736831775405,0.26624974179951777,0.024223967190806016,275.29490534798765,364.66695412405824,-0.49
-0.48,0.01,13.57961828352798,0.2662670251672153,0.0242243151136604,275.2950449637368,364.66695724348216,-0.48
-0.47,0.01,13.580482866217507,0.2662839777689707,0.02422466162924155,275.2951847735923,364.6669603678308,-0.47
-0.46,0.01,13.58134741933653,0.26630092979091236,0.02422500678848767,275.29532477169437,364.66696349693734,-0.46
-0.45,0.01,13.582161665540301,0.266316895402751,0.02422535063864141,275.2954649525514,364.6669666306454,-0.45
-0.44,0.01,13.582973764486098,0.26633281891149213,0.02422569322364561,275.29560531100344,364.6669697688097,-0.44
-0.43,0.01,13.583779471759106,0.2663486170933158,0.02422603458448145,275.29574584219375,364.66697291129515,-0.43
-0.42,0.01,13.584536323611772,0.26636345732572103,0.02422637475946196,275.2958865415408,364.6669760579738,-0.42
-0.41,0.01,13.585293011483868,0.26637829434282095,0.024226713784488284,275.2960274047159,364.66697920872696,-0.41
-0.4,0.01,13.586042379414483,0.26639298783165655,0.024227051693273428,275.29616842761993,364.6669823634417,-0.4
-0.39,0.01,13.586740625154968,0.26640667892460723,0.02422738851753882,275.29630960636837,364.66698552201217,-0.39
-0.38,0.01,13.587438847424334,0.2664203695573399,0.02422772428718676,275.29645093727106,364.66698868433866,-0.38
-0.37,0.01,13.588137046802958,0.26643405974123446,0.02422805903045611,275.29659241682015,364.666991850326,-0.37
-0.36,0.01,13.588775382067071,0.26644657611896216,0.024228392774057007,275.2967340341365,364.66699501988376,-0.36
-0.35,0.01,13.58941151598195,0.2664590493329794,0.02422872554329467,275.2968757870169,364.66699819292876,-0.35
-0.34,0.01,13.590047628633021,0.26647152213005926,0.02422905736217698,275.2970176789741,364.6670013693784,-0.34
-0.33,0.01,13.590641530840946,0.2664831672713911,0.024229388253514072,275.2971597071028,364.66700454915605,-0.33
-0.32,0.01,13.591212944296938,0.2664943714568027,0.024229718239005736,275.29730186862366,364.6670077321882,-0.32
-0.31,0.01,13.591784284819527,0.2665055742121476,0.02423004733932181,275.2974441576466,364.6670109184011,-0.31
-0.3,0.01,13.592344036468381,0.26651654973467415,0.02423037557417421,275.29758653741123,364.6670141076821,-0.3
-0.29,0.01,13.592846482116219,0.2665264016101219,0.024230702962383013,275.2977290428788,364.66701730001773,-0.29
-0.28,0.01,13.59334890909127,0.2665362531194367,0.0242310295219343,275.2978716716989,364.66702049534507,-0.28
-0.27,0.01,13.593851317758965,0.26654610426978365,0.02423135527003868,275.298014421613,364.6670236936062,-0.27
-0.26,0.01,13.594318761522624,0.2665552698337769,0.02423168022317716,275.298157290448,364.66702689474494,-0.26
-0.25,0.01,13.594749044722999,0.2665637067592745,0.024232004397148007,275.2983002761129,364.667030098707,-0.25
-0.24,0.01,13.595178792623434,0.26657213318869477,0.024232327807109464,275.298443321665,364.66703330526684,-0.24
-0.23,0.01,13.595608439810508,0.2665805576433433,0.024232650467618144,275.29858647114827,364.6670365145208,-0.23
-0.22,0.01,13.595991137955487,0.266588061528539,0.024232972392661523,275.29872973156597,364.667039726447,-0.22
-0.21,0.01,13.596344507029166,0.2665949903339052,0.02423329359569738,275.2988731011088,364.6670429410013,-0.21
-0.2,0.01,13.596697860006612,0.2666019188236591,0.024233614089675705,275.29901657803015,364.6670461581377,-0.2
-0.19,0.01,13.597051197157697,0.2666088470030921,0.02423393388707158,275.29916016064146,364.66704937781316,-0.19
-0.18,0.01,13.59736069007327,0.26661491549163274,0.024234252999911977,275.2993038473088,364.6670525999867,-0.18
-0.17,0.01,13.597632873358496,0.26662025241879406,0.024234571439796536,275.2994475801124,364.66705582432917,-0.17
-0.16,0.01,13.597904878199774,0.26662558584705437,0.0242348892179219,275.299591388196,364.6670590509597,-0.16
-0.15,0.01,13.599613268442464,0.2666590836949503,0.024243590572184053,275.3036682641208,364.6671506213332,-0.15
-0.14,0.01,13.599418138121694,0.2666552576102293,0.02424623128399957,275.31039501622405,364.6673019883328,-0.14
-0.13,0.01,13.599186481562139,0.2666507153247478,0.024235806270529715,275.3172170242996,364.6674556565813,-0.13
