MagCAPShock,Conserv_Sens,reliab_total,reliab_avg,reliab_min,d_end,π_end,Δμ_pc
-1.0,0.01,51.0,1.0,1.0,161.36557234604953,590.2571897693547,-1.0
-0.99,0.01,51.0,1.0,1.0,161.4678916364583,590.6849163739755,-0.99
-0.98,0.01,51.0,1.0,1.0,161.56302237602466,591.1072913745929,-0.98
-0.97,0.01,51.0,1.0,1.0,161.3402039495688,591.5241157229482,-0.97
-0.96,0.01,51.0,1.0,1.0,161.11943414611494,591.9352159258598,-0.96
-0.95,0.01,51.0,1.0,1.0,160.90077523475193,592.3404503134302,-0.95
-0.94,0.01,51.0,1.0,1.0,160.68432769751928,592.7397146973406,-0.94
-0.93,0.01,51.0,1.0,1.0,160.47028413023975,593.1329472162131,-0.93
-0.92,0.01,51.0,1.0,1.0,160.25921395671568,593.5201321872216,-0.92
-0.91,0.01,51.0,1.0,1.0,160.25545330027867,593.9008742141812,-0.91
-0.9,0.01,51.0,1.0,1.0,160.3355348020917,594.2681081266521,-0.9
-0.89,0.01,51.0,1.0,1.0,160.41561654951778,594.6286121209664,-0.89
-0.88,0.01,51.0,1.0,1.0,160.49568743817684,594.9824940071202,-0.88
-0.87,0.01,51.0,1.0,1.0,160.57573618324813,595.3299050425451,-0.87
-0.86,0.01,51.0,1.0,1.0,160.65575138127173,595.6710366213175,-0.86
-0.85,0.01,51.0,1.0,1.0,160.7357215633172,596.0061160662921,-0.85
-0.84,0.01,51.0,1.0,1.0,160.81563524048516,596.3354017212625,-0.84
-0.83,0.01,51.0,1.0,1.0,160.8662166467954,596.1516449886183,-0.83
-0.82,0.01,51.0,1.0,1.0,160.91561690152275,595.9759928589218,-0.82
-0.81,0.01,51.0,1.0,1.0,160.96660631248133,595.822276881156,-0.81
-0.8,0.01,51.0,1.0,1.0,161.0190296159886,595.6885196656273,-0.8
-0.79,0.01,51.0,1.0,1.0,161.04119355157005,595.4822708665536,-0.79
-0.78,0.01,51.0,1.0,1.0,160.99100006996397,595.0688116517846,-0.78
-0.77,0.01,51.0,1.0,1.0,160.9722516311949,595.0619603725659,-0.77
-0.76,0.01,51.0,1.0,1.0,160.98755959154792,595.4966870801085,-0.76
-0.75,0.01,51.0,1.0,1.0,161.0363033989725,596.3627259292753,-0.75
-0.74,0.01,51.0,1.0,1.0,161.0597681480541,596.7457572311848,-0.74
-0.73,0.01,51.0,1.0,1.0,161.18029200406986,596.2972350492498,-0.73
-0.72,0.01,51.0,1.0,1.0,161.7167196987973,595.7945548556112,-0.72
-0.71,0.01,51.0,1.0,1.0,162.25322481887477,595.2622761636837,-0.71
-0.7,0.01,51.0,1.0,1.0,162.7888030316708,594.7133922889446,-0.7
-0.69,0.01,51.0,1.0,1.0,163.32323923590076,594.1551145677505,-0.69
-0.68,0.01,51.0,1.0,1.0,163.4589061517344,593.5960141947572,-0.68
