MagCAPShock,Conserv_Sens,reliab_total,reliab_avg,reliab_min,d_end,π_end,Δμ_pc
-1.0,0.01,49.764461841171276,0.9757737615915937,0.5770257776008105,115.00973738234782,498.6731698517793,-1.0
-0.99,0.01,49.79726197084202,0.9764169013890592,0.5878013239232502,120.00703906910647,508.0946867059859,-0.99
-0.98,0.01,49.83003381198523,0.9770594865095144,0.5985768702456901,124.88359161855703,479.66900704334336,-0.98
-0.97,0.01,49.862777063977305,0.9777015110583785,0.6093524165681298,129.8185496285557,463.0496374697867,-0.97
-0.96,0.01,49.89549159470292,0.9783429724451552,0.6201279628905696,134.763643590488,475.7598739424371,-0.96
-0.95,0.01,49.92817752736133,0.9789838730855163,0.6309035092130094,139.7402140144442,482.60435633614804,-0.95
-0.94,0.01,49.960835349663625,0.979624222542424,0.6416790555354492,144.64335395982621,452.8603630901122,-0.94
-0.93,0.01,49.993466044767764,0.9802640400934856,0.6524546018578891,149.59474893275072,456.32853820505323,-0.93
-0.92,0.01,50.02607123892533,0.9809033576259869,0.6632301481803288,154.57777936881533,459.731361996813,-0.92
-0.91,0.01,50.05865335418455,0.9815422226310696,0.6740056945027683,159.4858141391806,454.71655920450183,-0.91
-0.9,0.01,50.091215745704616,0.9821807008961689,0.6847812408252083,164.44253889437366,470.2434637040976,-0.9
-0.89,0.01,50.123762793368876,0.9828188783013505,0.6955567871476477,169.40985192589227,454.779492909361,-0.89
-0.88,0.01,50.15629990901589,0.983456860961096,0.7063323334700877,174.3506308578721,453.9699998268095,-0.88
-0.87,0.01,50.18883341798339,0.984094772901635,0.7171078797925272,179.3525867402735,454.73090699929423,-0.87
-0.86,0.01,50.2213702819508,0.9847327506264862,0.7278834261149674,184.26945334606938,454.7254883750136,-0.86
-0.85,0.01,50.253917653244876,0.9853709343773506,0.7386589724374069,189.27268479134608,454.7697415577198,-0.85
-0.84,0.01,50.28648228833686,0.9860094566340561,0.7494345187598469,194.1997634793923,454.65888891527425,-0.84
-0.83,0.01,50.319069892358414,0.9866484292619296,0.7602100650822865,199.21214174940468,454.7732892474898,-0.83
-0.82,0.01,50.351813947790475,0.9872904695645192,0.7709856114047264,204.13716496209344,454.76690373614076,-0.82
-0.81,0.01,50.384655670536105,0.9879344249124726,0.781761157727166,209.15662428121084,454.77119445009663,-0.81
-0.8,0.01,50.417482368938494,0.9885780856654607,0.7925367040496057,214.1460160983879,454.7701054813754,-0.8
-0.79,0.01,50.450293001664875,0.9892214314051936,0.8033122503720457,219.1392159954977,454.7689638581443,-0.79
-0.78,0.01,50.482768586566586,0.989858207579737,0.8140877966944855,224.1436576011987,454.2509690898032,-0.78
-0.77,0.01,50.514517706327595,0.9904807393397568,0.8248633430169251,229.18123409275876,452.2699382665222,-0.77
-0.76,0.01,50.54622742836195,0.9911024985953324,0.835638889339365,234.27907368809804,450.2894841267569,-0.76
-0.75,0.01,50.577897739490766,0.9917234850880542,0.8464144356618047,239.5153820849649,448.30946011298664,-0.75
-0.74,0.01,50.60952859914383,0.9923436980224281,0.8571899819842447,245.356418764429,446.3296815024349,-0.74
-0.73,0.01,50.641119933810714,0.9929631359570729,0.867965528306684,252.66166276190927,444.3499169359227,-0.73
-0.72,0.01,50.67267163051701,0.9935817966768041,0.878741074629124,267.9498245523164,442.36987791072943,-0.72
-0.71,0.01,50.70418352922094,0.9941996770435478,0.8895166209515638,277.06232758971737,440.3892057568661,-0.71
-0.7,0.01,50.735655414046775,0.9948167728244466,0.9002921672740035,285.635271671789,438.407455124485,-0.7
-0.69,0.01,50.767087003312625,0.995433078496326,0.9110677135964433,284.1250257592938,436.4240719471947,-0.69
-0.68,0.01,50.7984779383839,0.9960485870271353,0.9218432599188828,291.68769076567014,434.43836071753316,-0.68
-0.67,0.01,50.82982777150322,0.996663289637318,0.9326188062413228,290.6796293770665,432.44942619505014,-0.67
-0.66,0.01,50.861135952935456,0.9972771755477541,0.9433943525637623,310.4342452062215,430.45604385894353,-0.66
-0.65,0.01,50.89240181804968,0.9978902317264643,0.9541698988862024,326.53348266317096,428.4563162610299,-0.65
-0.64,0.01,50.923624575378795,0.9985024426544862,0.9649454452086419,326.8342799211008,426.4466821912801,-0.64
-0.63,0.01,50.95480329730232,0.9991137901431827,0.9757209915310822,327.1127931265799,424.4191540861424,-0.63
-0.62,0.01,50.98568376122307,0.9997192894357465,0.9864965378535215,327.39269712729526,422.3555613374015,-0.62
-0.61,0.01,50.99727208417596,0.9999465114544306,0.9972720841759617,327.67439714840685,420.22815352768794,-0.61
-0.6,0.01,51.0,1.0,1.0,327.957509301165,418.04164306265073,-0.6
-0.59,0.01,51.0,1.0,1.0,328.24180429693337,415.85662605764287,-0.59
-0.58,0.01,51.0,1.0,1.0,328.5273217916324,413.6934288088273,-0.58
-0.57,0.01,51.0,1.0,1.0,328.81285947871044,411.52315242289427,-0.57
-0.56,0.01,51.0,1.0,1.0,329.1001592035975,409.319634694631,-0.56
-0.55,0.01,51.0,1.0,1.0,329.3889375321791,407.0697774965117,-0.55
-0.54,0.01,51.0,1.0,1.0,329.6790427917184,404.7738193799514,-0.54
-0.53,0.01,51.0,1.0,1.0,329.9704642484307,402.4546274232466,-0.53
-0.52,0.01,51.0,1.0,1.0,330.26322550538885,400.1779277682319,-0.52
-0.51,0.01,51.0,1.0,1.0,330.55741227637424,398.0752698481645,-0.51
-0.5,0.01,51.0,1.0,1.0,330.8524895503938,396.3394146018892,-0.5
-0.49,0.01,51.0,1.0,1.0,331.14993573762234,395.1498387478088,-0.49
-0.48,0.01,51.0,1.0,1.0,331.44928549313636,394.55117511249506,-0.48
-0.47,0.01,51.0,1.0,1.0,331.7497622112845,394.4073896272879,-0.47
-0.46,0.01,51.0,1.0,1.0,332.0537369820135,394.52068602248687,-0.46
-0.45,0.01,51.0,1.0,1.0,332.36064147420626,394.7161631505379,-0.45
-0.44,0.01,51.0,1.0,1.0,332.669843450264,394.90168509814873,-0.44
-0.43,0.01,51.0,1.0,1.0,332.9851700051465,395.0480842825472,-0.43
-0.42,0.01,51.0,1.0,1.0,333.308950176309,395.15194218995754,-0.42
-0.41,0.01,51.0,1.0,1.0,333.4856696432248,395.1661659183591,-0.41
-0.4,0.01,51.0,1.0,1.0,333.4856696432248,395.1526611079192,-0.4
-0.39,0.01,51.0,1.0,1.0,333.4856696432249,395.1388717662607,-0.39
-0.38,0.01,51.0,1.0,1.0,333.4856696432248,395.1247989985542,-0.38
-0.37,0.01,51.0,1.0,1.0,333.48566964322487,395.11044445913177,-0.37
-0.36,0.01,51.0,1.0,1.0,333.48566964322487,395.09581038831374,-0.36
-0.35,0.01,51.0,1.0,1.0,333.48566964322487,395.08089966181143,-0.35
-0.34,0.01,51.0,1.0,1.0,333.4856696432248,395.0657156566061,-0.34
-0.33,0.01,51.0,1.0,1.0,333.485669643225,395.04818082938505,-0.33
-0.32,0.01,51.0,1.0,1.0,333.4856696432248,395.0300989981017,-0.32
-0.31,0.01,51.0,1.0,1.0,333.485669643225,395.0114703731516,-0.31
-0.3,0.01,51.0,1.0,1.0,333.48566964322487,394.99221012718317,-0.3
-0.29,0.01,51.0,1.0,1.0,333.48566964322487,394.9722746910224,-0.29
-0.28,0.01,51.0,1.0,1.0,333.48566964322464,394.95155234395065,-0.28
-0.27,0.01,51.0,1.0,1.0,333.48566964322475,394.927689127672,-0.27
-0.26,0.01,51.0,1.0,1.0,333.4856696432248,394.8999301858291,-0.26
-0.25,0.01,51.0,1.0,1.0,333.48566964322487,394.8655610576464,-0.25
-0.24,0.01,51.0,1.0,1.0,333.48566964322487,394.8193020406102,-0.24
-0.23,0.01,51.0,1.0,1.0,333.4856696432248,394.73887571614716,-0.23
-0.22,0.01,51.0,1.0,1.0,333.4856696432249,394.57376140590986,-0.22
-0.21,0.01,51.0,1.0,1.0,333.4856696432249,394.2897714047354,-0.21
-0.2,0.01,51.0,1.0,1.0,333.4856696432248,393.77197014732326,-0.2
-0.19,0.01,51.0,1.0,1.0,333.48566964322475,392.6953489278679,-0.19
-0.18,0.01,51.0,1.0,1.0,333.48566964322464,388.37755374526955,-0.18
-0.17,0.01,51.0,1.0,1.0,333.4856696432249,386.00626831282705,-0.17
-0.16,0.01,51.0,1.0,1.0,333.48566964322487,387.18641339155386,-0.16
-0.15,0.01,51.0,1.0,1.0,333.48566964322475,387.81551768769054,-0.15
-0.14,0.01,51.0,1.0,1.0,333.485669643225,388.0869127973195,-0.14
-0.13,0.01,51.0,1.0,1.0,333.4856696432248,388.3583421434753,-0.13
-0.12,0.01,51.0,1.0,1.0,333.485669643225,388.62980092096586,-0.12
-0.11,0.01,51.0,1.0,1.0,333.48566964322487,388.9012855261248,-0.11
-0.1,0.01,51.0,1.0,1.0,333.48566964322475,389.17279322086296,-0.1
-0.09,0.01,51.0,1.0,1.0,333.48566964322464,389.44432189805525,-0.09
-0.08,0.01,51.0,1.0,1.0,333.4856696432249,389.715869916388,-0.08
-0.07,0.01,51.0,1.0,1.0,333.48566964322464,389.98743598280726,-0.07
-0.06,0.01,51.0,1.0,1.0,333.48566964322475,390.2590190678402,-0.06
-0.05,0.01,51.0,1.0,1.0,333.48566964322487,390.304447431323,-0.05
-0.04,0.01,51.0,1.0,1.0,333.485669643225,390.304447431323,-0.04
-0.03,0.01,51.0,1.0,1.0,333.48566964322487,390.30444743132296,-0.03
-0.02,0.01,51.0,1.0,1.0,333.48566964322487,390.304447431323,-0.02
-0.01,0.01,51.0,1.0,1.0,333.4856696432248,390.304447431323,-0.01
0.0,0.01,51.0,1.0,1.0,333.48566964322487,390.30444743132296,0.0
-1.0,0.02,49.764422186110735,0.975772984041387,0.5770257776008105,115.02262725938553,491.6033606711182,-1.0
-0.99,0.02,49.79722158728451,0.9764161095545982,0.5878013239232502,119.95619077733832,475.48460024512195,-0.99
-0.98,0.02,49.82999274901981,0.9770586813533296,0.5985768702456901,124.89754369332734,485.46942499570434,-0.98
-0.97,0.02,49.86273532730932,0.9777006926923397,0.6093524165681298,129.87729570220534,500.99855090928014,-0.97
-0.96,0.02,49.89544912530159,0.9783421397117958,0.6201279628905696,134.7815786612713,455.1909967928709,-0.96
-0.95,0.02,49.928134174370356,0.9789830230268697,0.6309035092130094,139.7253817810451,462.5273719125003,-0.95
-0.94,0.02,49.960790837455804,0.9796233497540353,0.6416790555354492,144.7161148003177,483.677544136554,-0.94
-0.93,0.02,49.993419934963896,0.9802631359796843,0.6524546018578891,149.62036276471696,454.6577847320143,-0.93
-0.92,0.02,50.02602288970587,0.9809024096020759,0.6632301481803288,154.5700060358334,455.6111920704798,-0.92
-0.91,0.02,50.05860188135212,0.9815412133598455,0.6740056945027683,159.56102456867708,454.5426992351093,-0.91
-0.9,0.02,50.091159992565174,0.9821796076973563,0.6847812408252083,164.47275493661857,454.51975203585937,-0.9
-0.89,0.02,50.12370131910351,0.9828176729235982,0.6955567871476477,169.45152455424068,453.2667248421077,-0.89
-0.88,0.02,50.15623100686974,0.9834555099386223,0.7063323334700877,174.39462805884742,454.81422979602536,-0.88
-0.87,0.02,50.18875517394471,0.9840932387047983,0.7171078797925272,179.35914177294813,454.03431897446194,-0.87
-0.86,0.02,50.22128068023293,0.9847309937300575,0.7278834261149674,184.32250141191358,454.8123596798067,-0.86
-0.85,0.02,50.25381472615521,0.9853689161991218,0.7386589724374069,189.29938496480023,454.80156642352307,-0.85
-0.84,0.02,50.286364296066026,0.9860071430601182,0.7494345187598469,194.25647959897526,454.79817750619424,-0.84
-0.83,0.02,50.31893550614481,0.9866457942381336,0.7602100650822865,199.26564534015046,454.8090414004324,-0.83
-0.82,0.02,50.351594924935476,0.9872861749987348,0.7709856114047264,204.205391192478,454.80738840839706,-0.82
-0.81,0.02,50.38443371129933,0.9879300727705751,0.781761157727166,209.23763582734242,454.8068897958319,-0.81
-0.8,0.02,50.41725755497353,0.9885736775485006,0.7925367040496057,214.22044919955883,454.8057983710806,-0.8
-0.79,0.02,50.450065420245934,0.9892169690244301,0.8033122503720457,219.28280835032194,454.8046542938704,-0.79
-0.78,0.02,50.482768586566586,0.989858207579737,0.8140877966944855,224.3304216250067,454.73708727565327,-0.78
-0.77,0.02,50.514517706327595,0.9904807393397568,0.8248633430169251,229.44819203695843,452.75605403217855,-0.77
-0.76,0.02,50.54622742836195,0.9911024985953324,0.835638889339365,235.30180326686667,450.77560054405694,-0.76
-0.75,0.02,50.577897739490766,0.9917234850880542,0.8464144356618047,251.90490773380665,448.7955812965547,-0.75
-0.74,0.02,50.60952859914383,0.9923436980224281,0.8571899819842447,275.598277014574,446.8158131164786,-0.74
-0.73,0.02,50.641119933810714,0.9929631359570729,0.867965528306684,279.3574404202473,444.8360667546325,-0.73
-0.72,0.02,50.67267163051701,0.9935817966768041,0.878741074629124,282.7199846169055,442.85605653596,-0.72
-0.71,0.02,50.70418352922094,0.9941996770435478,0.8895166209515638,286.92194308322865,440.87542741001596,-0.71
-0.7,0.02,50.735655414046775,0.9948167728244466,0.9002921672740035,284.5850672295138,438.89373806060496,-0.7
-0.69,0.02,50.767087003312625,0.995433078496326,0.9110677135964433,291.2139613129711,436.9104367596592,-0.69
-0.68,0.02,50.7984779383839,0.9960485870271353,0.9218432599188828,304.88909285634315,434.9248205205262,-0.68
-0.67,0.02,50.82982777150322,0.996663289637318,0.9326188062413228,325.9252206587269,432.935948576943,-0.67
-0.66,0.02,50.861135952935456,0.9972771755477541,0.9433943525637623,326.22893065636,430.94241857813336,-0.66
-0.65,0.02,50.89240181804968,0.9978902317264643,0.9541698988862024,326.53348266317096,428.9417154789597,-0.65
-0.64,0.02,50.923624575378795,0.9985024426544862,0.9649454452086419,326.83427647986827,426.92825044961586,-0.64
-0.63,0.02,50.95480329730232,0.9991137901431827,0.9757209915310822,327.11278381895306,424.88780807539905,-0.63
-0.62,0.02,50.98568376122307,0.9997192894357465,0.9864965378535215,327.3926882078613,422.78606047238475,-0.62
-0.61,0.02,50.99727208417596,0.9999465114544306,0.9972720841759617,327.67438938743203,420.5709088791024,-0.61
-0.6,0.02,51.0,1.0,1.0,327.95750536979295,418.2587731663041,-0.6
-0.59,0.02,51.0,1.0,1.0,328.24180140426836,415.9765410094433,-0.59
-0.58,0.02,51.0,1.0,1.0,328.5273198117241,413.7678156124984,-0.58
-0.57,0.02,51.0,1.0,1.0,328.8128505376823,411.5812487330274,-0.57
-0.56,0.02,51.0,1.0,1.0,329.10015745621513,409.372584133434,-0.56
-0.55,0.02,51.0,1.0,1.0,329.38893748557933,407.12128142125016,-0.55
-0.54,0.02,51.0,1.0,1.0,329.67904331314185,404.8249883550307,-0.54
-0.53,0.02,51.0,1.0,1.0,329.9704651292479,402.50556352671936,-0.53
-0.52,0.02,51.0,1.0,1.0,330.2632265953032,400.2280725657149,-0.52
-0.51,0.02,51.0,1.0,1.0,330.5574133588771,398.12340694672,-0.51
-0.5,0.02,51.0,1.0,1.0,330.85249027280753,396.3839115335151,-0.5
-0.49,0.02,51.0,1.0,1.0,331.1499363227971,395.1894926148568,-0.49
-0.48,0.02,51.0,1.0,1.0,331.4492859053832,394.58613843075074,-0.48
-0.47,0.02,51.0,1.0,1.0,331.7497622783224,394.43834419849105,-0.47
-0.46,0.02,51.0,1.0,1.0,332.0537368855221,394.55019793242195,-0.46
-0.45,0.02,51.0,1.0,1.0,332.3606412343173,394.7456992396896,-0.45
-0.44,0.02,51.0,1.0,1.0,332.6698430252925,394.9312953033784,-0.44
-0.43,0.02,51.0,1.0,1.0,332.98516955887584,395.0779592823651,-0.43
-0.42,0.02,51.0,1.0,1.0,333.30894963171136,395.18208970876157,-0.42
-0.41,0.02,51.0,1.0,1.0,333.4856696432248,395.19635537844607,-0.41
-0.4,0.02,51.0,1.0,1.0,333.4856696432248,395.18280990199065,-0.4
-0.39,0.02,51.0,1.0,1.0,333.4856696432249,395.16898008338967,-0.39
-0.38,0.02,51.0,1.0,1.0,333.4856696432248,395.1548671040197,-0.38
-0.37,0.02,51.0,1.0,1.0,333.48566964322487,395.14047269899214,-0.37
-0.36,0.02,51.0,1.0,1.0,333.48566964322487,395.1257991946237,-0.36
-0.35,0.02,51.0,1.0,1.0,333.48566964322487,395.11084955754586,-0.35
-0.34,0.02,51.0,1.0,1.0,333.4856696432248,395.0954698762972,-0.34
-0.33,0.02,51.0,1.0,1.0,333.485669643225,395.07784939923033,-0.33
-0.32,0.02,51.0,1.0,1.0,333.4856696432248,395.0597015729113,-0.32
-0.31,0.02,51.0,1.0,1.0,333.485669643225,395.04100468372076,-0.31
-0.3,0.02,51.0,1.0,1.0,333.48566964322487,395.0216735011692,-0.3
-0.29,0.02,51.0,1.0,1.0,333.48566964322487,395.00166346990204,-0.29
-0.28,0.02,51.0,1.0,1.0,333.48566964322464,394.980861038532,-0.28
-0.27,0.02,51.0,1.0,1.0,333.48566964322475,394.95684193370715,-0.27
-0.26,0.02,51.0,1.0,1.0,333.4856696432248,394.9288884943734,-0.26
-0.25,0.02,51.0,1.0,1.0,333.48566964322487,394.89421309576437,-0.25
-0.24,0.02,51.0,1.0,1.0,333.48566964322487,394.84743787867194,-0.24
-0.23,0.02,51.0,1.0,1.0,333.4856696432248,394.7660048213503,-0.23
-0.22,0.02,51.0,1.0,1.0,333.4856696432249,394.5986912726383,-0.22
-0.21,0.02,51.0,1.0,1.0,333.4856696432249,394.3103223954085,-0.21
-0.2,0.02,51.0,1.0,1.0,333.4856696432248,393.78253856325216,-0.2
-0.19,0.02,51.0,1.0,1.0,333.48566964322475,392.67424989989973,-0.19
-0.18,0.02,51.0,1.0,1.0,333.48566964322464,387.62957870863994,-0.18
-0.17,0.02,51.0,1.0,1.0,333.4856696432249,386.5970388140738,-0.17
-0.16,0.02,51.0,1.0,1.0,333.48566964322487,387.77944979875286,-0.16
-0.15,0.02,51.0,1.0,1.0,333.48566964322475,388.40958399977995,-0.15
-0.14,0.02,51.0,1.0,1.0,333.485669643225,388.6814114370462,-0.14
-0.13,0.02,51.0,1.0,1.0,333.4856696432248,388.9532688220491,-0.13
-0.12,0.02,51.0,1.0,1.0,333.485669643225,389.22515249921804,-0.12
-0.11,0.02,51.0,1.0,1.0,333.48566964322487,389.49705966675305,-0.11
-0.1,0.02,51.0,1.0,1.0,333.48566964322475,389.7689881577795,-0.1
-0.09,0.02,51.0,1.0,1.0,333.48566964322464,390.04093627969417,-0.09
-0.08,0.02,51.0,1.0,1.0,333.4856696432249,390.3129026969427,-0.08
-0.07,0.02,51.0,1.0,1.0,333.48566964322464,390.58488634527095,-0.07
-0.06,0.02,51.0,1.0,1.0,333.48566964322475,390.85688636859453,-0.06
-0.05,0.02,51.0,1.0,1.0,333.48566964322487,390.90238441892933,-0.05
-0.04,0.02,51.0,1.0,1.0,333.485669643225,390.9023844189293,-0.04
-0.03,0.02,51.0,1.0,1.0,333.48566964322487,390.9023844189294,-0.03
-0.02,0.02,51.0,1.0,1.0,333.48566964322487,390.9023844189293,-0.02
-0.01,0.02,51.0,1.0,1.0,333.4856696432248,390.90238441892916,-0.01
0.0,0.02,51.0,1.0,1.0,333.48566964322487,390.9023844189292,0.0
-1.0,0.03,49.76438227514325,0.975772201473397,0.5770257776008105,115.02929055985172,477.1293307470585,-1.0
-0.99,0.03,49.797180943596324,0.9764153126195357,0.5878013239232502,119.97506478085064,506.22173179053175,-0.99
-0.98,0.03,49.82995143273805,0.9770578712301579,0.5985768702456901,124.92347814376107,476.79307532742905,-0.98
-0.97,0.03,49.86269336070804,0.9776998698178048,0.6093524165681298,129.85295205191895,454.27439184394933,-0.97
-0.96,0.03,49.895406473022305,0.9783413033925942,0.6201279628905696,134.80212661349867,486.0164041434,-0.96
-0.95,0.03,49.92809071802173,0.9789821709416026,0.6309035092130094,139.7590952822385,453.5392311940403,-0.95
-0.94,0.03,49.96074634427461,0.9796224773387179,0.6416790555354492,144.68885045069857,453.24109336454535,-0.94
-0.93,0.03,49.993374021015434,0.980262235706185,0.6524546018578891,149.6503920166413,486.9027060493836,-0.93
-0.92,0.03,50.0259749794363,0.9809014701850255,0.6632301481803288,154.60144671966017,454.8229257440818,-0.92
-0.91,0.03,50.058551167265506,0.9815402189659903,0.6740056945027683,159.54826278000274,458.21194517093676,-0.91
-0.9,0.03,50.091105401316426,0.9821785372807142,0.6847812408252083,164.54402909413423,454.84780432883866,-0.9
-0.89,0.03,50.12364149300555,0.9828164998628539,0.6955567871476477,169.46210339422626,453.5855358249968,-0.89
-0.88,0.03,50.15616431190139,0.9834542021941449,0.7063323334700877,174.45976420176868,454.84624114821446,-0.88
-0.87,0.03,50.188679745545244,0.9840917597165734,0.7171078797925272,179.38693858740163,453.3732565610533,-0.87
-0.86,0.03,50.22119451501474,0.9847293042159753,0.7278834261149674,184.39076002584665,454.84622002190935,-0.86
-0.85,0.03,50.25371582016325,0.9853669768659461,0.7386589724374069,189.3204815085033,454.5888517544936,-0.85
-0.84,0.03,50.28625081881212,0.9860049180159239,0.7494345187598469,194.3384474554795,454.8440108682528,-0.84
-0.83,0.03,50.31880598700515,0.9866432546471597,0.7602100650822865,199.31686610311243,454.8428682692714,-0.83
-0.82,0.03,50.35138645130532,0.9872820872804965,0.7709856114047264,204.2903331886709,454.8407260406967,-0.82
-0.81,0.03,50.384212541932996,0.9879257361163333,0.781761157727166,209.31318027397407,454.8406576243056,-0.81
-0.8,0.03,50.41703354068255,0.9885692851114226,0.7925367040496057,214.35432408625388,454.83956438112665,-0.8
-0.79,0.03,50.44983864796808,0.989212522509178,0.8033122503720457,219.38618690212738,454.8384171241443,-0.79
-0.78,0.03,50.48262673814522,0.9898554262381416,0.8140877966944855,224.56770435512507,454.83720955961417,-0.78
-0.77,0.03,50.514517706327595,0.9904807393397568,0.8248633430169251,230.35439359544304,453.2388013506024,-0.77
-0.76,0.03,50.54622742836195,0.9911024985953324,0.835638889339365,242.7033387759846,451.25834778375196,-0.76
-0.75,0.03,50.577897739490766,0.9917234850880542,0.8464144356618047,263.2582297799742,449.2783322763061,-0.75
-0.74,0.03,50.60952859914383,0.9923436980224281,0.8571899819842447,275.5394766929903,447.29857309121496,-0.74
-0.73,0.03,50.641119933810714,0.9929631359570729,0.867965528306684,283.3021764184576,445.31884292965464,-0.73
-0.72,0.03,50.67267163051701,0.9935817966768041,0.878741074629124,281.7972416437094,443.3388587167108,-0.72
-0.71,0.03,50.70418352922094,0.9941996770435478,0.8895166209515638,288.60084289332104,441.3582686887422,-0.71
-0.7,0.03,50.735655414046775,0.9948167728244466,0.9002921672740035,286.5589530073564,439.37663505125613,-0.7
-0.69,0.03,50.767087003312625,0.995433078496326,0.9110677135964433,305.39998111328816,437.39340754927906,-0.69
-0.68,0.03,50.7984779383839,0.9960485870271353,0.9218432599188828,325.6222204928857,435.4078740247782,-0.68
-0.67,0.03,50.82982777150322,0.996663289637318,0.9326188062413228,325.9252206587269,433.41904425190637,-0.67
-0.66,0.03,50.861135952935456,0.9972771755477541,0.9433943525637623,326.22893065636,431.4253274548407,-0.66
-0.65,0.03,50.89240181804968,0.9978902317264643,0.9541698988862024,326.53348266317096,429.42355983185394,-0.65
-0.64,0.03,50.923624575378795,0.9985024426544862,0.9649454452086419,326.83427473032486,427.4060314482859,-0.64
-0.63,0.03,50.95480329730232,0.9991137901431827,0.9757209915310822,327.1127797040852,425.35204077948566,-0.63
-0.62,0.03,50.98568376122307,0.9997192894357465,0.9864965378535215,327.3926841382401,423.2106161178907,-0.62
