MagCAPShock,Decay_dbar,reliab_total,reliab_avg,reliab_min,d_end,π_end,Δμ_pc
-1.0,0.0,50.511438333243944,0.9904203594753714,0.8308267327916545,156.83558153562802,284.97964085450633,-1.0
-0.99,0.0,50.52870075878066,0.9907588384074639,0.8365893086103066,156.91190025015524,284.18111911650897,-0.99
-0.98,0.0,50.5459510589901,0.9910970795880412,0.8423518844289587,156.99533631676127,283.38260473618794,-0.98
-0.97,0.0,50.563189241247144,0.9914350831617087,0.8481144602476108,157.07896377737958,282.58406110756175,-0.97
-0.96,0.0,50.58041531242647,0.991772849263264,0.853877036066263,157.1627783071275,281.7854467083255,-0.96
-0.95,0.0,50.59762927877938,0.9921103780152819,0.859639611884915,157.24677585766986,280.9867134493917,-0.95
-0.94,0.0,50.614831145799336,0.9924476695254771,0.8654021877035669,157.3233792670424,280.1878066346667,-0.94
-0.93,0.0,50.632020918075156,0.9927847238838265,0.8711647635222192,157.40772048752234,279.38866451386065,-0.93
-0.92,0.0,50.64919859913096,0.9931215411594306,0.8769273393408712,157.4922305886403,278.5891991861095,-0.92
-0.91,0.0,50.666364191252015,0.9934581213970983,0.8826899151595232,157.5769045245752,277.789300233489,-0.91
-0.9,0.0,50.68351769529532,0.9937944646136337,0.8884524909781755,157.66174066945004,276.9874774774679,-0.9
-0.89,0.0,50.700659110484416,0.9941305707938121,0.8942150667968275,157.73850736881724,276.18034452704285,-0.89
-0.88,0.0,50.717788434187334,0.9944664398860261,0.8999776426154796,157.82369467072806,275.3721985262477,-0.88
-0.87,0.0,50.73491015913365,0.9948021599830127,0.9057402184341317,157.90909548472456,274.56173864092347,-0.87
-0.86,0.0,50.75202362733479,0.9951377181830352,0.911502794252784,157.99469807582534,273.7488330340623,-0.86
-0.85,0.0,50.769124522389966,0.9954730298507837,0.9172653700714356,158.0804517898389,272.9342422895456,-0.85
-0.84,0.0,50.78621283358893,0.9958080947762534,0.9230279458900882,158.16626061724025,272.11758955776077,-0.84
-0.83,0.0,50.803288544800424,0.9961429126431456,0.92879052170874,158.24347199951885,271.2983516572049,-0.83
-0.82,0.0,50.8203516319382,0.9964774829791804,0.9345530975273922,158.32965094512625,270.47575808145007,-0.82
-0.81,0.0,50.837402058730994,0.9968118050731567,0.9403156733460442,158.41597285810806,269.6486048468059,-0.81
-0.8,0.0,50.85443976945892,0.9971458778325278,0.9460782491646963,158.50244082564532,268.81490988687904,-0.8
-0.79,0.0,50.871464676414526,0.9974796995375397,0.9518408249833485,158.5890464144969,267.97127659199,-0.79
-0.78,0.0,50.88847663856642,0.9978132674228709,0.9576034008020005,158.67567209766918,267.1117332082908,-0.78
-0.77,0.0,50.90547542676737,0.9981465769954386,0.9633659766206525,158.753040914418,266.2256768156834,-0.77
-0.76,0.0,50.92246067240576,0.9984796210275639,0.9691285524393047,158.84002105546801,265.29445233097834,-0.76
-0.75,0.0,50.93943180906968,0.998812388413131,0.9748911282579569,158.9271231452517,264.28640760528515,-0.75
-0.74,0.0,50.95638806041157,0.9991448639296386,0.9806537040766091,159.01434032486165,263.1521245052727,-0.74
-0.73,0.0,50.97332862085918,0.9994770317815526,0.986416279895261,159.10166644387843,261.82708619775104,-0.73
-0.72,0.0,50.990253232476135,0.9998088869112968,0.9921788557139128,159.18902827547967,260.2577922068503,-0.72
-0.71,0.0,50.99794143153257,0.9999596359124032,0.9979414315325652,159.26651562392652,258.4620545481189,-0.71
-0.7,0.0,51.0,1.0,1.0,159.354203270035,256.581791880481,-0.7
-0.69,0.0,51.0,1.0,1.0,159.4420395820337,254.81428485421176,-0.69
-0.68,0.0,51.0,1.0,1.0,159.53002983002577,253.3500549489705,-0.68
-0.67,0.0,51.0,1.0,1.0,159.6181570237174,252.2180320381292,-0.67
-0.66,0.0,51.0,1.0,1.0,159.70640198076887,251.3658235090468,-0.66
-0.65,0.0,51.0,1.0,1.0,159.79272090575333,250.73122427880347,-0.65
-0.64,0.0,51.0,1.0,1.0,159.87284840896828,250.26928000692928,-0.64
-0.63,0.0,51.0,1.0,1.0,159.96141853031673,249.9505559589691,-0.63
-0.62,0.0,51.0,1.0,1.0,160.0501077460186,249.75281412574142,-0.62
-0.61,0.0,51.0,1.0,1.0,160.13891546096067,249.65523472879363,-0.61
-0.6,0.0,51.0,1.0,1.0,160.2278415161017,249.63645931715493,-0.6
-0.59,0.0,51.0,1.0,1.0,160.31688614088634,249.6751770287541,-0.59
-0.58,0.0,51.0,1.0,1.0,160.40131810605524,249.7516653379698,-0.58
-0.57,0.0,51.0,1.0,1.0,160.48524393813642,249.8491717361822,-0.57
-0.56,0.0,51.0,1.0,1.0,160.5746041877633,249.95464520950836,-0.56
