MagCAPShock,Decay_hard,reliab_total,reliab_avg,reliab_min,d_end,π_end,Δμ_pc
-1.0,0.025,49.47984066033252,0.9701929541241671,0.5770257776008105,131.45468409208266,593.349382570946,-1.0
-0.99,0.025,49.53189367023313,0.9712136013771202,0.5878013239232502,142.67245393790137,582.1670082035711,-0.99
-0.98,0.025,49.58462630294805,0.9722475745676089,0.5985768702456901,148.3183109316848,573.5369591526894,-0.98
-0.97,0.025,49.637409224575066,0.9732825338151974,0.6093524165681298,136.2515467173114,621.7369999120132,-0.97
-0.96,0.025,49.684008910942524,0.9741962531557358,0.6201279628905696,158.64184248711075,566.220138385854,-0.96
-0.95,0.025,49.727132662152556,0.9750418169049521,0.6309035092130094,160.40076335697987,561.6413537004674,-0.95
-0.94,0.025,49.770224003757846,0.9758867451717225,0.6416790555354492,152.71384773034464,558.6742472044975,-0.94
-0.93,0.025,49.81328216447799,0.9767310228329018,0.6524546018578891,195.03859136233385,556.033869647159,-0.93
-0.92,0.025,49.85637527418318,0.9775759857682976,0.6632301481803288,182.41390884286602,556.2440037034905,-0.92
-0.91,0.025,49.899431410392204,0.9784202237331805,0.6740056945027683,195.15543774341683,549.7654860940779,-0.91
-0.9,0.025,49.94244843397254,0.9792636947837753,0.6847812408252083,211.6833902386187,544.2330215765685,-0.9
-0.89,0.025,49.98542482326008,0.980106369083531,0.6955567871476477,220.00343700939217,542.2027905256305,-0.89
-0.88,0.025,50.028353398523684,0.9809481058534055,0.7063323334700877,207.2364712850847,534.9563543329455,-0.88
-0.87,0.025,50.07122897948619,0.9817888035193372,0.7171078797925272,212.69481928590614,522.3333857177508,-0.87
-0.86,0.025,50.11546573608704,0.9826561909036674,0.7278834261149674,220.2759790437994,526.1197289085083,-0.86
-0.85,0.025,50.15866376419475,0.9835032110626422,0.7386589724374069,227.63631513150654,520.9241390060846,-0.85
-0.84,0.025,50.20171432813778,0.9843473397674075,0.7494345187598469,233.60626072711696,520.4301354981853,-0.84
-0.83,0.025,50.24470909660187,0.985190374443174,0.7602100650822865,236.33182154073242,520.6553949219874,-0.83
-0.82,0.025,50.28770232299368,0.9860333788822291,0.7709856114047264,244.12247933242116,520.9911984210194,-0.82
-0.81,0.025,50.33071221378206,0.986876710074158,0.781761157727166,253.71664059745117,521.3460957249599,-0.81
-0.8,0.025,50.373950152369886,0.9877245127915664,0.7925367040496057,276.68071303389974,521.5581706034006,-0.8
-0.79,0.025,50.41643073815537,0.9885574654540269,0.8033122503720457,273.6392415615573,519.3263672587568,-0.79
-0.78,0.025,50.45857619792962,0.9893838470182278,0.8140877966944855,281.2208384741006,516.5828921780704,-0.78
-0.77,0.025,50.50066337654626,0.9902090858146325,0.8248633430169251,282.1832706964199,514.0320148898829,-0.77
-0.76,0.025,50.5351909870036,0.9908860977843844,0.835638889339365,284.6973175546403,510.76571442760854,-0.76
-0.75,0.025,50.56729690271854,0.9915156255435008,0.8464144356618047,288.133501950764,507.2798177128149,-0.75
