MagCAPShock,FixedPropRates,reliab_total,reliab_avg,reliab_min,d_end,π_end,Δμ_pc
-1.0,0.0,50.5153398915655,0.9904968606189314,0.8322193363904891,154.6444360353323,284.9200191696356,-1.0
-0.99,0.0,50.53280295247731,0.9908392735779865,0.8380061695711624,154.72883206487717,285.50444034028715,-0.99
-0.98,0.0,50.550261019329035,0.9911815886142948,0.8437930027518356,154.81889397234835,286.10141602094643,-0.98
-0.97,0.0,50.5677147414778,0.991523818460349,0.8495798359325089,154.90941073756156,286.540721727453,-0.97
-0.96,0.0,50.58512821131122,0.9918652590453181,0.8553666691131823,154.9985368622525,286.8140090764654,-0.96
-0.95,0.0,50.602415456499,0.9922042246372353,0.8611535022938555,155.0819617687227,285.9919447885515,-0.95
-0.94,0.0,50.61969049357019,0.9925429508543174,0.8669403354745288,155.15969698969533,285.23035581952365,-0.94
-0.93,0.0,50.63695332683167,0.9928814377810132,0.8727271686552021,155.24345922537057,284.5927982320182,-0.93
-0.92,0.0,50.65420395943951,0.9932196854792061,0.8785140018358751,155.32738586357544,284.10767294330816,-0.92
-0.91,0.0,50.67144239321428,0.9935576939845937,0.8843008350165485,155.41147205668162,283.69171603266204,-0.91
-0.9,0.0,50.688668628440475,0.9938954633027544,0.8900876681972218,155.49571709977945,283.1882818561732,-0.9
-0.89,0.0,50.70588266364918,0.9942329934048858,0.895874501377895,155.58008768804763,282.54366369544965,-0.89
-0.88,0.0,50.72308449538315,0.9945702842231989,0.9016613345585685,155.65821777523556,281.80519753841105,-0.88
-0.87,0.0,50.74028042699917,0.9949074593529249,0.9074481677392415,155.7430424574043,281.0187641665377,-0.87
-0.86,0.0,50.75746605189812,0.9952444323901593,0.9132350009199148,155.828044300168,280.2043810992991,-0.86
-0.85,0.0,50.774638985454914,0.9955811565775473,0.919021834100588,155.913193590116,279.382384612088,-0.85
-0.84,0.0,50.79179921527229,0.9959176316720058,0.9248086672812615,155.9984881671958,278.55926809277344,-0.84
-0.83,0.0,50.808946722960826,0.9962538573129573,0.9305955004619346,156.07675032316197,277.7342592340719,-0.83
-0.82,0.0,50.82608148129713,0.9965898329666104,0.936382333642608,156.1623157505885,276.90595632247386,-0.82
-0.81,0.0,50.843203449442996,0.9969255578322156,0.9421691668232811,156.24802212986197,276.07177615576455,-0.81
-0.8,0.0,50.860312564709396,0.9972610306805764,0.9479560000039545,156.3338692648336,275.22691630860476,-0.8
-0.79,0.0,50.87740872834448,0.997596249575382,0.953742833184628,156.41985019926352,274.3624254686091,-0.79
-0.78,0.0,50.89449178148165,0.9979312114016009,0.9595296663653011,156.5059618718129,273.45868024913347,-0.78
-0.77,0.0,50.91156146650667,0.9982659111079739,0.9653164995459741,156.58436671971506,272.4884271605831,-0.77
-0.76,0.0,50.92861737220489,0.9986003406314684,0.9711033327266476,156.67071136672294,271.40022076221766,-0.76
-0.75,0.0,50.9456588789833,0.998934487823202,0.9768901659073207,156.7571728115957,270.10575572220864,-0.75
-0.74,0.0,50.962685176024365,0.9992683367847914,0.9826769990879943,156.84374385145816,268.46450552657274,-0.74
-0.73,0.0,50.9796955242296,0.9996018730241097,0.9884638322686674,156.9304189300161,266.3107491392517,-0.73
