MagCAPShock,FixedPropRates,reliab_total,reliab_avg,reliab_min,d_end,π_end,Δμ_pc
-1.0,0.0,51.0,1.0,1.0,194.6724010330816,544.840593676816,-1.0
-0.99,0.0,51.0,1.0,1.0,194.56743357743346,557.9190210060727,-0.99
-0.98,0.0,51.0,1.0,1.0,194.73956204932384,565.301750210516,-0.98
-0.97,0.0,51.0,1.0,1.0,195.076541165979,564.6607034239978,-0.97
-0.96,0.0,51.0,1.0,1.0,195.2749406481853,567.9289932146684,-0.96
-0.95,0.0,51.0,1.0,1.0,195.24247592872575,571.3461914257435,-0.95
-0.94,0.0,51.0,1.0,1.0,195.16380525322765,573.8857230600662,-0.94
-0.93,0.0,51.0,1.0,1.0,195.12443561982812,572.5889044916833,-0.93
-0.92,0.0,51.0,1.0,1.0,195.089645307909,571.242547430271,-0.92
-0.91,0.0,51.0,1.0,1.0,195.0613632842807,569.8270098359638,-0.91
-0.9,0.0,51.0,1.0,1.0,195.04194150967814,568.323789628458,-0.9
-0.89,0.0,51.0,1.0,1.0,195.13563263546212,566.7301828552772,-0.89
-0.88,0.0,51.0,1.0,1.0,195.27456175432306,565.0914455379346,-0.88
-0.87,0.0,51.0,1.0,1.0,195.40932399567905,563.5509175937359,-0.87
-0.86,0.0,51.0,1.0,1.0,195.52534605512133,562.3916695570382,-0.86
-0.85,0.0,51.0,1.0,1.0,195.60806891782727,562.001403613852,-0.85
-0.84,0.0,51.0,1.0,1.0,195.66880717147922,562.7034074470971,-0.84
-0.83,0.0,51.0,1.0,1.0,195.78014262707433,559.4089102716555,-0.83
-0.82,0.0,51.0,1.0,1.0,195.98046908584692,553.5981140547825,-0.82
-0.81,0.0,51.0,1.0,1.0,196.17990909304606,547.5723122566817,-0.81
-0.8,0.0,51.0,1.0,1.0,196.38427094506136,541.1490834613948,-0.8
-0.79,0.0,51.0,1.0,1.0,196.3814223891316,534.9047223952783,-0.79
-0.78,0.0,51.0,1.0,1.0,196.34825934590106,528.391909680285,-0.78
-0.77,0.0,51.0,1.0,1.0,196.31226994832926,520.1187529737142,-0.77
-0.76,0.0,51.0,1.0,1.0,196.25438242513582,513.788289044332,-0.76
-0.75,0.0,51.0,1.0,1.0,196.27027267846756,517.9877231013877,-0.75
-0.74,0.0,51.0,1.0,1.0,196.50759254451606,525.053722305304,-0.74
-0.73,0.0,51.0,1.0,1.0,196.50807556949476,531.8256917896758,-0.73
-0.72,0.0,51.0,1.0,1.0,196.57459192457662,538.8645453447626,-0.72
-0.71,0.0,51.0,1.0,1.0,196.5894559994348,546.9231696076679,-0.71
-0.7,0.0,51.0,1.0,1.0,196.7529518921974,562.3563192849348,-0.7
-0.69,0.0,51.0,1.0,1.0,196.8446813352363,575.1321630593312,-0.69
-0.68,0.0,51.0,1.0,1.0,196.98758141880006,583.9413334955841,-0.68
-0.67,0.0,51.0,1.0,1.0,196.9876889535067,583.2799939868935,-0.67
-0.66,0.0,51.0,1.0,1.0,197.03143059798822,577.4574527475667,-0.66
-0.65,0.0,51.0,1.0,1.0,197.07460911090334,575.0315521804274,-0.65
-0.64,0.0,51.0,1.0,1.0,197.20057007476137,578.8830689648739,-0.64
-0.63,0.0,51.0,1.0,1.0,197.21094986615543,582.712357296403,-0.63
-0.62,0.0,51.0,1.0,1.0,197.41993891279844,586.5144332816293,-0.62
-0.61,0.0,51.0,1.0,1.0,197.62755808535164,590.2806790231414,-0.61
-0.6,0.0,51.0,1.0,1.0,197.55269613551965,590.7332608676469,-0.6
-0.59,0.0,51.0,1.0,1.0,197.51327313144307,588.7297232733978,-0.59
-0.58,0.0,51.0,1.0,1.0,197.50217322403623,585.814367182642,-0.58
-0.57,0.0,51.0,1.0,1.0,197.51131317245313,582.1856924994587,-0.57
