MagCAPShock,Goal_l,reliab_total,reliab_avg,reliab_min,d_end,π_end,Δμ_pc
-1.0,1.0,50.90628921186558,0.9981625335659917,0.9728828029399489,195.393356967931,522.103137326693,-1.0
-0.99,1.0,50.906874339376955,0.9981740066544501,0.9730588855408545,195.352203712228,521.7248805614889,-0.99
-0.98,1.0,50.907459873581395,0.9981854877172822,0.9732349682870206,195.42707396471394,521.4207381875577,-0.98
-0.97,1.0,50.90804581877002,0.9981969768386278,0.9734110512059365,196.1211716390852,521.2202451230032,-0.97
-0.96,1.0,50.90863217918438,0.9982084741016545,0.9735871343252894,195.7285639008314,521.0011444550265,-0.96
-0.95,1.0,50.909218959009934,0.9982199795884301,0.9737632176729492,195.6306293391821,520.8822411439381,-0.95
-0.94,1.0,50.909806162371126,0.998231493379826,0.9739393012769564,195.65815654209052,520.6868497765381,-0.94
-0.93,1.0,50.91039379332837,0.9982430155554581,0.9741153851655082,195.5752389579867,520.4934745873306,-0.93
-0.92,1.0,50.91098185587694,0.9982545461936655,0.9742914693669451,195.57422758657677,520.3020495235143,-0.92
-0.91,1.0,50.91157035394813,0.9982660853715319,0.9744675539097345,195.60460604197797,520.1125545910522,-0.91
-0.9,1.0,50.912159291412394,0.9982776331649489,0.9746436388224587,195.62183977440574,519.9250138097099,-0.9
-0.89,1.0,50.91274867208467,0.9982891896487189,0.9748197241337972,195.63788204228956,519.7516152415183,-0.89
-0.88,1.0,50.91333849973164,0.9983007548966988,0.9749958098725134,195.69068361159,519.5815039789234,-0.88
-0.87,1.0,50.91392877808073,0.9983123289819751,0.975171896067436,195.80383016969023,519.4143005993263,-0.87
-0.86,1.0,50.91451951083076,0.9983239119770737,0.9753479827474475,195.93438627746477,519.2502575877327,-0.86
-0.85,1.0,50.915110701663714,0.9983355039541905,0.9755240699414638,196.05172252702798,519.0896284985065,-0.85
-0.84,1.0,50.91570235425763,0.9983471049854438,0.9757001576784192,196.15532124531248,518.9326574240054,-0.84
-0.83,1.0,50.916294472300045,0.9983587151431381,0.9758762459872504,196.23932620594658,518.779570128013,-0.83
-0.82,1.0,50.91688705950182,0.9983703345000356,0.9760523348968801,196.32042705575282,518.6305671579062,-0.82
-0.81,1.0,50.917480119611,0.9983819631296275,0.9762284244361993,196.41233392350023,518.485819058877,-0.81
-0.8,1.0,50.91807365642636,0.9983936011063992,0.9764045146340509,196.48493294177743,518.3454636623688,-0.8
-0.79,1.0,50.91866767381032,0.9984052485060847,0.9765806055192132,196.5829948764638,518.2096053151095,-0.79
-0.78,1.0,50.91926217570098,0.9984169054059016,0.9767566971203832,196.7003914629558,518.0783158504919,-0.78
-0.77,1.0,50.919857166122874,0.9984285718847622,0.9769327894661588,196.87343622887224,517.9516370713808,-0.77
-0.76,1.0,50.92045264919622,0.9984402480234553,0.9771088825850255,197.12980897642072,517.8295845019243,-0.76
-0.75,1.0,50.92104862914414,0.998451933904787,0.9772849765053352,197.20929371832273,517.7121521657955,-0.75
-0.74,1.0,50.92164511029777,0.9984636296136817,0.9774610712552958,197.35986924948287,517.5993181509715,-0.74
-0.73,1.0,50.92224209709862,0.9984753352372278,0.9776371668629505,197.37423791934006,517.4910507194456,-0.73
-0.72,1.0,50.9228395940981,0.9984870508646686,0.9778132633561659,197.44082337738826,517.3873147065866,-0.72
-0.71,1.0,50.92343760595361,0.9984987765873257,0.977989360762615,197.60309344113563,517.2880779221923,-0.71
-0.7,1.0,50.924036137421126,0.9985105124984535,0.9781654591097637,197.5243131977663,517.1933172069937,-0.7
-0.69,1.0,50.924635193343825,0.9985222586930161,0.9783415584248568,197.73857979526474,517.1030237114857,-0.69
-0.68,1.0,50.92523477863679,0.998534015267388,0.9785176587349034,198.00179751166087,517.0172068533591,-0.68
-0.67,1.0,50.92583489826755,0.9985457823189716,0.9786937600666666,198.1799957391803,516.9358962922876,-0.67
-0.66,1.0,50.92643555723268,0.9985575599457388,0.9788698624466486,198.13986090609566,516.8591411697477,-0.66
-0.65,1.0,50.927036760530726,0.9985693482457005,0.9790459659010825,198.2608364528915,516.7870058458918,-0.65
-0.64,1.0,50.927638513131924,0.9985811473163122,0.9792220704559179,198.35822338268875,516.7195614833867,-0.64
-0.63,1.0,50.928240819945536,0.998592957253834,0.9793981761368158,198.40784157633394,516.6568731307559,-0.63
-0.62,1.0,50.92884368578562,0.9986047781526592,0.9795742829691358,198.47633472295854,516.587401265503,-0.62
-0.61,1.0,50.929447115336686,0.9986166101046409,0.9797503909779324,198.50451887384978,516.5222529968208,-0.61
-0.6,1.0,50.930051113120314,0.9986284531984375,0.9799265001879454,198.5540632155301,516.4636204102343,-0.6
-0.59,1.0,50.93065568346465,0.9986403075189147,0.9801026106235955,198.5785695741649,516.4112078533254,-0.59
-0.58,1.0,50.931260830477996,0.9986521731466274,0.9802787223089804,198.6030224989783,516.3645872424817,-0.58
-0.57,1.0,50.93186655802825,0.9986640501574167,0.9804548352678711,198.63176312325203,516.3231961130745,-0.57
-0.56,1.0,50.93247286972941,0.9986759386221453,0.9806309495237107,198.66704644397774,516.2863422451945,-0.56
-0.55,1.0,50.933079768936146,0.998687838606591,0.980807065099612,198.70050883900473,516.253215263342,-0.55
-0.54,1.0,50.93368725874717,0.9986997501715131,0.9809831820183603,198.7314090856432,516.2229286507147,-0.54
-0.53,1.0,50.934295342017464,0.9987116733728915,0.9811593003024134,198.75495270391522,516.1945069011789,-0.53
-0.52,1.0,50.9349040213791,0.9987236082623352,0.9813354199739065,198.77953793043216,516.1668714754089,-0.52
-0.51,1.0,50.935513299269864,0.9987355548876444,0.9815115410546544,198.8088572065496,516.1618123346925,-0.51
-0.5,1.0,50.936123177968454,0.9987475132934991,0.981687663566158,198.8604533261589,516.2794650897176,-0.5
-0.49,1.0,50.936733659634626,0.9987594835222475,0.9818637875296121,198.90330343917478,516.3849093143816,-0.49
-0.48,1.0,50.93734474635271,0.9987714656147589,0.982039912965911,198.94275887027302,516.472990675318,-0.48
-0.47,1.0,50.93795644017634,0.9987834596113009,0.982216039895659,198.97969893142394,516.5407177942429,-0.47
-0.46,1.0,50.93856874317267,0.9987954655524053,0.9823921683391785,199.0168057026724,516.5866056408407,-0.46
-0.45,1.0,50.93918165746398,0.998807483479686,0.9825682983165228,199.05114881618283,516.2296658811508,-0.45
-0.44,1.0,50.93979518526519,0.9988195134365724,0.9827444298474841,199.08200654188659,515.3729266389349,-0.44
-0.43,1.0,50.94040932891518,0.9988315554689251,0.9829205629516083,199.11387943788586,514.6802404459661,-0.43
-0.42,1.0,50.94102409090091,0.998843609625508,0.9830966976482042,199.14698297564706,514.1626023497989,-0.42
