MagCAPShock,IF_sens_l,reliab_total,reliab_avg,reliab_min,d_end,π_end,Δμ_pc
-1.0,4.0,49.654363741550306,0.9736149753245158,0.5770257776008105,143.4740911231875,491.07452620575447,-1.0
-0.99,4.0,49.69696292599625,0.974450253450907,0.5878013239232502,149.43412804550977,486.9432809706152,-0.99
-0.98,4.0,49.73951675639292,0.9752846422822142,0.5985768702456901,171.88189814735162,486.2139511866078,-0.98
-0.97,4.0,49.78203087607883,0.9761182524721339,0.6093524165681298,146.6094803883157,485.63297802875303,-0.97
-0.96,4.0,49.82450749927984,0.9769511274368596,0.6201279628905696,166.35794980618007,485.0972945227901,-0.96
-0.95,4.0,49.86694550429459,0.9777832451822469,0.6309035092130094,169.94656201412974,483.673046607355,-0.95
-0.94,4.0,49.90934172494934,0.9786145436264577,0.6416790555354492,185.61448906245147,481.8434043933639,-0.94
-0.93,4.0,49.95169254112401,0.9794449517867453,0.6524546018578891,179.51959871498926,480.1844264454797,-0.93
-0.92,4.0,49.9939951365227,0.9802744144416216,0.6632301481803288,192.52561614700207,478.14733013190664,-0.92
-0.91,4.0,50.036248288118855,0.9811029076101736,0.6740056945027683,187.31819578417375,475.81616283337934,-0.91
-0.9,4.0,50.078452731821116,0.9819304457219826,0.6847812408252083,201.61569566360401,473.3856334436253,-0.9
-0.89,4.0,50.11843389157032,0.9827143900307905,0.6955567871476477,213.78586277284677,470.61255445139795,-0.89
-0.88,4.0,50.15087769315571,0.983350543003053,0.7063323334700877,222.00713061580922,467.65214550861873,-0.88
-0.87,4.0,50.18329813139042,0.9839862378704004,0.7171078797925272,232.49297770112224,464.5744475379645,-0.87
-0.86,4.0,50.21569859045878,0.9846215409893878,0.7278834261149674,225.08583420229988,461.5947584763053,-0.86
-0.85,4.0,50.24808288609145,0.9852565271782637,0.7386589724374069,231.98865977977874,458.89665799712986,-0.85
-0.84,4.0,50.28045451423077,0.9858912649849171,0.7494345187598469,235.0657413074624,456.5395097807367,-0.84
-0.83,4.0,50.312815958753205,0.9865258031128079,0.7602100650822865,242.96428830426285,454.51809876545053,-0.83
-0.82,4.0,50.34516835523242,0.9871601638280866,0.7709856114047264,248.3367819442153,452.8981772798538,-0.82
-0.81,4.0,50.377511598649875,0.9877943450715662,0.781761157727166,254.94759989047338,451.8514411832256,-0.81
-0.8,4.0,50.40984475491544,0.9884283285277538,0.7925367040496057,263.32177003742345,451.5216459300626,-0.8
-0.79,4.0,50.44216655189133,0.9890620892527713,0.8033122503720457,272.1375177904567,451.8097877452976,-0.79
-0.78,4.0,50.47447578638234,0.9896956036545558,0.8140877966944855,276.6428567979983,452.403751902728,-0.78
-0.77,4.0,50.50677159007097,0.9903288547072739,0.8248633430169251,281.6137783932738,453.0300414725924,-0.77
-0.76,4.0,50.53905357185587,0.9909618347422718,0.835638889339365,287.42161761745535,453.56578950541086,-0.76
-0.75,4.0,50.57132187989006,0.991594546664511,0.8464144356618047,289.3484498854949,453.9896448613236,-0.75
-0.74,4.0,50.60312735342849,0.9922181834005587,0.8571899819842447,290.7134138734963,452.7206777699475,-0.74
-0.73,4.0,50.63468296952205,0.9928369209710206,0.867965528306684,291.8520383816008,450.4586634505716,-0.73
-0.72,4.0,50.6662030889293,0.9934549625280255,0.878741074629124,292.73095437217637,448.1686539943704,-0.72
-0.71,4.0,50.69768837178272,0.9940723210153474,0.8895166209515638,294.1130111904999,445.8439974402835,-0.71
-0.7,4.0,50.72913966338949,0.994689013007637,0.9002921672740035,298.93853061489074,443.476402608713,-0.7
-0.69,4.0,50.76055797993439,0.9953050584300861,0.9110677135964433,316.25858156685194,441.0563062016351,-0.69
-0.68,4.0,50.791944506106404,0.9959204805118903,0.9218432599188828,325.5577300243505,438.57370611768357,-0.68
-0.67,4.0,50.82330059964441,0.9965353058753806,0.9326188062413228,325.83926387818843,436.0194542733495,-0.67
-0.66,4.0,50.85462779531392,0.9971495646139984,0.9433943525637623,326.1222006799751,433.38687958164434,-0.66
-0.65,4.0,50.88592779768006,0.9977632901505894,0.9541698988862024,326.4065090417049,430.67349178864293,-0.65
-0.64,4.0,50.9172024495297,0.9983765186182293,0.9649454452086419,326.69216098492876,427.8824496497833,-0.64
-0.63,4.0,50.94845366440392,0.9989892875373317,0.9757209915310822,326.9791309001125,425.0234797230541,-0.63
-0.62,4.0,50.97968332274158,0.9996016337792466,0.9864965378535215,327.2673942879653,422.11296256756674,-0.62
-0.61,4.0,50.99727208417596,0.9999465114544306,0.9972720841759617,327.5569266366603,419.1729287280078,-0.61
-0.6,4.0,51.0,1.0,1.0,327.8477029414865,416.22884557989335,-0.6
-0.59,4.0,51.0,1.0,1.0,328.1396982736704,413.3066009498227,-0.59
-0.58,4.0,51.0,1.0,1.0,328.43288937927554,410.43013385542906,-0.58
-0.57,4.0,51.0,1.0,1.0,328.7272567834281,407.62232910330465,-0.57
-0.56,4.0,51.0,1.0,1.0,329.0227867121412,404.9119764802022,-0.56
-0.55,4.0,51.0,1.0,1.0,329.31947243853466,402.3470649703313,-0.55
-0.54,4.0,51.0,1.0,1.0,329.61729411925404,400.00809224588136,-0.54
-0.53,4.0,51.0,1.0,1.0,329.91624193198476,398.0072659003953,-0.53
-0.52,4.0,51.0,1.0,1.0,330.21637034172716,396.46027767790355,-0.52
-0.51,4.0,51.0,1.0,1.0,330.5177119573763,395.4337033988816,-0.51
-0.5,4.0,51.0,1.0,1.0,330.8202095530242,394.8981353442011,-0.5
-0.49,4.0,51.0,1.0,1.0,331.1241223694514,394.7331083510005,-0.49
-0.48,4.0,51.0,1.0,1.0,331.42945565433945,394.7891992417397,-0.48
-0.47,4.0,51.0,1.0,1.0,331.73579648996923,394.94657487487393,-0.47
-0.46,4.0,51.0,1.0,1.0,332.04435017563134,395.1321907447154,-0.46
-0.45,4.0,51.0,1.0,1.0,332.3550531864001,395.3105835971978,-0.45
-0.44,4.0,51.0,1.0,1.0,332.66744260192934,395.46784684407356,-0.44
-0.43,4.0,51.0,1.0,1.0,332.9845066698433,395.5998202473781,-0.43
-0.42,4.0,51.0,1.0,1.0,333.3089735964781,395.7020687298723,-0.42
-0.41,4.0,51.0,1.0,1.0,333.4856696432248,395.7220670762738,-0.41
-0.4,4.0,51.0,1.0,1.0,333.4856696432248,395.71214513369,-0.4
-0.39,4.0,51.0,1.0,1.0,333.4856696432249,395.7011441618471,-0.39
-0.38,4.0,51.0,1.0,1.0,333.4856696432248,395.6892228164358,-0.38
-0.37,4.0,51.0,1.0,1.0,333.48566964322487,395.67650918633956,-0.37
-0.36,4.0,51.0,1.0,1.0,333.48566964322487,395.6631072484226,-0.36
-0.35,4.0,51.0,1.0,1.0,333.48566964322487,395.64798617768497,-0.35
-0.34,4.0,51.0,1.0,1.0,333.4856696432248,395.6314193973678,-0.34
-0.33,4.0,51.0,1.0,1.0,333.485669643225,395.61409240067377,-0.33
-0.32,4.0,51.0,1.0,1.0,333.4856696432248,395.596033186073,-0.32
-0.31,4.0,51.0,1.0,1.0,333.485669643225,395.5772459878738,-0.31
-0.3,4.0,51.0,1.0,1.0,333.48566964322487,395.557671269747,-0.3
-0.29,4.0,51.0,1.0,1.0,333.48566964322487,395.53727634430794,-0.29
-0.28,4.0,51.0,1.0,1.0,333.48566964322464,395.5157364303617,-0.28
-0.27,4.0,51.0,1.0,1.0,333.48566964322475,395.4903943018919,-0.27
-0.26,4.0,51.0,1.0,1.0,333.4856696432248,395.4604558038656,-0.26
-0.25,4.0,51.0,1.0,1.0,333.48566964322487,395.4224991299573,-0.25
-0.24,4.0,51.0,1.0,1.0,333.48566964322487,395.370091102308,-0.24
-0.23,4.0,51.0,1.0,1.0,333.4856696432248,395.2775991138099,-0.23
-0.22,4.0,51.0,1.0,1.0,333.4856696432249,395.086158007464,-0.22
-0.21,4.0,51.0,1.0,1.0,333.4856696432249,394.7500465032574,-0.21
-0.2,4.0,51.0,1.0,1.0,333.4856696432248,394.11240822471746,-0.2
-0.19,4.0,51.0,1.0,1.0,333.48566964322475,392.62380532085285,-0.19
-0.18,4.0,51.0,1.0,1.0,333.48566964322464,387.92652195867464,-0.18
-0.17,4.0,51.0,1.0,1.0,333.4856696432249,389.14302797987204,-0.17
-0.16,4.0,51.0,1.0,1.0,333.48566964322487,390.3322734487242,-0.16
-0.15,4.0,51.0,1.0,1.0,333.48566964322475,390.9658998643527,-0.15
-0.14,4.0,51.0,1.0,1.0,333.485669643225,391.2392345679496,-0.14
-0.13,4.0,51.0,1.0,1.0,333.4856696432248,391.5126048683397,-0.13
-0.12,4.0,51.0,1.0,1.0,333.485669643225,391.7860089907267,-0.12
-0.11,4.0,51.0,1.0,1.0,333.48566964322487,392.05944530429775,-0.11
-0.1,4.0,51.0,1.0,1.0,333.48566964322475,392.3329123282874,-0.1
-0.09,4.0,51.0,1.0,1.0,333.48566964322464,392.6064087228982,-0.09
-0.08,4.0,51.0,1.0,1.0,333.4856696432249,392.8799332751913,-0.08
-0.07,4.0,51.0,1.0,1.0,333.48566964322464,393.1534848842746,-0.07
-0.06,4.0,51.0,1.0,1.0,333.48566964322475,393.4270625475267,-0.06
-0.05,4.0,51.0,1.0,1.0,333.48566964322487,393.47282541435123,-0.05
-0.04,4.0,51.0,1.0,1.0,333.485669643225,393.47282541435123,-0.04
-0.03,4.0,51.0,1.0,1.0,333.48566964322487,393.47282541435135,-0.03
-0.02,4.0,51.0,1.0,1.0,333.48566964322487,393.47282541435123,-0.02
-0.01,4.0,51.0,1.0,1.0,333.4856696432248,393.4728254143513,-0.01
0.0,4.0,51.0,1.0,1.0,333.48566964322487,393.4728254143513,0.0
-1.0,4.340878170264604,49.654741666187014,0.97362238561151,0.5770257776008105,142.4920184423637,491.2694082398814,-1.0
-0.99,4.340878170264604,49.697342413563106,0.9744576943835903,0.5878013239232502,152.70265965333155,488.14312143841437,-0.99
-0.98,4.340878170264604,49.73989706082102,0.9752920992317847,0.5985768702456901,163.4198034039069,487.4660981421235,-0.98
-0.97,4.340878170264604,49.782411393810115,0.9761257136041199,0.6093524165681298,145.31135005042714,487.1929612070671,-0.97
-0.96,4.340878170264604,49.82488775262894,0.9769585833848812,0.6201279628905696,163.92065396489025,486.12818220520296,-0.96
-0.95,4.340878170264604,49.86732509598711,0.9777906881566101,0.6309035092130094,168.0884732203249,484.67526225165574,-0.95
-0.94,4.340878170264604,49.909720288140555,0.9786219664341286,0.6416790555354492,189.6452081719529,482.8939958636068,-0.94
-0.93,4.340878170264604,49.95206970797006,0.9794523472150992,0.6524546018578891,177.05385482481555,481.07222806816526,-0.93
-0.92,4.340878170264604,49.99437053621899,0.9802817752199802,0.6632301481803288,190.31182172603602,478.97645162619597,-0.92
-0.91,4.340878170264604,50.036621573585826,0.9811102269330554,0.6740056945027683,187.61996637275115,476.4290279209135,-0.91
-0.9,4.340878170264604,50.07882362579706,0.9819377181528834,0.6847812408252083,199.74092035409214,474.0922369403228,-0.9
-0.89,4.340878170264604,50.11861713544804,0.9827179830480008,0.6955567871476477,217.10923315213464,471.25567454312966,-0.89
-0.88,4.340878170264604,50.15105557966462,0.9833540309738161,0.7063323334700877,222.13422814997222,468.21457861252287,-0.88
-0.87,4.340878170264604,50.18347056508155,0.9839896189231676,0.7171078797925272,233.37470106345168,465.04401583007774,-0.87
-0.86,4.340878170264604,50.215865630373415,0.9846248162818316,0.7278834261149674,225.05792620053683,461.9585392624689,-0.86
-0.85,4.340878170264604,50.248244754574216,0.9852597010700826,0.7386589724374069,229.68041748166198,459.1595547934067,-0.85
-0.84,4.340878170264604,50.28061158408343,0.9858943447859496,0.7494345187598469,235.97914333249696,456.72655128906655,-0.84
-0.83,4.340878170264604,50.312968722494894,0.9865287984802921,0.7602100650822865,240.7684992413047,454.65457905523664,-0.83
-0.82,4.340878170264604,50.34531738777241,0.9871630860347531,0.7709856114047264,248.77118581902357,452.99841575002756,-0.82
-0.81,4.340878170264604,50.37765752564029,0.9877972063851037,0.781761157727166,254.7730816660413,451.91832996761127,-0.81
-0.8,4.340878170264604,50.40998823396313,0.9884311418424144,0.7925367040496057,263.57610812745077,451.5574094625794,-0.8
-0.79,4.340878170264604,50.44230826733431,0.9890648679869473,0.8033122503720457,271.7474039152012,451.82308554759607,-0.79
-0.78,4.340878170264604,50.4746164543421,0.989698361849845,0.8140877966944855,276.39989601525554,452.4063367931439,-0.78
-0.77,4.340878170264604,50.506911969704475,0.9903316072491074,0.8248633430169251,282.80835649634156,453.02994997755985,-0.77
-0.76,4.340878170264604,50.53919447987427,0.9909645976445935,0.835638889339365,286.96037723052814,453.56651090780787,-0.76
-0.75,4.340878170264604,50.57146420704983,0.9915973373931339,0.8464144356618047,289.0598323102985,453.99220230912124,-0.75
-0.74,4.340878170264604,50.60364657693937,0.9922283642537131,0.8571899819842447,290.8827179722221,454.1618397462615,-0.74
-0.73,4.340878170264604,50.63519281106548,0.992846917864029,0.867965528306684,291.98722295660673,451.8447390403911,-0.73
-0.72,4.340878170264604,50.666702425021114,0.9934647534317865,0.878741074629124,292.8089404446277,449.497147770746,-0.72
-0.71,4.340878170264604,50.69817606308429,0.994081883589888,0.8895166209515638,294.2835123646966,447.11289708071536,-0.71
-0.7,4.340878170264604,50.72961456731993,0.9946983248494103,0.9002921672740035,299.0382082679964,444.6843414406153,-0.7
-0.69,4.340878170264604,50.76101896405994,0.9953140973345087,0.9110677135964433,316.38434971579557,442.2026334057611,-0.69
-0.68,4.340878170264604,50.79239046231554,0.9959292247512851,0.9218432599188828,325.56520363359465,439.6584308926786,-0.68
-0.67,4.340878170264604,50.823730459076344,0.996543734491693,0.9326188062413228,325.84609974364315,437.04307009207827,-0.67
-0.66,4.340878170264604,50.85504054382401,0.9971576577220395,0.9433943525637623,326.12843364570136,434.35012308289805,-0.66
-0.65,4.340878170264604,50.88632249129023,0.9977710292409849,0.9541698988862024,326.4121736003184,431.577128159553,-0.65
-0.64,4.340878170264604,50.91757822887078,0.9983838868406035,0.9649454452086419,326.6972912633103,428.72717860204665,-0.64
-0.63,4.340878170264604,50.94880976677142,0.9989962699366944,0.9757209915310822,326.9837605820064,425.81001018364236,-0.63
-0.62,4.340878170264604,50.98001909040134,0.9996082174588499,0.9864965378535215,327.27155646271905,422.842224496155,-0.62
-0.61,4.340878170264604,50.99727208417596,0.9999465114544306,0.9972720841759617,327.56065357954037,419.8463176911892,-0.61
-0.6,4.340878170264604,51.0,1.0,1.0,327.85102585992803,416.84836300039586,-0.6
-0.59,4.340878170264604,51.0,1.0,1.0,328.1426470778249,413.87474854917207,-0.59
-0.58,4.340878170264604,51.0,1.0,1.0,328.4354925316652,410.9494078069673,-0.58
-0.57,4.340878170264604,51.0,1.0,1.0,328.72954124815357,408.0941650881369,-0.57
-0.56,4.340878170264604,51.0,1.0,1.0,329.0247779836,405.33519234995526,-0.56
-0.55,4.340878170264604,51.0,1.0,1.0,329.32117210965805,402.71646985344967,-0.55
-0.54,4.340878170264604,51.0,1.0,1.0,329.6187181611307,400.31480916606483,-0.54
-0.53,4.340878170264604,51.0,1.0,1.0,329.91744644106325,398.242218158016,-0.53
-0.52,4.340878170264604,51.0,1.0,1.0,330.21737568009524,396.62008200026554,-0.52
-0.51,4.340878170264604,51.0,1.0,1.0,330.5185374083878,395.52558123764294,-0.51
-0.5,4.340878170264604,51.0,1.0,1.0,330.82086553691425,394.9396087588781,-0.5
-0.49,4.340878170264604,51.0,1.0,1.0,331.1246356936054,394.745099455591,-0.49
-0.48,4.340878170264604,51.0,1.0,1.0,331.4298331314567,394.7882235876294,-0.48
-0.47,4.340878170264604,51.0,1.0,1.0,331.73605234779745,394.94204813835387,-0.47
-0.46,4.340878170264604,51.0,1.0,1.0,332.0445200701951,395.1280918632796,-0.46
-0.45,4.340878170264604,51.0,1.0,1.0,332.3551534915769,395.3080203187892,-0.45
-0.44,4.340878170264604,51.0,1.0,1.0,332.66748385958164,395.46665416114547,-0.44
-0.43,4.340878170264604,51.0,1.0,1.0,332.98451794293004,395.5994739322771,-0.43
-0.42,4.340878170264604,51.0,1.0,1.0,333.3089731130114,395.70205223959687,-0.42
-0.41,4.340878170264604,51.0,1.0,1.0,333.4856696432248,395.7220670762738,-0.41
-0.4,4.340878170264604,51.0,1.0,1.0,333.4856696432248,395.71214513369,-0.4
-0.39,4.340878170264604,51.0,1.0,1.0,333.4856696432249,395.7011441618471,-0.39
-0.38,4.340878170264604,51.0,1.0,1.0,333.4856696432248,395.6892228164358,-0.38
-0.37,4.340878170264604,51.0,1.0,1.0,333.48566964322487,395.67650918633956,-0.37
-0.36,4.340878170264604,51.0,1.0,1.0,333.48566964322487,395.6631072484226,-0.36
-0.35,4.340878170264604,51.0,1.0,1.0,333.48566964322487,395.64798617768497,-0.35
-0.34,4.340878170264604,51.0,1.0,1.0,333.4856696432248,395.6314193973678,-0.34
-0.33,4.340878170264604,51.0,1.0,1.0,333.485669643225,395.61409240067377,-0.33
-0.32,4.340878170264604,51.0,1.0,1.0,333.4856696432248,395.596033186073,-0.32
-0.31,4.340878170264604,51.0,1.0,1.0,333.485669643225,395.5772459878738,-0.31
-0.3,4.340878170264604,51.0,1.0,1.0,333.48566964322487,395.557671269747,-0.3
-0.29,4.340878170264604,51.0,1.0,1.0,333.48566964322487,395.53727634430794,-0.29
-0.28,4.340878170264604,51.0,1.0,1.0,333.48566964322464,395.5157364303617,-0.28
-0.27,4.340878170264604,51.0,1.0,1.0,333.48566964322475,395.4903943018919,-0.27
-0.26,4.340878170264604,51.0,1.0,1.0,333.4856696432248,395.4604558038656,-0.26
-0.25,4.340878170264604,51.0,1.0,1.0,333.48566964322487,395.4224991299573,-0.25
-0.24,4.340878170264604,51.0,1.0,1.0,333.48566964322487,395.370091102308,-0.24
-0.23,4.340878170264604,51.0,1.0,1.0,333.4856696432248,395.2775991138099,-0.23
