MagCAPShock,IF_sens_r,reliab_total,reliab_avg,reliab_min,d_end,π_end,Δμ_pc
-1.0,4.0,51.0,1.0,1.0,195.1039852126426,471.38322257450034,-1.0
-0.99,4.0,51.0,1.0,1.0,195.25798555180876,472.68149976238374,-0.99
-0.98,4.0,51.0,1.0,1.0,195.3243084564782,472.7805681482802,-0.98
-0.97,4.0,51.0,1.0,1.0,195.3666886074464,472.6850660618563,-0.97
-0.96,4.0,51.0,1.0,1.0,195.41188625714352,472.911950224016,-0.96
-0.95,4.0,51.0,1.0,1.0,195.46117114415017,473.4770752683027,-0.95
-0.94,4.0,51.0,1.0,1.0,195.52453355661692,475.29589383413014,-0.94
-0.93,4.0,51.0,1.0,1.0,195.59810902648795,478.2206412794458,-0.93
-0.92,4.0,51.0,1.0,1.0,195.67095546158868,481.1262415142502,-0.92
-0.91,4.0,51.0,1.0,1.0,195.81866047842576,482.37383218051605,-0.91
-0.9,4.0,51.0,1.0,1.0,195.98601583561413,483.3008372881758,-0.9
-0.89,4.0,51.0,1.0,1.0,196.09254364160398,484.27347101186103,-0.89
-0.88,4.0,51.0,1.0,1.0,196.12654011816105,485.3159146118233,-0.88
-0.87,4.0,51.0,1.0,1.0,196.15987102090665,486.44772845528826,-0.87
-0.86,4.0,51.0,1.0,1.0,196.1944421885245,487.55047168537726,-0.86
-0.85,4.0,51.0,1.0,1.0,196.24416696426738,486.8448210808291,-0.85
-0.84,4.0,51.0,1.0,1.0,196.37750714404604,486.4075477071275,-0.84
-0.83,4.0,51.0,1.0,1.0,196.51979732367312,486.29675666500174,-0.83
-0.82,4.0,51.0,1.0,1.0,196.6495365249654,486.55690026503345,-0.82
-0.81,4.0,51.0,1.0,1.0,196.7130891878347,487.412838992737,-0.81
-0.8,4.0,51.0,1.0,1.0,196.7884938797752,490.24408089763614,-0.8
-0.79,4.0,51.0,1.0,1.0,196.84795231250294,492.94614194846133,-0.79
-0.78,4.0,51.0,1.0,1.0,196.9620337991276,495.5036217337058,-0.78
-0.77,4.0,51.0,1.0,1.0,197.10921996920578,497.9052438025371,-0.77
-0.76,4.0,51.0,1.0,1.0,197.2060888186409,499.1787844627927,-0.76
-0.75,4.0,51.0,1.0,1.0,197.23034305633828,500.32747126888455,-0.75
-0.74,4.0,51.0,1.0,1.0,197.32507411363676,500.5633768302333,-0.74
-0.73,4.0,51.0,1.0,1.0,197.4662461583881,500.2312269816435,-0.73
-0.72,4.0,51.0,1.0,1.0,197.60472857328142,500.05226765653623,-0.72
-0.71,4.0,51.0,1.0,1.0,197.70382953061124,500.09402723522925,-0.71
-0.7,4.0,51.0,1.0,1.0,197.78652858548642,500.43495472375486,-0.7
-0.69,4.0,51.0,1.0,1.0,197.89884437983818,501.081176850241,-0.69
-0.68,4.0,51.0,1.0,1.0,198.01384764764325,501.93206803583314,-0.68
-0.67,4.0,51.0,1.0,1.0,198.1308141235092,502.8909093436524,-0.67
-0.66,4.0,51.0,1.0,1.0,198.2473936838361,502.4422363472395,-0.66
-0.65,4.0,51.0,1.0,1.0,198.36192802367196,501.82911038818366,-0.65
-0.64,4.0,51.0,1.0,1.0,198.46859159638774,500.3519094343254,-0.64
-0.63,4.0,51.0,1.0,1.0,198.56627731608788,498.458129434011,-0.63
-0.62,4.0,51.0,1.0,1.0,198.61540849267232,496.453871602208,-0.62
-0.61,4.0,51.0,1.0,1.0,198.6671919265058,494.35435182294987,-0.61
-0.6,4.0,51.0,1.0,1.0,198.71720404814081,493.00755462263083,-0.6
-0.59,4.0,51.0,1.0,1.0,198.76322209458183,493.06409056633225,-0.59
-0.58,4.0,51.0,1.0,1.0,198.80909700669582,493.44544181531285,-0.58
-0.57,4.0,51.0,1.0,1.0,198.85552388841828,494.10650679552634,-0.57
-0.56,4.0,51.0,1.0,1.0,198.90233457717488,494.9969414747573,-0.56
-0.55,4.0,51.0,1.0,1.0,198.94943994837504,496.06121960651325,-0.55
-0.54,4.0,51.0,1.0,1.0,198.99615936534073,495.8160182027216,-0.54
-0.53,4.0,51.0,1.0,1.0,199.04275913707355,495.2509399051385,-0.53
-0.52,4.0,51.0,1.0,1.0,199.09005186716266,494.7437221999006,-0.52
-0.51,4.0,51.0,1.0,1.0,199.13812541399386,494.2815706913474,-0.51
-0.5,4.0,51.0,1.0,1.0,199.1870606755485,493.8511072799683,-0.5
-0.49,4.0,51.0,1.0,1.0,199.2369165393737,493.438701809136,-0.49
-0.48,4.0,51.0,1.0,1.0,199.28774237907143,492.9574070810721,-0.48
-0.47,4.0,51.0,1.0,1.0,199.33948048795781,491.18360667248544,-0.47
-0.46,4.0,51.0,1.0,1.0,199.39234730528855,489.39635871869734,-0.46
-0.45,4.0,51.0,1.0,1.0,199.4465843860232,487.607952444809,-0.45
-0.44,4.0,51.0,1.0,1.0,199.49630657543116,486.95377875492017,-0.44
-0.43,4.0,51.0,1.0,1.0,199.55566912182263,486.5368164260899,-0.43
-0.42,4.0,51.0,1.0,1.0,199.62275132599186,485.98434436298135,-0.42
-0.41,4.0,51.0,1.0,1.0,199.69197309110183,485.46649034538103,-0.41
-0.4,4.0,51.0,1.0,1.0,199.763433804475,484.97183270573055,-0.4
-0.39,4.0,51.0,1.0,1.0,199.83726477449446,484.51739627289317,-0.39
-0.38,4.0,51.0,1.0,1.0,199.91369807032163,484.1464785917178,-0.38
-0.37,4.0,51.0,1.0,1.0,199.99330778982085,483.928645470552,-0.37
-0.36,4.0,51.0,1.0,1.0,200.07110715581024,484.9942003406916,-0.36
-0.35,4.0,51.0,1.0,1.0,200.14989629039314,486.72858706676476,-0.35
-0.34,4.0,51.0,1.0,1.0,200.23203822929082,488.5996348883203,-0.34
-0.33,4.0,51.0,1.0,1.0,200.3179964619991,488.8719399470043,-0.33
-0.32,4.0,51.0,1.0,1.0,200.40534078964404,487.6328633225165,-0.32
-0.31,4.0,51.0,1.0,1.0,200.4901273619179,480.01702324102,-0.31
-0.3,4.0,51.0,1.0,1.0,200.55978902677512,478.147068893098,-0.3
-0.29,4.0,51.0,1.0,1.0,200.62832729868592,473.481677882113,-0.29
-0.28,4.0,51.0,1.0,1.0,200.6977034951396,470.6820501654154,-0.28
-0.27,4.0,51.0,1.0,1.0,200.76559900981692,469.21620654442296,-0.27
-0.26,4.0,51.0,1.0,1.0,200.81893127472566,466.2947680394171,-0.26
-0.25,4.0,51.0,1.0,1.0,200.87353376583727,463.21151335942005,-0.25
-0.24,4.0,51.0,1.0,1.0,200.92359153841178,461.6500494728184,-0.24
-0.23,4.0,51.0,1.0,1.0,200.96326427975498,460.8923168940243,-0.23
-0.22,4.0,51.0,1.0,1.0,201.00429107427146,460.54092492033305,-0.22
-0.21,4.0,51.0,1.0,1.0,201.04614481479504,459.98346302674526,-0.21
-0.2,4.0,51.0,1.0,1.0,201.07949366091728,458.4806052720408,-0.2
-0.19,4.0,51.0,1.0,1.0,201.1131500829598,456.71833628139063,-0.19
-0.18,4.0,51.0,1.0,1.0,201.14697519872826,456.06381248494694,-0.18
-0.17,4.0,51.0,1.0,1.0,201.1806797586868,455.53882029122764,-0.17
-0.16,4.0,51.0,1.0,1.0,201.2141939597818,455.11410078872666,-0.16
-0.15,4.0,51.0,1.0,1.0,201.92656895468608,450.6647216218021,-0.15
-0.14,4.0,51.0,1.0,1.0,204.1862829772406,461.2250332207119,-0.14
-0.13,4.0,51.0,1.0,1.0,204.36920827759207,462.6410257584159,-0.13
-0.12,4.0,51.0,1.0,1.0,205.78427154990754,498.1473531573103,-0.12
-0.11,4.0,51.0,1.0,1.0,208.232006098531,449.75608637185354,-0.11
-0.1,4.0,51.0,1.0,1.0,208.88909555290417,499.4543007934439,-0.1
-0.09,4.0,51.0,1.0,1.0,210.75244322713257,446.0590087555032,-0.09
-0.08,4.0,51.0,1.0,1.0,210.9781965779209,482.1651005065054,-0.08
-0.07,4.0,51.0,1.0,1.0,212.73900100635288,494.03291350884973,-0.07
-0.06,4.0,51.0,1.0,1.0,214.06066980632,500.93809438277793,-0.06
-0.05,4.0,51.0,1.0,1.0,210.66453913876154,488.9290159715906,-0.05
-0.04,4.0,51.0,1.0,1.0,216.82942290366145,487.0360063134518,-0.04
-0.03,4.0,51.0,1.0,1.0,217.8112285276785,496.13279710829437,-0.03
-0.02,4.0,51.0,1.0,1.0,219.176640498216,491.3308339067059,-0.02
-0.01,4.0,51.0,1.0,1.0,221.4927182843596,486.0117854312618,-0.01
0.0,4.0,51.0,1.0,1.0,223.04613200717282,489.9679576260977,0.0
-1.0,4.340878170264604,51.0,1.0,1.0,195.2900311195474,491.9982187523176,-1.0
-0.99,4.340878170264604,51.0,1.0,1.0,195.36558890777536,494.5443527681178,-0.99
-0.98,4.340878170264604,51.0,1.0,1.0,195.44038101541423,495.83175037755433,-0.98
-0.97,4.340878170264604,51.0,1.0,1.0,195.5152092865956,496.88838787068335,-0.97
-0.96,4.340878170264604,51.0,1.0,1.0,195.58905440052405,497.9723674452688,-0.96
-0.95,4.340878170264604,51.0,1.0,1.0,195.65901250518013,499.098915218594,-0.95
-0.94,4.340878170264604,51.0,1.0,1.0,195.72055063060142,499.9010520916669,-0.94
-0.93,4.340878170264604,51.0,1.0,1.0,195.82402030938928,499.54952696093557,-0.93
-0.92,4.340878170264604,51.0,1.0,1.0,195.8770069072537,499.37937083753405,-0.92
-0.91,4.340878170264604,51.0,1.0,1.0,195.91425989758733,499.44383475298906,-0.91
-0.9,4.340878170264604,51.0,1.0,1.0,195.95143302302748,499.7858227925695,-0.9
-0.89,4.340878170264604,51.0,1.0,1.0,196.00337369042788,500.4387677400287,-0.89
-0.88,4.340878170264604,51.0,1.0,1.0,196.08054208922212,502.6998893869594,-0.88
-0.87,4.340878170264604,51.0,1.0,1.0,196.19564321439185,504.91393745355026,-0.87
-0.86,4.340878170264604,51.0,1.0,1.0,196.37001410949844,506.9954776841289,-0.86
-0.85,4.340878170264604,51.0,1.0,1.0,196.48838890614957,508.94175724289494,-0.85
-0.84,4.340878170264604,51.0,1.0,1.0,196.5293992070122,510.6140435935469,-0.84
-0.83,4.340878170264604,51.0,1.0,1.0,196.56860427721665,511.5391285712647,-0.83
-0.82,4.340878170264604,51.0,1.0,1.0,196.63700878888056,511.5961933416446,-0.82
-0.81,4.340878170264604,51.0,1.0,1.0,196.7915219824967,511.7031995364021,-0.81
-0.8,4.340878170264604,51.0,1.0,1.0,196.8587995015915,511.9115575280877,-0.8
-0.79,4.340878170264604,51.0,1.0,1.0,196.91096841133316,512.2709522982738,-0.79
-0.78,4.340878170264604,51.0,1.0,1.0,196.96690951726933,512.8206015608262,-0.78
-0.77,4.340878170264604,51.0,1.0,1.0,197.11155273793233,513.8604402205494,-0.77
-0.76,4.340878170264604,51.0,1.0,1.0,197.27545513646263,515.5565259928501,-0.76
-0.75,4.340878170264604,51.0,1.0,1.0,197.40907437777838,517.132170309115,-0.75
-0.74,4.340878170264604,51.0,1.0,1.0,197.48793741829232,516.5443565071879,-0.74
-0.73,4.340878170264604,51.0,1.0,1.0,197.56709652436479,515.4997767795103,-0.73
-0.72,4.340878170264604,51.0,1.0,1.0,197.64006536200188,514.7611340982513,-0.72
-0.71,4.340878170264604,51.0,1.0,1.0,197.75162089027617,514.7443948283857,-0.71
-0.7,4.340878170264604,51.0,1.0,1.0,197.86249210909818,514.9008027632193,-0.7
-0.69,4.340878170264604,51.0,1.0,1.0,197.97398688998646,515.1923559702207,-0.69
-0.68,4.340878170264604,51.0,1.0,1.0,198.08735055395914,515.5745559062784,-0.68
-0.67,4.340878170264604,51.0,1.0,1.0,198.2022305094771,516.0043555333443,-0.67
-0.66,4.340878170264604,51.0,1.0,1.0,198.317141727285,516.4440680285044,-0.66
-0.65,4.340878170264604,51.0,1.0,1.0,198.41708624439423,516.1226041332396,-0.65
-0.64,4.340878170264604,51.0,1.0,1.0,198.46301098334808,515.217298528854,-0.64
