MagCAPShock,IF_sens_s,reliab_total,reliab_avg,reliab_min,d_end,π_end,Δμ_pc
-1.0,4.0,50.514904389315944,0.9904883213591361,0.8322193363904891,154.62069527995126,291.1151348363451,-1.0
-0.99,4.0,50.53235916603925,0.9908305718831225,0.8380061695711624,154.70485606358162,291.2021841407932,-0.99
-0.98,4.0,50.54980752607837,0.9911726965897719,0.8437930027518356,154.7946464087881,291.2804867174601,-0.98
-0.97,4.0,50.567250021657884,0.9915147063070173,0.8495798359325089,154.88485478303122,291.3497853481116,-0.97
-0.96,4.0,50.5846872720417,0.9918566131772882,0.8553666691131823,154.9755003420138,291.4102964446209,-0.96
-0.95,4.0,50.60211995650107,0.9921984305196289,0.8611535022938555,155.06660491452098,291.4625458508394,-0.95
-0.94,4.0,50.61954880350149,0.9925401726176762,0.8669403354745288,155.15233571324495,291.5072405368006,-0.94
-0.93,4.0,50.63695332683167,0.9928814377810132,0.8727271686552021,155.24335671067385,291.52845964580945,-0.93
-0.92,4.0,50.654205645307776,0.9932197185354465,0.8785140018358751,155.32732427974324,290.72482375545945,-0.92
-0.91,4.0,50.67145160280773,0.9935578745648574,0.8843008350165485,155.41153493186258,289.89420813933094,-0.91
-0.9,4.0,50.68868500162765,0.9938957843456402,0.8900876681972218,155.49590487900983,289.06329860687214,-0.9
-0.89,4.0,50.705905842192976,0.9942334478861368,0.895874501377895,155.58038937323957,288.23204565813734,-0.89
-0.88,4.0,50.72311412332886,0.9945708651633111,0.9016613345585685,155.65858557837223,287.3975516908041,-0.88
-0.87,4.0,50.74030984198185,0.9949080361172912,0.9074481677392415,155.74340964626595,286.56092391683757,-0.87
-0.86,4.0,50.757492992926,0.9952449606456077,0.9132350009199148,155.82838434807695,285.723739203706,-0.86
-0.85,4.0,50.77466356845282,0.9955816385971141,0.919021834100588,155.9135076097591,284.88590379489,-0.85
-0.84,4.0,50.791821558045626,0.9959180697656005,0.9248086672812615,155.9987774001036,284.04731132466145,-0.84
-0.83,4.0,50.80896694803879,0.9962542538831135,0.9305955004619346,156.07699203401899,283.2078412771642,-0.83
-0.82,4.0,50.826099721264114,0.9965901906130219,0.936382333642608,156.1625363831925,282.3673572435333,-0.82
-0.81,4.0,50.84321985668653,0.9969258795428732,0.9421691668232811,156.24822156429914,281.5257049501978,-0.81
-0.8,4.0,50.86032732903367,0.9972613201771309,0.9479560000039545,156.33404569102603,280.6827100288649,-0.8
-0.79,4.0,50.87742210842449,0.997596511929892,0.953742833184628,156.4200069101817,279.83817549656,-0.79
-0.78,4.0,50.894504160004914,0.9979314541177434,0.9595296663653011,156.50610340097964,278.991878913101,-0.78
-0.77,4.0,50.911573443600254,0.9982661459529462,0.9653164995459741,156.58447093314493,278.14356918456815,-0.77
-0.76,4.0,50.928629913397366,0.9986005865372033,0.9711033327266476,156.67081700457717,277.2929629862615,-0.76
-0.75,4.0,50.94567351767297,0.9989347748563328,0.9768901659073207,156.75729334118358,276.439740789861,-0.75
-0.74,4.0,50.9627041985886,0.999268709776247,0.9826769990879943,156.843898261487,275.5835425009403,-0.74
-0.73,4.0,50.97972189207768,0.9996023900407388,0.9884638322686674,156.93063012542032,274.7239627506334,-0.73
-0.72,4.0,50.99425066544934,0.9998872679499872,0.9942506654493406,157.01748733900754,273.860545948275,-0.72
-0.71,4.0,51.0,1.0,1.0,157.0960347352877,272.9927813040388,-0.71
-0.7,4.0,51.0,1.0,1.0,157.18311824224335,272.12009819259305,-0.7
-0.69,4.0,51.0,1.0,1.0,157.27032320039297,271.2418624809999,-0.69
-0.68,4.0,51.0,1.0,1.0,157.357648304822,270.35737483072427,-0.68
-0.67,4.0,51.0,1.0,1.0,157.4450923493445,269.4658725675367,-0.67
-0.66,4.0,51.0,1.0,1.0,157.5326542432351,268.5665375810638,-0.66
-0.65,4.0,51.0,1.0,1.0,157.62028439309694,267.6585139818722,-0.65
-0.64,4.0,51.0,1.0,1.0,157.69934836875805,266.74094104688635,-0.64
-0.63,4.0,51.0,1.0,1.0,157.78723585646327,265.8130094670762,-0.63
-0.62,4.0,51.0,1.0,1.0,157.87523973764615,264.8740521654389,-0.62
-0.61,4.0,51.0,1.0,1.0,157.963359870129,263.923684888659,-0.61
