MagCAPShock,Impl_Time,reliab_total,reliab_avg,reliab_min,d_end,π_end,Δμ_pc
-1.0,1.0,51.0,1.0,1.0,194.48557692660097,530.3974413049535,-1.0
-0.99,1.0,51.0,1.0,1.0,194.4879743521139,533.645964134877,-0.99
-0.98,1.0,51.0,1.0,1.0,194.50422242395302,530.0986289966194,-0.98
-0.97,1.0,51.0,1.0,1.0,194.62482775251425,527.5129050299857,-0.97
-0.96,1.0,51.0,1.0,1.0,194.79030249878613,539.5254519616522,-0.96
-0.95,1.0,51.0,1.0,1.0,194.91503428110192,541.838412240127,-0.95
-0.94,1.0,51.0,1.0,1.0,194.95826294458797,529.1480409343797,-0.94
-0.93,1.0,51.0,1.0,1.0,194.98250702446836,535.2178077908009,-0.93
-0.92,1.0,51.0,1.0,1.0,195.01092112530586,541.1167669621054,-0.92
-0.91,1.0,51.0,1.0,1.0,195.22509521415668,544.2950412900313,-0.91
-0.9,1.0,51.0,1.0,1.0,195.30785312604934,547.3367261251132,-0.9
-0.89,1.0,51.0,1.0,1.0,195.35964417497541,551.2226866922339,-0.89
-0.88,1.0,51.0,1.0,1.0,195.365807430381,553.1332014957222,-0.88
-0.87,1.0,51.0,1.0,1.0,195.53362506337905,551.338768862354,-0.87
-0.86,1.0,51.0,1.0,1.0,195.58466006045595,549.8132116376293,-0.86
-0.85,1.0,51.0,1.0,1.0,195.70087855037957,548.9196280745958,-0.85
-0.84,1.0,51.0,1.0,1.0,195.77273326380106,547.9607477622516,-0.84
-0.83,1.0,51.0,1.0,1.0,196.24550413025275,547.1082826461322,-0.83
-0.82,1.0,51.0,1.0,1.0,196.53682018375073,546.3183868930311,-0.82
-0.81,1.0,51.0,1.0,1.0,196.62397993320357,545.3982648661048,-0.81
-0.8,1.0,51.0,1.0,1.0,196.59640017035258,544.3610910678373,-0.8
-0.79,1.0,51.0,1.0,1.0,196.56151836184858,543.1775792234959,-0.79
-0.78,1.0,51.0,1.0,1.0,196.55062118306725,541.7562753336555,-0.78
-0.77,1.0,51.0,1.0,1.0,196.55067448155157,540.1498554289745,-0.77
-0.76,1.0,51.0,1.0,1.0,196.55193518791953,538.4890459319593,-0.76
-0.75,1.0,51.0,1.0,1.0,196.5877704291738,536.216607949031,-0.75
-0.74,1.0,51.0,1.0,1.0,196.6040320631236,534.7796228499203,-0.74
-0.73,1.0,51.0,1.0,1.0,196.58514358327844,533.9364247303588,-0.73
-0.72,1.0,51.0,1.0,1.0,196.5592407834738,533.082923815797,-0.72
-0.71,1.0,51.0,1.0,1.0,196.5256983809077,532.6715746895705,-0.71
-0.7,1.0,51.0,1.0,1.0,196.51485059110385,531.8785868680046,-0.7
-0.69,1.0,51.0,1.0,1.0,196.51064858162468,531.1327447004938,-0.69
-0.68,1.0,51.0,1.0,1.0,196.51417536830274,530.585928620295,-0.68
-0.67,1.0,51.0,1.0,1.0,196.53015682851054,530.077974397837,-0.67
-0.66,1.0,51.0,1.0,1.0,196.55227504550317,529.362380333055,-0.66
-0.65,1.0,51.0,1.0,1.0,196.5784910242688,528.3314213274455,-0.65
-0.64,1.0,51.0,1.0,1.0,196.60744968743302,527.4244500640962,-0.64
-0.63,1.0,51.0,1.0,1.0,196.63741264359885,526.6623201570953,-0.63
-0.62,1.0,51.0,1.0,1.0,196.67412249229986,525.9102588088488,-0.62
-0.61,1.0,51.0,1.0,1.0,196.71285843222412,525.2354510634641,-0.61
-0.6,1.0,51.0,1.0,1.0,196.75194117234489,524.670371968128,-0.6
-0.59,1.0,51.0,1.0,1.0,196.79118570543366,524.2142912389535,-0.59
-0.58,1.0,51.0,1.0,1.0,196.80573424298865,523.6486496748137,-0.58
-0.57,1.0,51.0,1.0,1.0,196.8487811825817,523.769720267677,-0.57
-0.56,1.0,51.0,1.0,1.0,196.8897838273645,523.9260688406314,-0.56
-0.55,1.0,51.0,1.0,1.0,196.9292994397224,524.1051361111522,-0.55
-0.54,1.0,51.0,1.0,1.0,196.9683421710602,524.2787567947696,-0.54
-0.53,1.0,51.0,1.0,1.0,197.00845481248317,524.410745251215,-0.53
-0.52,1.0,51.0,1.0,1.0,197.05164066999453,524.4748560156689,-0.52
-0.51,1.0,51.0,1.0,1.0,197.09699098052607,524.520126037223,-0.51
-0.5,1.0,51.0,1.0,1.0,197.13982485836718,524.6706710447573,-0.5
-0.49,1.0,51.0,1.0,1.0,197.18355031592483,524.835641581827,-0.49
-0.48,1.0,51.0,1.0,1.0,197.22752063209327,525.0076488634102,-0.48
-0.47,1.0,51.0,1.0,1.0,197.27165334407042,525.1785350334947,-0.47
-0.46,1.0,51.0,1.0,1.0,197.3161290038804,525.3406248631994,-0.46
-0.45,1.0,51.0,1.0,1.0,197.3612119280221,525.3130844189083,-0.45
-0.44,1.0,51.0,1.0,1.0,197.40711922511917,525.1415889005438,-0.44
-0.43,1.0,51.0,1.0,1.0,197.45396173647183,524.9552499571323,-0.43
-0.42,1.0,51.0,1.0,1.0,197.50175267516792,524.7522017357562,-0.42
-0.41,1.0,51.0,1.0,1.0,197.55047251927357,524.5326104849521,-0.41
-0.4,1.0,51.0,1.0,1.0,197.60030547612007,524.2979625538233,-0.4
-0.39,1.0,51.0,1.0,1.0,197.65037448088276,524.1367265774086,-0.39
-0.38,1.0,51.0,1.0,1.0,197.70148446586637,523.9719523108898,-0.38
-0.37,1.0,51.0,1.0,1.0,197.75355316576668,523.8002415326793,-0.37
-0.36,1.0,51.0,1.0,1.0,197.8059927950644,523.6342683114317,-0.36
-0.35,1.0,51.0,1.0,1.0,197.85833987537785,523.483229539003,-0.35
-0.34,1.0,51.0,1.0,1.0,197.91042193688583,523.3549165192422,-0.34
-0.33,1.0,51.0,1.0,1.0,197.96251013040438,523.2571094272364,-0.33
-0.32,1.0,51.0,1.0,1.0,198.01632151949295,523.2018603687222,-0.32
-0.31,1.0,51.0,1.0,1.0,198.06699791153312,523.3561889873465,-0.31
-0.3,1.0,51.0,1.0,1.0,198.12350250337923,523.4457154076514,-0.3
-0.29,1.0,51.0,1.0,1.0,198.18412800517046,523.4335467571589,-0.29
-0.28,1.0,51.0,1.0,1.0,198.24715305671745,523.3292415028332,-0.28
-0.27,1.0,51.0,1.0,1.0,198.31123218782932,523.1717887751588,-0.27
-0.26,1.0,51.0,1.0,1.0,198.3755172591005,523.008643516315,-0.26
-0.25,1.0,51.0,1.0,1.0,198.43961377437668,522.8790196576797,-0.25
-0.24,1.0,51.0,1.0,1.0,198.50364880569643,522.8052560871745,-0.24
-0.23,1.0,51.0,1.0,1.0,198.56319971922275,522.7735865159736,-0.23
-0.22,1.0,51.0,1.0,1.0,198.62167000062004,522.8046051097245,-0.22
-0.21,1.0,51.0,1.0,1.0,198.67950182013425,522.8951767490047,-0.21
-0.2,1.0,51.0,1.0,1.0,198.73661332319094,523.0368878843963,-0.2
-0.19,1.0,51.0,1.0,1.0,198.7931975062166,523.2211040547006,-0.19
-0.18,1.0,51.0,1.0,1.0,198.8472699828838,523.488224089868,-0.18
-0.17,1.0,51.0,1.0,1.0,198.89060854209785,523.863240491097,-0.17
-0.16,1.0,51.0,1.0,1.0,198.93481313005313,524.1989587253627,-0.16
-0.15,1.0,51.0,1.0,1.0,200.40889181317522,522.3470155047243,-0.15
-0.14,1.0,51.0,1.0,1.0,202.79667168473742,522.2042979811908,-0.14
-0.13,1.0,51.0,1.0,1.0,204.96847172004826,526.2081222275995,-0.13
-0.12,1.0,51.0,1.0,1.0,204.29982863401494,530.7280146088326,-0.12
-0.11,1.0,51.0,1.0,1.0,206.42102420472753,526.1599972061385,-0.11
-0.1,1.0,51.0,1.0,1.0,208.80419613438207,521.2682226750118,-0.1
-0.09,1.0,51.0,1.0,1.0,210.8503559278835,528.385590170479,-0.09
-0.08,1.0,51.0,1.0,1.0,210.96762606298472,538.3781441180032,-0.08
-0.07,1.0,51.0,1.0,1.0,212.61397434711097,525.9205998309616,-0.07
-0.06,1.0,51.0,1.0,1.0,214.54817800359325,507.4135121369936,-0.06
-0.05,1.0,51.0,1.0,1.0,215.86825939836197,507.442186249478,-0.05
-0.04,1.0,51.0,1.0,1.0,216.45359512600095,527.3797416047264,-0.04
-0.03,1.0,51.0,1.0,1.0,218.4899869476343,507.36399202980243,-0.03
-0.02,1.0,51.0,1.0,1.0,220.42532994009076,518.2011459266047,-0.02
-0.01,1.0,51.0,1.0,1.0,220.94985148045743,513.1165469975184,-0.01
0.0,1.0,51.0,1.0,1.0,222.4306040496345,496.82019666438794,0.0
-1.0,2.0,51.0,1.0,1.0,194.36899783180533,530.765007587379,-1.0
-0.99,2.0,51.0,1.0,1.0,194.3653956485663,530.9965337761348,-0.99
-0.98,2.0,51.0,1.0,1.0,194.52493238997386,528.0315725682026,-0.98
-0.97,2.0,51.0,1.0,1.0,194.78662933700625,532.216351260877,-0.97
-0.96,2.0,51.0,1.0,1.0,195.02649006433174,537.2468246712348,-0.96
-0.95,2.0,51.0,1.0,1.0,195.0395602905205,540.7257059735314,-0.95
-0.94,2.0,51.0,1.0,1.0,195.05186644863872,543.7457472848606,-0.94
-0.93,2.0,51.0,1.0,1.0,195.0656643192086,546.7876958777031,-0.93
-0.92,2.0,51.0,1.0,1.0,195.0796259194753,550.0828960790489,-0.92
-0.91,2.0,51.0,1.0,1.0,195.03594757737747,553.6824097135642,-0.91
-0.9,2.0,51.0,1.0,1.0,195.24533276502308,556.7355102081289,-0.9
-0.89,2.0,51.0,1.0,1.0,195.4492367355962,559.6257689537013,-0.89
-0.88,2.0,51.0,1.0,1.0,195.44596638676003,560.492337162358,-0.88
-0.87,2.0,51.0,1.0,1.0,195.44562244543624,559.3005241508948,-0.87
-0.86,2.0,51.0,1.0,1.0,195.46017278073106,558.1032448226547,-0.86
-0.85,2.0,51.0,1.0,1.0,195.47602664606512,556.8900937305302,-0.85
-0.84,2.0,51.0,1.0,1.0,195.6660466612262,555.6340409735598,-0.84
