MagCAPShock,IntRate,reliab_total,reliab_avg,reliab_min,d_end,π_end,Δμ_pc
-1.0,0.0,51.0,1.0,1.0,194.6724010330816,507.2683846941769,-1.0
-0.99,0.0,51.0,1.0,1.0,194.5674335774353,518.6739801902356,-0.99
-0.98,0.0,51.0,1.0,1.0,194.78985448165736,527.9846561758445,-0.98
-0.97,0.0,51.0,1.0,1.0,195.1766260397714,532.2364952513553,-0.97
-0.96,0.0,51.0,1.0,1.0,195.40692309848902,532.8858289109563,-0.96
-0.95,0.0,51.0,1.0,1.0,195.45210193286036,535.3152366605048,-0.95
-0.94,0.0,51.0,1.0,1.0,195.46336748329293,537.791881083944,-0.94
-0.93,0.0,51.0,1.0,1.0,195.56452774673886,539.9542889835815,-0.93
-0.92,0.0,51.0,1.0,1.0,195.68072643682,541.9135916550531,-0.92
-0.91,0.0,51.0,1.0,1.0,195.78230683036776,543.7627861737802,-0.91
-0.9,0.0,51.0,1.0,1.0,194.83259682837533,545.5765928194828,-0.9
-0.89,0.0,51.0,1.0,1.0,195.33751344329235,547.3874322500238,-0.89
-0.88,0.0,51.0,1.0,1.0,195.9207307197222,549.1957533524858,-0.88
-0.87,0.0,51.0,1.0,1.0,196.0893641591284,548.6984196770059,-0.87
-0.86,0.0,51.0,1.0,1.0,195.82647452744283,547.8143237516434,-0.86
-0.85,0.0,51.0,1.0,1.0,195.4670202609761,546.9297456882756,-0.85
-0.84,0.0,51.0,1.0,1.0,195.45932702607456,546.0448360783043,-0.84
-0.83,0.0,51.0,1.0,1.0,195.62856811847945,545.1594557772073,-0.83
-0.82,0.0,51.0,1.0,1.0,196.36380497547898,544.2740847915736,-0.82
-0.81,0.0,51.0,1.0,1.0,196.29484824000224,543.3889302039396,-0.81
-0.8,0.0,51.0,1.0,1.0,196.4247342863884,542.5042033647395,-0.8
-0.79,0.0,51.0,1.0,1.0,196.5009795774905,541.6201375145184,-0.79
-0.78,0.0,51.0,1.0,1.0,196.41206021271026,540.7291896436903,-0.78
-0.77,0.0,51.0,1.0,1.0,196.42974806048613,539.8256887593816,-0.77
-0.76,0.0,51.0,1.0,1.0,196.44346074267932,538.9134148821637,-0.76
-0.75,0.0,51.0,1.0,1.0,196.45019312419262,537.9879932848528,-0.75
-0.74,0.0,51.0,1.0,1.0,196.44937290299063,537.0431411876027,-0.74
-0.73,0.0,51.0,1.0,1.0,196.44201674564775,536.0704500460097,-0.73
-0.72,0.0,51.0,1.0,1.0,196.43019394429902,535.0597607007495,-0.72
-0.71,0.0,51.0,1.0,1.0,196.46428424289914,534.0007286949099,-0.71
-0.7,0.0,51.0,1.0,1.0,196.52139460501198,532.8883286990415,-0.7
-0.69,0.0,51.0,1.0,1.0,196.58216424499503,531.7311060740085,-0.69
-0.68,0.0,51.0,1.0,1.0,196.66162974969748,530.5644013748604,-0.68
-0.67,0.0,51.0,1.0,1.0,196.74606743272759,529.4654556889554,-0.67
-0.66,0.0,51.0,1.0,1.0,196.83001717422957,528.5601088030007,-0.66
-0.65,0.0,51.0,1.0,1.0,196.91493735895347,528.0063961909191,-0.65
-0.64,0.0,51.0,1.0,1.0,197.00234632566995,527.9477832964336,-0.64
-0.63,0.0,51.0,1.0,1.0,197.06500750192535,526.8918612007507,-0.63
-0.62,0.0,51.0,1.0,1.0,197.20381437321103,523.1532658798267,-0.62
-0.61,0.0,51.0,1.0,1.0,197.4684971032974,519.4407138807011,-0.61
-0.6,0.0,51.0,1.0,1.0,197.56111936271597,515.7780723455569,-0.6
-0.59,0.0,51.0,1.0,1.0,197.5351303061817,512.1723416610693,-0.59
-0.58,0.0,51.0,1.0,1.0,197.63763896695028,508.5682682106094,-0.58
-0.57,0.0,51.0,1.0,1.0,197.78207227580083,504.75470662147814,-0.57
-0.56,0.0,51.0,1.0,1.0,197.89566356939773,500.82486970618226,-0.56
-0.55,0.0,51.0,1.0,1.0,197.91510673317538,496.7981766330973,-0.55
-0.54,0.0,51.0,1.0,1.0,197.94135313559164,492.411443486304,-0.54
-0.53,0.0,51.0,1.0,1.0,197.9703363636684,487.5921064626792,-0.53
-0.52,0.0,51.0,1.0,1.0,198.00663127646862,483.4864330897094,-0.52
-0.51,0.0,51.0,1.0,1.0,198.15373668411485,482.1738576755092,-0.51
-0.5,0.0,51.0,1.0,1.0,198.29952688650152,484.10408086095293,-0.5
-0.49,0.0,51.0,1.0,1.0,198.37627618915602,487.8059186643644,-0.49
-0.48,0.0,51.0,1.0,1.0,198.42241293245684,491.5176294652789,-0.48
-0.47,0.0,51.0,1.0,1.0,198.46600954329546,494.55341518576654,-0.47
-0.46,0.0,51.0,1.0,1.0,198.50735512489186,496.88209140910186,-0.46
-0.45,0.0,51.0,1.0,1.0,198.66606498138714,499.1884807349432,-0.45
-0.44,0.0,51.0,1.0,1.0,198.71005209611047,499.0402451312985,-0.44
-0.43,0.0,51.0,1.0,1.0,198.7726633999992,496.7938763688031,-0.43
-0.42,0.0,51.0,1.0,1.0,198.8316611874726,494.33391199149384,-0.42
-0.41,0.0,51.0,1.0,1.0,198.8832258412252,491.61432813857823,-0.41
-0.4,0.0,51.0,1.0,1.0,198.9362484876227,488.7081472834881,-0.4
-0.39,0.0,51.0,1.0,1.0,198.98793863019458,485.81184124914404,-0.39
-0.38,0.0,51.0,1.0,1.0,199.09618476191378,483.3183613395221,-0.38
-0.37,0.0,51.0,1.0,1.0,199.21331830839222,481.6654196911997,-0.37
-0.36,0.0,51.0,1.0,1.0,199.271405160877,481.104794531126,-0.36
-0.35,0.0,51.0,1.0,1.0,199.32864041869382,481.63550129856964,-0.35
-0.34,0.0,51.0,1.0,1.0,199.3850980558022,483.0579510908151,-0.34
-0.33,0.0,51.0,1.0,1.0,199.4673112674077,485.02558759133876,-0.33
-0.32,0.0,51.0,1.0,1.0,199.5872129429005,487.1744108017371,-0.32
-0.31,0.0,51.0,1.0,1.0,199.6505286024639,489.26062928029944,-0.31
-0.3,0.0,51.0,1.0,1.0,199.70797480132393,491.18355162986774,-0.3
-0.29,0.0,51.0,1.0,1.0,199.78743581323855,492.93398374137803,-0.29
-0.28,0.0,51.0,1.0,1.0,199.9044599790128,494.54278676017594,-0.28
-0.27,0.0,51.0,1.0,1.0,199.9669222193002,496.05128002606955,-0.27
-0.26,0.0,51.0,1.0,1.0,200.0369844368235,497.4976351695759,-0.26
-0.25,0.0,51.0,1.0,1.0,200.14995559609181,498.910953868046,-0.25
-0.24,0.0,51.0,1.0,1.0,200.2265571005466,500.3083770334933,-0.24
-0.23,0.0,51.0,1.0,1.0,200.31756754076503,501.7509942056407,-0.23
-0.22,0.0,51.0,1.0,1.0,200.41443871344597,503.1816261432845,-0.22
-0.21,0.0,51.0,1.0,1.0,200.51576129586059,504.5118725727689,-0.21
-0.2,0.0,51.0,1.0,1.0,200.61625349755144,505.76310842544916,-0.2
-0.19,0.0,51.0,1.0,1.0,200.66898782252403,506.96120054020764,-0.19
-0.18,0.0,51.0,1.0,1.0,200.72290952784306,508.1195387277717,-0.18
-0.17,0.0,51.0,1.0,1.0,200.7779253634849,509.2569256537106,-0.17
-0.16,0.0,51.0,1.0,1.0,200.8339462419812,510.3837202045086,-0.16
-0.15,0.0,51.0,1.0,1.0,201.58661579703517,515.5024554682965,-0.15
-0.14,0.0,51.0,1.0,1.0,203.46294100058182,516.9030941923859,-0.14
-0.13,0.0,51.0,1.0,1.0,204.83156732197358,500.0758947133208,-0.13
-0.12,0.0,51.0,1.0,1.0,206.10697248713646,529.9582548498653,-0.12
-0.11,0.0,51.0,1.0,1.0,208.03169326870352,509.21703611986834,-0.11
-0.1,0.0,51.0,1.0,1.0,209.68191705524035,518.3740337554814,-0.1
-0.09,0.0,51.0,1.0,1.0,210.59980875435522,502.13775802438033,-0.09
-0.08,0.0,51.0,1.0,1.0,211.788147824971,537.1422348947924,-0.08
-0.07,0.0,51.0,1.0,1.0,213.6331326161651,519.2755717110999,-0.07
-0.06,0.0,51.0,1.0,1.0,215.411832948599,486.882875703736,-0.06
-0.05,0.0,51.0,1.0,1.0,215.69072261208575,526.5324347416436,-0.05
-0.04,0.0,51.0,1.0,1.0,217.81516660014458,498.7756046805264,-0.04
-0.03,0.0,51.0,1.0,1.0,218.52727867961116,516.5579482673344,-0.03
-0.02,0.0,51.0,1.0,1.0,219.83629199679396,540.2283238863531,-0.02
-0.01,0.0,51.0,1.0,1.0,221.29481998607596,529.1641629508075,-0.01
0.0,0.0,51.0,1.0,1.0,222.63426900693509,520.1642904409912,0.0
-1.0,0.01,51.0,1.0,1.0,194.6724010330816,520.9704707278385,-1.0
-0.99,0.01,51.0,1.0,1.0,194.56743357743872,532.2665677358593,-0.99
-0.98,0.01,51.0,1.0,1.0,194.78985448165736,542.1569202899985,-0.98
-0.97,0.01,51.0,1.0,1.0,195.00451101887927,541.927415867477,-0.97
-0.96,0.01,51.0,1.0,1.0,195.24990719406298,542.7400445503305,-0.96
-0.95,0.01,51.0,1.0,1.0,195.23511205644536,545.445324625447,-0.95
-0.94,0.01,51.0,1.0,1.0,195.19066092371068,548.1049629579977,-0.94
